Subcellular location ID	Name	Category	Gene Ontologies	Is a	Content	Keyword	Links
SL-0221	Preautophagosomal structure membrane	Cellular component	GO:0034045:phagophore assembly site membrane	SL-0162; Membrane; LOCATION	Preautophagosomal structure membrane		
SL-0222	Presynaptic cell membrane	Cellular component	GO:0042734:presynaptic membrane	SL-0531; Synaptic cell membrane; LOCATION	Presynaptic cell membrane		
SL-0223	Prevacuolar compartment	Cellular component			Prevacuolar compartment		
SL-0224	Prevacuolar compartment membrane	Cellular component		SL-0162; Membrane; LOCATION	Prevacuolar compartment membrane		
SL-0225	Primary cell wall	Cellular component	GO:0009530:primary cell wall	SL-0041; Cell wall; LOCATION	Secreted, primary cell wall		
SL-0226	Prolamellar body	Cellular component	GO:0009541:etioplast prolamellar body		Plastid, etioplast, prolamellar body		
SL-0227	Protein storage vacuole membrane	Cellular component	GO:0032586:protein storage vacuole membrane	SL-0271; Vacuole membrane; LOCATION	Protein storage vacuole membrane		
SL-0228	Protein storage vacuole	Cellular component	GO:0000326:protein storage vacuole	SL-0272; Vacuole; LOCATION	Protein storage vacuole		
SL-0229	Protoplasm	Cellular component	GO:0005622:intracellular anatomical structure		Protoplasm		
SL-0230	P-body	Cellular component	GO:0000932:P-body	SL-0495; Cytoplasmic ribonucleoprotein granule; LOCATION	Cytoplasm, P-body		
SL-0231	Recycling endosome membrane	Cellular component	GO:0055038:recycling endosome membrane	SL-0100; Endosome membrane; LOCATION	Recycling endosome membrane		
SL-0232	Recycling endosome	Cellular component	GO:0055037:recycling endosome		Recycling endosome		
SL-0233	Rhoptry	Cellular component	GO:0020008:rhoptry	SL-0244; Secretory vesicle; LOCATION	Cytoplasmic vesicle, secretory vesicle, rhoptry		
SL-0234	Rhoptry membrane	Cellular component	GO:0033016:rhoptry membrane	SL-0245; Secretory vesicle membrane; LOCATION	Cytoplasmic vesicle, secretory vesicle, rhoptry membrane		
SL-0235	Rough endoplasmic reticulum	Cellular component	GO:0005791:rough endoplasmic reticulum		Rough endoplasmic reticulum		
SL-0236	Rough endoplasmic reticulum lumen	Cellular component	GO:0048237:rough endoplasmic reticulum lumen	SL-0096; Endoplasmic reticulum lumen; LOCATION	Rough endoplasmic reticulum lumen		
SL-0237	Rough endoplasmic reticulum membrane	Cellular component	GO:0030867:rough endoplasmic reticulum membrane	SL-0097; Endoplasmic reticulum membrane; LOCATION	Rough endoplasmic reticulum membrane		
SL-0238	Sarcolemma	Cellular component	GO:0042383:sarcolemma	SL-0039; Cell membrane; LOCATION	Cell membrane, sarcolemma		
SL-0239	Sarcoplasmic reticulum	Cellular component	GO:0016529:sarcoplasmic reticulum		Sarcoplasmic reticulum	KW-0703	
SL-0240	Sarcoplasmic reticulum lumen	Cellular component	GO:0033018:sarcoplasmic reticulum lumen		Sarcoplasmic reticulum lumen		
SL-0241	Sarcoplasmic reticulum membrane	Cellular component	GO:0033017:sarcoplasmic reticulum membrane	SL-0162; Membrane; LOCATION	Sarcoplasmic reticulum membrane		
SL-0242	Secondary cell wall	Cellular component	GO:0009531:secondary cell wall	SL-0041; Cell wall; LOCATION	Secreted, secondary cell wall		
SL-0243	Secreted	Cellular component	GO:0005576:extracellular region		Secreted	KW-0964	
SL-0244	Secretory vesicle	Cellular component	GO:0030133:transport vesicle	SL-0088; Cytoplasmic vesicle; LOCATION	Cytoplasmic vesicle, secretory vesicle		
SL-0245	Secretory vesicle membrane	Cellular component	GO:0030658:transport vesicle membrane	SL-0089; Cytoplasmic vesicle membrane; LOCATION	Cytoplasmic vesicle, secretory vesicle membrane		
SL-0246	Septate junction	Cellular component	GO:0005918:septate junction	SL-0038; Cell junction; LOCATION	Cell junction, septate junction		
SL-0247	Slime layer	Cellular component	GO:0030114:slime layer		Secreted, slime layer		
SL-0248	Smooth endoplasmic reticulum	Cellular component	GO:0005790:smooth endoplasmic reticulum		Smooth endoplasmic reticulum		
SL-0249	Smooth endoplasmic reticulum lumen	Cellular component	GO:0048238:smooth endoplasmic reticulum lumen	SL-0096; Endoplasmic reticulum lumen; LOCATION	Smooth endoplasmic reticulum lumen		
SL-0250	Smooth endoplasmic reticulum membrane	Cellular component	GO:0030868:smooth endoplasmic reticulum membrane	SL-0097; Endoplasmic reticulum membrane; LOCATION	Smooth endoplasmic reticulum membrane		
SL-0251	Spindle	Cellular component	GO:0005819:spindle		Cytoplasm, cytoskeleton, spindle		
SL-0252	Spindle pole body	Cellular component	GO:0005816:spindle pole body		Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body		
SL-0253	Spore core	Cellular component			Spore core		
SL-0254	Spore wall	Cellular component	GO:0031160:spore wall		Spore wall		
SL-0255	Surface film	Cellular component			Secreted, extracellular space, surface film	KW-0767	
SL-0256	Symbiosome	Cellular component	GO:0043659:symbiosome		Symbiosome		
SL-0257	Symplast	Cellular component	GO:0055044:symplast		Symplast		
SL-0258	Synapse	Cellular component	GO:0045202:synapse		Synapse	KW-0770	
SL-0259	Synaptic vesicle	Cellular component	GO:0008021:synaptic vesicle	SL-0244; Secretory vesicle; LOCATION	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle		
SL-0260	Synaptic vesicle membrane	Cellular component	GO:0030672:synaptic vesicle membrane	SL-0245; Secretory vesicle membrane; LOCATION	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane		
SL-0261	Synaptosome	Cellular component			Synapse, synaptosome	KW-0771	
SL-0262	S-layer	Cellular component	GO:0030115:S-layer		Secreted, cell wall, S-layer	KW-0701	
SL-0263	Tegument	Cellular component			Tegument		
SL-0264	Tegument membrane	Cellular component		SL-0162; Membrane; LOCATION	Tegument membrane		
SL-0265	Tight junction	Cellular component	GO:0005923:bicellular tight junction	SL-0038; Cell junction; LOCATION	Cell junction, tight junction	KW-0796	http://celljunctions.med.nyu.edu/desmosomes/desframe.html
SL-0266	trans-Golgi network	Cellular component	GO:0005802:trans-Golgi network		Golgi apparatus, trans-Golgi network		
SL-0267	trans-Golgi network membrane	Cellular component	GO:0032588:trans-Golgi network membrane	SL-0134; Golgi apparatus membrane; LOCATION	Golgi apparatus, trans-Golgi network membrane		
SL-0268	Trichocyst	Cellular component	GO:0055039:trichocyst		Trichocyst		
SL-0269	Mitochondrion nucleoid	Cellular component	GO:0042645:mitochondrial nucleoid		Mitochondrion matrix, mitochondrion nucleoid	KW-1135	
SL-0270	Vacuole lumen	Cellular component	GO:0005775:vacuolar lumen		Vacuole lumen		
SL-0271	Vacuole membrane	Cellular component	GO:0005774:vacuolar membrane	SL-0162; Membrane; LOCATION	Vacuole membrane		
SL-0272	Vacuole	Cellular component	GO:0005773:vacuole		Vacuole	KW-0926	
SL-0273	Virion tegument	Cellular component	GO:0019033:viral tegument		Virion tegument	KW-0920	
SL-0274	Virion	Cellular component			Virion	KW-0946	
SL-0275	Virion membrane	Cellular component	GO:0055036:virion membrane	SL-0162; Membrane; LOCATION	Virion membrane		
SL-0276	Telomere	Cellular component	GO:0000781:chromosome, telomeric region		Chromosome, telomere	KW-0779	
SL-0277	Cyanelle thylakoid	Cellular component	GO:0009843:cyanelle thylakoid	SL-0278; Plastid thylakoid; LOCATION	Plastid, cyanelle thylakoid		
SL-0278	Plastid thylakoid	Cellular component	GO:0031976:plastid thylakoid	SL-0450; Thylakoid; LOCATION	Plastid thylakoid		
SL-0279	Axon	Cellular component	GO:0030424:axon	SL-0518; Neuron projection; LOCATION	Cell projection, axon		
SL-0280	Cell projection	Cellular component	GO:0042995:cell projection		Cell projection	KW-0966	
SL-0281	Cytoplasmic granule	Cellular component			Cytoplasmic granule		
SL-0282	Cytoplasmic granule membrane	Cellular component		SL-0162; Membrane; LOCATION	Cytoplasmic granule membrane		
SL-0283	Dendrite	Cellular component	GO:0030425:dendrite	SL-0518; Neuron projection; LOCATION	Cell projection, dendrite		
SL-0284	Dendritic spine	Cellular component	GO:0043197:dendritic spine	SL-0515; Postsynapse; LOCATION	Cell projection, dendritic spine		
SL-0285	Dendritic spine membrane	Cellular component	GO:0032591:dendritic spine membrane	SL-0219; Postsynaptic cell membrane; LOCATION	Cell projection, dendritic spine membrane		
SL-0286	Filopodium	Cellular component	GO:0030175:filopodium	SL-0280; Cell projection; LOCATION	Cell projection, filopodium		
SL-0287	Filopodium membrane	Cellular component	GO:0031527:filopodium membrane		Cell projection, filopodium membrane		
SL-0288	Growth cone	Cellular component	GO:0030426:growth cone	SL-0518; Neuron projection; LOCATION	Cell projection, growth cone		
SL-0289	Growth cone membrane	Cellular component	GO:0032584:growth cone membrane		Cell projection, growth cone membrane		
SL-0290	Invadopodium membrane	Cellular component			Cell projection, invadopodium membrane		
SL-0291	Lamellipodium	Cellular component	GO:0030027:lamellipodium	SL-0280; Cell projection; LOCATION	Cell projection, lamellipodium		
SL-0292	Lamellipodium membrane	Cellular component	GO:0031258:lamellipodium membrane		Cell projection, lamellipodium membrane		
SL-0293	Microvillus	Cellular component	GO:0005902:microvillus	SL-0280; Cell projection; LOCATION	Cell projection, microvillus		
SL-0294	Microvillus membrane	Cellular component	GO:0031528:microvillus membrane		Cell projection, microvillus membrane		
SL-0295	Podosome	Cellular component	GO:0002102:podosome	SL-0038; Cell junction; LOCATION, SL-0280; Cell projection; LOCATION	Cell projection, podosome		
SL-0296	Podosome membrane	Cellular component			Cell projection, podosome membrane		
SL-0297	Postsynaptic density	Cellular component	GO:0014069:postsynaptic density		Postsynaptic density		
SL-0298	Pseudopodium	Cellular component	GO:0031143:pseudopodium	SL-0280; Cell projection; LOCATION	Cell projection, pseudopodium		
SL-0299	Pseudopodium membrane	Cellular component	GO:0031260:pseudopodium membrane		Cell projection, pseudopodium membrane		
SL-0300	Ruffle	Cellular component	GO:0001726:ruffle	SL-0280; Cell projection; LOCATION	Cell projection, ruffle		
SL-0301	Ruffle membrane	Cellular component	GO:0032587:ruffle membrane		Cell projection, ruffle membrane		
SL-0302	Stereocilium	Cellular component	GO:0032420:stereocilium	SL-0280; Cell projection; LOCATION	Cell projection, stereocilium		
SL-0303	Stereocilium membrane	Cellular component	GO:0060171:stereocilium membrane		Cell projection, stereocilium membrane		
SL-0304	Cilium axoneme	Cellular component			Cytoplasm, cytoskeleton, cilium axoneme		
SL-0305	Cilium membrane	Cellular component	GO:0060170:ciliary membrane		Cell projection, cilium membrane		
SL-0306	Archaeal flagellum	Cellular component	GO:0097589:archaeal-type flagellum		Archaeal flagellum	KW-0974	
SL-0307	Bacterial flagellum	Cellular component	GO:0009288:bacterial-type flagellum		Bacterial flagellum	KW-0975	
SL-0308	Flagellum basal body	Cellular component		SL-0087; Cilium basal body; LOCATION	Cytoplasm, cytoskeleton, flagellum basal body		
SL-0309	Plastid thylakoid lumen	Cellular component	GO:0031978:plastid thylakoid lumen		Plastid thylakoid lumen		
SL-0310	Cell surface	Cellular component	GO:0009986:cell surface		Cell surface		
SL-0311	Sarcoplasm	Cellular component	GO:0016528:sarcoplasm	SL-0086; Cytoplasm; LOCATION	Cytoplasm, sarcoplasm		
SL-0312	Myofibril	Cellular component	GO:0030016:myofibril	SL-0311; Sarcoplasm; LOCATION	Cytoplasm, myofibril		
SL-0313	Sarcomere	Cellular component	GO:0030017:sarcomere		Cytoplasm, myofibril, sarcomere		http://www.sarcomere.org/
SL-0314	Z line	Cellular component	GO:0030018:Z disc		Cytoplasm, myofibril, sarcomere, Z line		
SL-0315	M line	Cellular component	GO:0031430:M band		Cytoplasm, myofibril, sarcomere, M line		http://www.sarcomere.org/
SL-0316	Acidocalcisome lumen	Cellular component	GO:0033985:acidocalcisome lumen		Acidocalcisome lumen		
SL-0317	Aleurone grain lumen	Cellular component	GO:0034422:aleurone grain lumen	SL-0270; Vacuole lumen; LOCATION	Vacuole, aleurone grain lumen		
SL-0318	Autophagosome lumen	Cellular component	GO:0034423:autophagosome lumen	SL-0325; Cytoplasmic vesicle lumen; LOCATION	Cytoplasmic vesicle, autophagosome lumen		
SL-0319	Clathrin-coated vesicle lumen	Cellular component		SL-0325; Cytoplasmic vesicle lumen; LOCATION	Cytoplasmic vesicle, clathrin-coated vesicle lumen		
SL-0320	Contractile vacuole lumen	Cellular component		SL-0270; Vacuole lumen; LOCATION	Contractile vacuole lumen		
SL-0321	COPI-coated vesicle lumen	Cellular component		SL-0325; Cytoplasmic vesicle lumen; LOCATION	Cytoplasmic vesicle, COPI-coated vesicle lumen		
SL-0322	COPII-coated vesicle lumen	Cellular component		SL-0325; Cytoplasmic vesicle lumen; LOCATION	Cytoplasmic vesicle, COPII-coated vesicle lumen		
SL-0323	Cvt vesicle lumen	Cellular component		SL-0325; Cytoplasmic vesicle lumen; LOCATION	Cytoplasmic vesicle, cvt vesicle lumen		
SL-0324	Cytoplasmic granule lumen	Cellular component			Cytoplasmic granule lumen		
SL-0325	Cytoplasmic vesicle lumen	Cellular component	GO:0060205:cytoplasmic vesicle lumen		Cytoplasmic vesicle lumen		
SL-0326	Endoplasmic reticulum-Golgi intermediate compartment lumen	Cellular component			Endoplasmic reticulum-Golgi intermediate compartment lumen		
SL-0327	Endosome lumen	Cellular component	GO:0031904:endosome lumen		Endosome lumen		
SL-0328	Esterosome lumen	Cellular component	GO:0034467:esterosome lumen	SL-0325; Cytoplasmic vesicle lumen; LOCATION	Cytoplasmic vesicle, esterosome lumen		
SL-0329	Etioplast membrane	Cellular component	GO:0034426:etioplast membrane	SL-0213; Plastid membrane; LOCATION	Plastid, etioplast membrane		
SL-0330	Etioplast stroma	Cellular component	GO:0009578:etioplast stroma	SL-0215; Plastid stroma; LOCATION	Plastid, etioplast stroma		
SL-0331	Gas vesicle lumen	Cellular component		SL-0270; Vacuole lumen; LOCATION	Vacuole, gas vesicle lumen		
SL-0332	Glycosome matrix	Cellular component	GO:0034468:glycosome lumen	SL-0202; Peroxisome matrix; LOCATION	Glycosome matrix		
SL-0333	Glyoxysome matrix	Cellular component	GO:0031908:glyoxysomal lumen	SL-0202; Peroxisome matrix; LOCATION	Glyoxysome matrix		
SL-0334	Golgi stack lumen	Cellular component	GO:0034469:Golgi stack lumen	SL-0133; Golgi apparatus lumen; LOCATION	Golgi apparatus, Golgi stack lumen		
SL-0335	Hydrogenosome lumen	Cellular component	GO:0034492:hydrogenosome lumen		Hydrogenosome lumen		
SL-0336	Late endosome lumen	Cellular component	GO:0031906:late endosome lumen	SL-0327; Endosome lumen; LOCATION	Late endosome lumen		
SL-0337	Early endosome lumen	Cellular component	GO:0031905:early endosome lumen	SL-0327; Endosome lumen; LOCATION	Early endosome lumen		
SL-0338	Melanosome lumen	Cellular component	GO:0034493:melanosome lumen		Melanosome lumen		
SL-0339	Microneme lumen	Cellular component	GO:0034494:microneme lumen	SL-0347; Secretory vesicle lumen; LOCATION	Cytoplasmic vesicle, secretory vesicle, microneme lumen		
SL-0340	Multivesicular body lumen	Cellular component		SL-0327; Endosome lumen; LOCATION	Endosome, multivesicular body lumen		
SL-0341	Parasitophorous vacuole lumen	Cellular component			Parasitophorous vacuole lumen		
SL-0342	Phagosome lumen	Cellular component		SL-0325; Cytoplasmic vesicle lumen; LOCATION	Cytoplasmic vesicle, phagosome lumen		
SL-0343	Prevacuolar compartment lumen	Cellular component			Prevacuolar compartment lumen		
SL-0344	Protein storage vacuole lumen	Cellular component	GO:0034495:protein storage vacuole lumen	SL-0270; Vacuole lumen; LOCATION	Protein storage vacuole lumen		
SL-0345	Recycling endosome lumen	Cellular component	GO:0034777:recycling endosome lumen	SL-0327; Endosome lumen; LOCATION	Recycling endosome lumen		
SL-0346	Rhoptry lumen	Cellular component	GO:0034591:rhoptry lumen	SL-0347; Secretory vesicle lumen; LOCATION	Cytoplasmic vesicle, secretory vesicle, rhoptry lumen		
SL-0347	Secretory vesicle lumen	Cellular component		SL-0325; Cytoplasmic vesicle lumen; LOCATION	Cytoplasmic vesicle, secretory vesicle lumen		
SL-0348	Synaptic vesicle lumen	Cellular component	GO:0034592:synaptic vesicle lumen	SL-0347; Secretory vesicle lumen; LOCATION	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle lumen		
SL-0349	Chromaffin granule lumen	Cellular component	GO:0034466:chromaffin granule lumen	SL-0347; Secretory vesicle lumen; LOCATION	Cytoplasmic vesicle, secretory vesicle, chromaffin granule lumen		
SL-0350	Cyanelle stroma	Cellular component	GO:0034060:cyanelle stroma	SL-0215; Plastid stroma; LOCATION	Plastid, cyanelle stroma		
SL-0351	Organellar chromatophore	Cellular component	GO:0070111:organellar chromatophore	SL-0209; Plastid; LOCATION	Plastid, organellar chromatophore	KW-0994	
SL-0352	Organellar chromatophore membrane	Cellular component	GO:0070112:organellar chromatophore membrane	SL-0213; Plastid membrane; LOCATION	Plastid, organellar chromatophore membrane		
SL-0353	Organellar chromatophore stroma	Cellular component		SL-0215; Plastid stroma; LOCATION	Plastid, organellar chromatophore stroma		
SL-0354	Organellar chromatophore thylakoid	Cellular component	GO:0070116:organellar chromatophore thylakoid	SL-0278; Plastid thylakoid; LOCATION	Plastid, organellar chromatophore thylakoid		
SL-0355	Organellar chromatophore thylakoid lumen	Cellular component	GO:0070117:organellar chromatophore thylakoid lumen	SL-0309; Plastid thylakoid lumen; LOCATION	Plastid, organellar chromatophore thylakoid lumen		
SL-0356	Organellar chromatophore thylakoid membrane	Cellular component	GO:0070118:organellar chromatophore thylakoid membrane	SL-0216; Plastid thylakoid membrane; LOCATION	Plastid, organellar chromatophore thylakoid membrane		
SL-0357	Bacterial flagellum hook	Cellular component	GO:0009424:bacterial-type flagellum hook		Bacterial flagellum hook		
SL-0358	Bacterial flagellum filament	Cellular component	GO:0009420:bacterial-type flagellum filament		Bacterial flagellum filament		
SL-0359	Organellar chromatophore inner membrane	Cellular component	GO:0070113:organellar chromatophore inner membrane	SL-0211; Plastid inner membrane; LOCATION, SL-0352; Organellar chromatophore membrane; LOCATION	Plastid, organellar chromatophore inner membrane		
SL-0360	Organellar chromatophore intermembrane space	Cellular component	GO:0070115:organellar chromatophore intermembrane space	SL-0212; Plastid intermembrane space; LOCATION	Plastid, organellar chromatophore intermembrane space		
SL-0361	Organellar chromatophore outer membrane	Cellular component	GO:0070114:organellar chromatophore outer membrane	SL-0214; Plastid outer membrane; LOCATION, SL-0352; Organellar chromatophore membrane; LOCATION	Plastid, organellar chromatophore outer membrane		
SL-0362	Inner membrane complex	Cellular component	GO:0070258:inner membrane pellicle complex		Inner membrane complex		
SL-0363	Spore membrane	Cellular component		SL-0162; Membrane; LOCATION	Spore membrane		
SL-0364	Spore cortex	Cellular component	GO:0043595:endospore cortex		Spore cortex		
SL-0365	Spore outer membrane	Cellular component	GO:0043594:outer endospore membrane	SL-0162; Membrane; LOCATION	Spore outer membrane		
SL-0366	Spore coat	Cellular component			Spore coat		
SL-0367	Perispore	Cellular component			Spore, perispore		
SL-0368	Prospore membrane	Cellular component	GO:0005628:prospore membrane	SL-0162; Membrane; LOCATION	Prospore membrane		
SL-0369	Prospore	Cellular component	GO:0042764:ascospore-type prospore		Prospore		
SL-0370	Membrane raft	Cellular component	GO:0045121:membrane raft		Membrane raft		
SL-0371	Pollen coat	Cellular component	GO:0070505:pollen coat	SL-0111; Extracellular matrix; LOCATION	Secreted, extracellular space, extracellular matrix, pollen coat		
SL-0372	Host apical cell membrane	Cellular component	GO:0020002:host cell plasma membrane		Host apical cell membrane		
SL-0373	Host cell inner membrane	Cellular component	GO:0020002:host cell plasma membrane	SL-0375; Host cell membrane; LOCATION	Host cell inner membrane	KW-1030	
SL-0374	Host cell junction	Cellular component	GO:0044156:host cell junction		Host cell junction	KW-1031	
SL-0375	Host cell membrane	Cellular component	GO:0020002:host cell plasma membrane	SL-0380; Host membrane; LOCATION	Host cell membrane	KW-1032	
SL-0376	Host cell outer membrane	Cellular component	GO:0020002:host cell plasma membrane	SL-0380; Host membrane; LOCATION	Host cell outer membrane	KW-1033	
SL-0377	Host cell projection	Cellular component	GO:0044157:host cell projection		Host cell projection	KW-1034	
SL-0378	Host cell surface	Cellular component	GO:0044228:host cell surface		Host cell surface		
SL-0379	Host filopodium	Cellular component	GO:0044176:host cell filopodium	SL-0377; Host cell projection; LOCATION	Host cell projection, host filopodium		
SL-0380	Host membrane	Cellular component	GO:0033644:host cell membrane	SL-0162; Membrane; LOCATION	Host membrane	KW-1043	
SL-0381	Host cytoplasm	Cellular component	GO:0030430:host cell cytoplasm		Host cytoplasm	KW-1035	
SL-0382	Host perinuclear region	Cellular component	GO:0044220:host cell perinuclear region of cytoplasm		Host cytoplasm, host perinuclear region		
SL-0383	Host cytoskeleton	Cellular component	GO:0044163:host cytoskeleton		Host cytoplasm, host cytoskeleton	KW-1037	
SL-0384	Host cytosol	Cellular component	GO:0044164:host cell cytosol		Host cytoplasm, host cytosol		
SL-0385	Host plasmodesma	Cellular component	GO:0044219:host cell plasmodesma	SL-0374; Host cell junction; LOCATION	Host cell junction, host plasmodesma		
SL-0386	Host cytoplasmic vesicle	Cellular component	GO:0044161:host cell cytoplasmic vesicle		Host cytoplasmic vesicle	KW-1036	
SL-0387	Host cytoplasmic vesicle membrane	Cellular component	GO:0044162:host cell cytoplasmic vesicle membrane	SL-0380; Host membrane; LOCATION	Host cytoplasmic vesicle membrane		
SL-0388	Host endoplasmic reticulum	Cellular component	GO:0044165:host cell endoplasmic reticulum		Host endoplasmic reticulum	KW-1038	
SL-0389	Host endoplasmic reticulum lumen	Cellular component	GO:0044166:host cell endoplasmic reticulum lumen		Host endoplasmic reticulum lumen		
SL-0390	Host endoplasmic reticulum membrane	Cellular component	GO:0044167:host cell endoplasmic reticulum membrane	SL-0380; Host membrane; LOCATION	Host endoplasmic reticulum membrane		
SL-0391	Host endoplasmic reticulum-Golgi intermediate compartment	Cellular component	GO:0044172:host cell endoplasmic reticulum-Golgi intermediate compartment		Host endoplasmic reticulum-Golgi intermediate compartment		
SL-0392	Host endoplasmic reticulum-Golgi intermediate compartment membrane	Cellular component	GO:0044173:host cell endoplasmic reticulum-Golgi intermediate compartment membrane	SL-0380; Host membrane; LOCATION	Host endoplasmic reticulum-Golgi intermediate compartment membrane		
SL-0393	Host endosome	Cellular component	GO:0044174:host cell endosome		Host endosome	KW-1039	
SL-0394	Host endosome membrane	Cellular component	GO:0044175:host cell endosome membrane	SL-0380; Host membrane; LOCATION	Host endosome membrane		
SL-0395	Host Golgi apparatus	Cellular component	GO:0044177:host cell Golgi apparatus		Host Golgi apparatus	KW-1040	
SL-0396	Host cis-Golgi network	Cellular component			Host Golgi apparatus, host cis-Golgi network		
SL-0397	Host cis-Golgi network membrane	Cellular component		SL-0426; Host Golgi apparatus membrane; LOCATION	Host Golgi apparatus, host cis-Golgi network membrane		
SL-0398	Host endomembrane system	Cellular component	GO:0033645:host cell endomembrane system	SL-0380; Host membrane; LOCATION	Host endomembrane system		
SL-0399	Host late endosome	Cellular component	GO:0044184:host cell late endosome		Host late endosome		
SL-0400	Host late endosome membrane	Cellular component	GO:0044185:host cell late endosome membrane	SL-0394; Host endosome membrane; LOCATION	Host late endosome membrane		
SL-0401	Host lipid droplet	Cellular component	GO:0044186:host cell lipid droplet		Host lipid droplet	KW-1041	
SL-0403	Host lysosome	Cellular component	GO:0044187:host cell lysosome		Host lysosome	KW-1042	
SL-0404	Host lysosome membrane	Cellular component	GO:0044188:host cell lysosomal membrane	SL-0380; Host membrane; LOCATION	Host lysosome membrane		
SL-0405	Host microsome	Cellular component	GO:0033648:host intracellular membrane-bounded organelle		Host microsome	KW-1044	
SL-0406	Host microsome membrane	Cellular component	GO:0033648:host intracellular membrane-bounded organelle	SL-0380; Host membrane; LOCATION	Host microsome membrane		
SL-0407	Host mitochondrion	Cellular component	GO:0033650:host cell mitochondrion		Host mitochondrion	KW-1045	
SL-0408	Host mitochondrion envelope	Cellular component	GO:0044190:host cell mitochondrial envelope		Host mitochondrion envelope		
SL-0409	Host mitochondrion inner membrane	Cellular component	GO:0044192:host cell mitochondrial inner membrane	SL-0410; Host mitochondrion membrane; LOCATION	Host mitochondrion inner membrane	KW-1046	
SL-0410	Host mitochondrion membrane	Cellular component	GO:0044191:host cell mitochondrial membrane	SL-0380; Host membrane; LOCATION	Host mitochondrion membrane		
SL-0411	Host mitochondrion outer membrane	Cellular component	GO:0044193:host cell mitochondrial outer membrane	SL-0410; Host mitochondrion membrane; LOCATION	Host mitochondrion outer membrane	KW-1047	
SL-0412	Host nucleolus	Cellular component	GO:0044196:host cell nucleolus		Host nucleus, host nucleolus		
SL-0413	Host nucleoplasm	Cellular component	GO:0044095:host cell nucleoplasm		Host nucleus, host nucleoplasm		
SL-0414	Host nucleus	Cellular component	GO:0042025:host cell nucleus		Host nucleus	KW-1048	
SL-0415	Host nucleus envelope	Cellular component	GO:0044199:host cell nuclear envelope		Host nucleus envelope		
SL-0416	Host nucleus lamina	Cellular component	GO:0044203:host cell nuclear lamina		Host nucleus lamina		
SL-0417	Host nucleus matrix	Cellular component	GO:0044204:host cell nuclear matrix		Host nucleus matrix		
SL-0418	Host nucleus membrane	Cellular component	GO:0044200:host cell nuclear membrane	SL-0380; Host membrane; LOCATION	Host nucleus membrane		
SL-0419	Host nucleus inner membrane	Cellular component	GO:0044201:host cell nuclear inner membrane	SL-0418; Host nucleus membrane; LOCATION	Host nucleus inner membrane		
SL-0420	Host periplasm	Cellular component	GO:0044229:host cell periplasmic space		Host periplasm	KW-1049	
SL-0421	Host cell envelope	Cellular component	GO:0044230:host cell envelope		Host cell envelope		
SL-0422	Host rough endoplasmic reticulum	Cellular component	GO:0044168:host cell rough endoplasmic reticulum		Host rough endoplasmic reticulum		
SL-0423	Host rough endoplasmic reticulum membrane	Cellular component	GO:0044169:host cell rough endoplasmic reticulum membrane	SL-0390; Host endoplasmic reticulum membrane; LOCATION	Host rough endoplasmic reticulum membrane		
SL-0424	Host cell wall	Cellular component	GO:0044158:host cell wall		Host cell wall		
SL-0425	Host extracellular space	Cellular component	GO:0043655:host extracellular space		Host extracellular space		
SL-0426	Host Golgi apparatus membrane	Cellular component	GO:0044178:host cell Golgi membrane	SL-0380; Host membrane; LOCATION	Host Golgi apparatus membrane		
SL-0427	Host cell	Cellular component	GO:0043657:host cell		Host cell		
SL-0428	Host caveola	Cellular component	GO:0044155:host caveola		Host membrane, host caveola		
SL-0429	Host cellular thylakoid	Cellular component	GO:0044159:host thylakoid	SL-0449; Host thylakoid; LOCATION	Host cellular thylakoid		
SL-0430	Host cellular thylakoid membrane	Cellular component	GO:0044160:host thylakoid membrane	SL-0380; Host membrane; LOCATION	Host cellular thylakoid membrane		
SL-0431	Host	Cellular component	GO:0018995:host cellular component		Host		http://web.uconn.edu/mcbstaff/graf/GenSym/GenSym.htm
SL-0432	Host phagosome	Cellular component		SL-0386; Host cytoplasmic vesicle; LOCATION	Host cytoplasmic vesicle, host phagosome		
SL-0433	Host phagosome membrane	Cellular component		SL-0387; Host cytoplasmic vesicle membrane; LOCATION	Host cytoplasmic vesicle, host phagosome membrane		
SL-0434	Host presynaptic cell membrane	Cellular component	GO:0044231:host cell presynaptic membrane		Host synapse, host presynaptic cell membrane		
SL-0435	Host synapse	Cellular component	GO:0044221:host cell synapse		Host synapse	KW-1051	
SL-0436	Spore polar tube	Cellular component	GO:0044099:polar tube		Spore polar tube		
SL-0437	Mitosome	Cellular component	GO:0032047:mitosome		Mitosome	KW-1025	
SL-0438	Mitosome envelope	Cellular component			Mitosome envelope		
SL-0439	Mitosome inner membrane	Cellular component		SL-0442; Mitosome membrane; LOCATION	Mitosome inner membrane		
SL-0440	Mitosome intermembrane space	Cellular component			Mitosome intermembrane space		
SL-0441	Mitosome matrix	Cellular component			Mitosome matrix		
SL-0442	Mitosome membrane	Cellular component		SL-0162; Membrane; LOCATION	Mitosome membrane		
SL-0443	Mitosome outer membrane	Cellular component		SL-0442; Mitosome membrane; LOCATION	Mitosome outer membrane		
