feat1	feat2	R	p	Padj	name_int	type	sign	color
CEBPB	CDK1	0.439139182923629	0.000142914863228594	0.00493950698211344	CEBPB (interacts with) CDK1	prot-prot	NA	prot-prot_NA
DDX58	CDK1	0.514163240311434	5.29275127458817e-06	0.000291356597495014	DDX58 (interacts with) CDK1	prot-prot	NA	prot-prot_NA
SNRPB2	CDK1	0.45789519727058	6.72873861318202e-05	0.00261610912318719	SNRPB2 (interacts with) CDK1	prot-prot	NA	prot-prot_NA
CDKN2D	CDKN1A	0.769608958096405	7.105427357601e-15	2.99126843513432e-12	CDKN2D (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
DAB2	CDKN1A	0.874726620593124	0	0	DAB2 (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
DBI	CDKN1A	0.676948648412212	1.2456102815861e-10	2.38710985306947e-08	DBI (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
DTYMK	CDKN1A	0.566687078995713	3.15592998401115e-07	2.47463456456203e-05	DTYMK (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
DUT	CDKN1A	0.657702738168139	6.18306295052662e-10	9.86217742667848e-08	DUT (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
ENO1	CDKN1A	0.734826349400752	4.44089209850063e-13	1.3184058854277e-10	ENO1 (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
FABP5	CDKN1A	0.461149505730032	5.87772725202385e-05	0.00233653306241443	FABP5 (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
FGF2	CDKN1A	0.515632928002799	4.92203478730247e-06	0.000273884839302118	FGF2 (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
FKBP5	CDKN1A	0.841238736768437	0	0	FKBP5 (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
FST	CDKN1A	-0.509369259032456	6.69173208511786e-06	0.000355048925507906	FST (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
GGCT	CDKN1A	0.630268567929315	5.01818586684522e-09	6.16588579237249e-07	GGCT (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
JPT2	CDKN1A	0.889948385967982	0	0	JPT2 (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
KIF22	CDKN1A	0.580094305807394	1.41736002934323e-07	1.23173622854599e-05	KIF22 (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
LBR	CDKN1A	0.563467763100341	3.80481214978801e-07	2.90796357162369e-05	LBR (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
MCFD2	CDKN1A	0.545096666958271	1.06592115800552e-06	7.06396266776305e-05	MCFD2 (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
MGMT	CDKN1A	0.804251596535736	0	0	MGMT (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
MTHFD2	CDKN1A	0.499466363397778	1.07431221771925e-05	0.000533107975865322	MTHFD2 (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
MZT1	CDKN1A	0.629953634852594	5.13415576719467e-09	6.2634261330907e-07	MZT1 (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
NEXN	CDKN1A	0.888478698276616	0	0	NEXN (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
NT5C	CDKN1A	0.646960020995538	1.43948986064402e-09	2.07092995077526e-07	NT5C (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
PAGR1	CDKN1A	0.4684279590587	4.32216941887997e-05	0.00180918191812286	PAGR1 (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
PLEKHO1	CDKN1A	0.5735806141195	2.10044714732405e-07	1.74279427280393e-05	PLEKHO1 (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
PPP1CC	CDKN1A	0.834485171900971	0	0	PPP1CC (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
PPP1R14A	CDKN1A	0.839804041641151	0	0	PPP1R14A (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
PRTFDC1	CDKN1A	0.789764675006561	4.44089209850063e-16	2.25825958593062e-13	PRTFDC1 (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
PSRC1	CDKN1A	0.760195958358849	2.30926389122033e-14	8.91757845511849e-12	PSRC1 (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
PSTPIP2	CDKN1A	0.828466450879188	0	0	PSTPIP2 (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
RANBP1	CDKN1A	0.467732199582237	4.45240738842223e-05	0.00185751816258332	RANBP1 (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
RBPMS2	CDKN1A	0.807610882687429	0	0	RBPMS2 (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
RNASEH2A	CDKN1A	0.569981366318428	2.60095873061417e-07	2.09709953539001e-05	RNASEH2A (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
RRAS	CDKN1A	0.715026813314154	3.56914497956495e-12	9.11996448509731e-10	RRAS (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
SAMD9L	CDKN1A	0.661027031755752	4.72741623624984e-10	7.70793961567592e-08	SAMD9L (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
SNX5	CDKN1A	0.486624092380369	1.94267818272031e-05	0.000890252153332665	SNX5 (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
SPARC	CDKN1A	0.642760913305922	1.98497951409138e-09	2.73320503602502e-07	SPARC (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
TACC3	CDKN1A	0.85537573265681	0	0	TACC3 (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
TIMP3	CDKN1A	0.604689003586738	2.96200850513628e-08	3.03650213221157e-06	TIMP3 (interacts with) CDKN1A	prot-prot	NA	prot-prot_NA
DAB2	CDKN2D	0.867273204444056	0	0	DAB2 (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
DBI	CDKN2D	0.677438544309334	1.19396048603448e-10	2.31403058727287e-08	DBI (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
DTYMK	CDKN2D	0.524311083894672	3.18346742922415e-06	0.000186647131466841	DTYMK (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
DUT	CDKN2D	0.494987315195521	1.3244563620729e-05	0.00064600264725607	DUT (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
ENO1	CDKN2D	0.607243460764588	2.49829845699878e-08	2.61862466839709e-06	ENO1 (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
FABP5	CDKN2D	0.500341177499781	1.03092131493732e-05	0.000517071472023248	FABP5 (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
FGF2	CDKN2D	0.518292362872889	4.3122456303557e-06	0.000243114089544532	FGF2 (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
FKBP5	CDKN2D	0.774367946811303	3.77475828372553e-15	1.6858398734969e-12	FKBP5 (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
FST	CDKN2D	-0.51853731082145	4.25979259199849e-06	0.000240685310808628	FST (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
GGCT	CDKN2D	0.52627066748316	2.88031703998826e-06	0.00017141724585608	GGCT (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
JPT2	CDKN2D	0.772338378094655	4.88498130835069e-15	2.09077199997409e-12	JPT2 (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
LBR	CDKN2D	0.571306097454291	2.4049073732435e-07	1.96057210618708e-05	LBR (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
MCFD2	CDKN2D	0.442428483947161	0.000125623670934605	0.00441013789419091	MCFD2 (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
MGMT	CDKN2D	0.73692590324556	3.521627434111e-13	1.05772388898211e-10	MGMT (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
MZT1	CDKN2D	0.500726095704663	1.01235239904351e-05	0.000509249943338638	MZT1 (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
NEXN	CDKN2D	0.81569416498994	0	0	NEXN (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
NT5C	CDKN2D	0.596465751027907	5.07293211882143e-08	4.96277702138416e-06	NT5C (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
PLEKHO1	CDKN2D	0.48959846032718	1.69719691969217e-05	0.000793157723342946	PLEKHO1 (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
PPP1CC	CDKN2D	0.764465051176625	1.35447209004269e-14	5.4348192612963e-12	PPP1CC (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
PPP1R14A	CDKN2D	0.837389554719622	0	0	PPP1R14A (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
PRTFDC1	CDKN2D	0.772793281427697	4.66293670342566e-15	2.04690965032429e-12	PRTFDC1 (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
PSRC1	CDKN2D	0.709841658647537	5.98543437035914e-12	1.46386623457927e-09	PSRC1 (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
PSTPIP2	CDKN2D	0.777447292450354	2.44249065417534e-15	1.11014442476501e-12	PSTPIP2 (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
RBPMS2	CDKN2D	0.755052051439069	4.32986979603811e-14	1.56607121636984e-11	RBPMS2 (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
RNASEH2A	CDKN2D	0.501902737336477	9.57507428545057e-06	0.000486425138774225	RNASEH2A (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
RRAS	CDKN2D	0.571678520523323	2.35235637857656e-07	1.9238379554728e-05	RRAS (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
SAMD9L	CDKN2D	0.553949785670545	6.53832051167313e-07	4.66083396513704e-05	SAMD9L (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
SNX5	CDKN2D	0.481830111101391	2.4089120625348e-05	0.00107677740236542	SNX5 (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
SPARC	CDKN2D	0.669775172775785	2.29475549673452e-10	4.02247925980495e-08	SPARC (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
TACC3	CDKN2D	0.791479310646488	4.44089209850063e-16	2.25825958593062e-13	TACC3 (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
TIMP3	CDKN2D	0.569591461814364	2.66147593297461e-07	2.13917690011856e-05	TIMP3 (interacts with) CDKN2D	prot-prot	NA	prot-prot_NA
taurine	CDKN2D	0.444388067535649	0.000116260967426118	0.00413229293218369	taurine (interacts with) CDKN2D	met-prot	pos	met-prot_pos
CPPED1	CEBPB	0.513393403901671	5.49720980824731e-06	0.000300038996547908	CPPED1 (interacts with) CEBPB	prot-prot	NA	prot-prot_NA
DDX58	CEBPB	0.453941037529525	7.91577608232341e-05	0.00298717310498259	DDX58 (interacts with) CEBPB	prot-prot	NA	prot-prot_NA
EIF4EBP1	CEBPB	0.515003061849357	5.07783311243237e-06	0.000282248385989748	EIF4EBP1 (interacts with) CEBPB	prot-prot	NA	prot-prot_NA
FEN1	CEBPB	0.568646662584201	2.81367750210038e-07	2.23009994610919e-05	FEN1 (interacts with) CEBPB	prot-prot	NA	prot-prot_NA
FUS	CEBPB	0.545831510803954	1.02408884705696e-06	6.81310922083489e-05	FUS (interacts with) CEBPB	prot-prot	NA	prot-prot_NA
INPP5D	CEBPB	0.467343189572216	4.52680191638244e-05	0.00188408870685091	INPP5D (interacts with) CEBPB	prot-prot	NA	prot-prot_NA
MKI67	CEBPB	0.493937538273117	1.39046454594727e-05	0.000672450650469413	MKI67 (interacts with) CEBPB	prot-prot	NA	prot-prot_NA
NDRG1	CEBPB	0.483649724433558	2.22088850270197e-05	0.00100232718364475	NDRG1 (interacts with) CEBPB	prot-prot	NA	prot-prot_NA
NFKB1	CEBPB	0.472508726365088	3.62674522613737e-05	0.00155743841818073	NFKB1 (interacts with) CEBPB	prot-prot	NA	prot-prot_NA
NPM1	CEBPB	0.473256932901758	3.51110168561597e-05	0.00151156900731967	NPM1 (interacts with) CEBPB	prot-prot	NA	prot-prot_NA
PARP1	CEBPB	0.524311083894672	3.18346742922415e-06	0.000186647131466841	PARP1 (interacts with) CEBPB	prot-prot	NA	prot-prot_NA
PBK	CEBPB	0.449252033942787	9.5731017332179e-05	0.00352707679352993	PBK (interacts with) CEBPB	prot-prot	NA	prot-prot_NA
SAMD9L	CEBPB	0.465453591111889	4.90484338793173e-05	0.00201530205123339	SAMD9L (interacts with) CEBPB	prot-prot	NA	prot-prot_NA
SNRPB2	CEBPB	0.446102703175575	0.000108600810560411	0.00391145696380273	SNRPB2 (interacts with) CEBPB	prot-prot	NA	prot-prot_NA
TIGAR	CEBPB	0.455550695477211	7.41095911873657e-05	0.00282783700102757	TIGAR (interacts with) CEBPB	prot-prot	NA	prot-prot_NA
CPPED1	CENPF	0.44197358061412	0.000127894253344252	0.0044776065792507	CPPED1 (interacts with) CENPF	prot-prot	NA	prot-prot_NA
DDX58	CENPF	0.472976992389117	3.5539628066017e-05	0.00152746049997542	DDX58 (interacts with) CENPF	prot-prot	NA	prot-prot_NA
GGCT	CENPF	0.446172688303735	0.000108298271265905	0.00390329769278379	GGCT (interacts with) CENPF	prot-prot	NA	prot-prot_NA
GLRX	CENPF	0.62904382818651	5.48366374530929e-09	6.60152645741192e-07	GLRX (interacts with) CENPF	prot-prot	NA	prot-prot_NA
HAGH	CENPF	0.667675618930977	2.73542966056084e-10	4.69871797212056e-08	HAGH (interacts with) CENPF	prot-prot	NA	prot-prot_NA
LXN	CENPF	0.465208643163328	4.95593572038544e-05	0.0020249551201193	LXN (interacts with) CENPF	prot-prot	NA	prot-prot_NA
PSME1	CENPF	0.556644213104715	5.61879987426295e-07	4.07601075624499e-05	PSME1 (interacts with) CENPF	prot-prot	NA	prot-prot_NA
PSMG3	CENPF	0.618616044090631	1.14915326143716e-08	1.30288104872876e-06	PSMG3 (interacts with) CENPF	prot-prot	NA	prot-prot_NA
TGM2	CENPF	0.702353249934389	1.23852039735084e-11	2.86533367603329e-09	TGM2 (interacts with) CENPF	prot-prot	NA	prot-prot_NA
CPPED1	CIT	0.465418598547809	4.91211228816901e-05	0.00201667535667754	CPPED1 (interacts with) CIT	prot-prot	NA	prot-prot_NA
DDX58	CIT	0.439174175487709	0.000142719918507783	0.00493941712571411	DDX58 (interacts with) CIT	prot-prot	NA	prot-prot_NA
HAGH	CIT	0.503840433907795	8.73194753392426e-06	0.000451179904770976	HAGH (interacts with) CIT	prot-prot	NA	prot-prot_NA
INPP5D	CIT	0.477945936488496	2.86084062106617e-05	0.00125476323055473	INPP5D (interacts with) CIT	prot-prot	NA	prot-prot_NA
NPM1	CIT	0.463948910856443	5.22657500201529e-05	0.00211367631577563	NPM1 (interacts with) CIT	prot-prot	NA	prot-prot_NA
PSME1	CIT	0.555664421310472	5.93807968574112e-07	4.27741616633469e-05	PSME1 (interacts with) CIT	prot-prot	NA	prot-prot_NA
PSMG3	CIT	0.546076458752515	1.01049142364751e-06	6.74887379954955e-05	PSMG3 (interacts with) CIT	prot-prot	NA	prot-prot_NA
TGM2	CIT	0.447677368559181	0.000101978754573295	0.00371983984249942	TGM2 (interacts with) CIT	prot-prot	NA	prot-prot_NA
TIGAR	CLSPN	0.484279590587	2.15905030522823e-05	0.000976134011236987	TIGAR (interacts with) CLSPN	prot-prot	NA	prot-prot_NA
COL6A3	COL15A1	0.569211523173939	2.72172302917539e-07	2.17399214274414e-05	COL6A3 (interacts with) COL15A1	prot-prot	NA	prot-prot_NA
COLEC12	COL15A1	0.590312223906972	7.51415765165575e-08	7.01685703616435e-06	COLEC12 (interacts with) COL15A1	prot-prot	NA	prot-prot_NA
CYTL1	COL15A1	0.490862486787104	1.60189456099857e-05	0.000754800960118227	CYTL1 (interacts with) COL15A1	prot-prot	NA	prot-prot_NA
GM2A	COL15A1	0.452492804608379	8.39693354435234e-05	0.00315023014490822	GM2A (interacts with) COL15A1	prot-prot	NA	prot-prot_NA
NPC2	COL15A1	0.492454662381388	1.48894382483444e-05	0.000709389191498117	NPC2 (interacts with) COL15A1	prot-prot	NA	prot-prot_NA
NPDC1	COL15A1	0.572658320889036	2.21923132315283e-07	1.83247139480915e-05	NPDC1 (interacts with) COL15A1	prot-prot	NA	prot-prot_NA
SGSH	COL15A1	0.471458940258967	3.79496873108565e-05	0.00161616578796483	SGSH (interacts with) COL15A1	prot-prot	NA	prot-prot_NA
TNFRSF10B	COL15A1	0.48293660168589	2.29288751807388e-05	0.00103119704840871	TNFRSF10B (interacts with) COL15A1	prot-prot	NA	prot-prot_NA
TNFRSF19	COL15A1	0.460142772159429	6.12970259123991e-05	0.00242730551338536	TNFRSF19 (interacts with) COL15A1	prot-prot	NA	prot-prot_NA
COLEC12	COL6A3	0.686361648149768	5.44173595073971e-11	1.10469390683791e-08	COLEC12 (interacts with) COL6A3	prot-prot	NA	prot-prot_NA
CTSD	COL6A3	0.484454553407401	2.1421595494342e-05	0.000969350788184497	CTSD (interacts with) COL6A3	prot-prot	NA	prot-prot_NA
CTSZ	COL6A3	0.454780859067448	7.64855914840989e-05	0.00289911437536777	CTSZ (interacts with) COL6A3	prot-prot	NA	prot-prot_NA
GM2A	COL6A3	0.589257282827399	8.03110675740015e-08	7.47242106992884e-06	GM2A (interacts with) COL6A3	prot-prot	NA	prot-prot_NA
GRN	COL6A3	0.452786282914881	8.29729940075019e-05	0.00311740524669005	GRN (interacts with) COL6A3	prot-prot	NA	prot-prot_NA
HEG1	COL6A3	0.459574840346426	6.27622399680394e-05	0.00247198515702339	HEG1 (interacts with) COL6A3	prot-prot	NA	prot-prot_NA
IGFBP7	COL6A3	0.53887270470704	1.49056345311038e-06	9.56941736896866e-05	IGFBP7 (interacts with) COL6A3	prot-prot	NA	prot-prot_NA
NPC2	COL6A3	0.535718659784796	1.76214138458697e-06	0.000110504983531608	NPC2 (interacts with) COL6A3	prot-prot	NA	prot-prot_NA
PIK3IP1	COL6A3	0.459154929577465	6.38663387215743e-05	0.00250204054671248	PIK3IP1 (interacts with) COL6A3	prot-prot	NA	prot-prot_NA
SERPINF1	COL6A3	0.491352386969961	1.56631757544101e-05	0.000741438439397699	SERPINF1 (interacts with) COL6A3	prot-prot	NA	prot-prot_NA
TNFRSF10B	COL6A3	0.552935001312221	6.92001620006266e-07	4.9022349246237e-05	TNFRSF10B (interacts with) COL6A3	prot-prot	NA	prot-prot_NA
ULBP2	COL6A3	0.481830111101391	2.4089120625348e-05	0.00107677740236542	ULBP2 (interacts with) COL6A3	prot-prot	NA	prot-prot_NA
CTSZ	COLEC12	0.452436357274079	8.41622334712966e-05	0.00315056290895466	CTSZ (interacts with) COLEC12	prot-prot	NA	prot-prot_NA
GDF15	COLEC12	0.546283254931946	9.99144266877749e-07	6.6992231784388e-05	GDF15 (interacts with) COLEC12	prot-prot	NA	prot-prot_NA
GGH	COLEC12	0.443093342664684	0.000122371878044536	0.0043077585033361	GGH (interacts with) COLEC12	prot-prot	NA	prot-prot_NA
GM2A	COLEC12	0.557274079258158	5.42216614718427e-07	3.95571666646852e-05	GM2A (interacts with) COLEC12	prot-prot	NA	prot-prot_NA
NPC2	COLEC12	0.538728020295687	1.50210785299087e-06	9.61948370693408e-05	NPC2 (interacts with) COLEC12	prot-prot	NA	prot-prot_NA
NPDC1	COLEC12	0.442428483947161	0.000125623670934605	0.00441013789419091	NPDC1 (interacts with) COLEC12	prot-prot	NA	prot-prot_NA
PIK3IP1	COLEC12	0.553249934388942	6.79936950742643e-07	4.83678141137703e-05	PIK3IP1 (interacts with) COLEC12	prot-prot	NA	prot-prot_NA
TNFRSF10B	COLEC12	0.621380456652961	9.46999012541028e-09	1.09792029986698e-06	TNFRSF10B (interacts with) COLEC12	prot-prot	NA	prot-prot_NA
TNFRSF19	COLEC12	0.51441268843442	5.2280426086071e-06	0.000288412747989324	TNFRSF19 (interacts with) COLEC12	prot-prot	NA	prot-prot_NA
1-ribosyl-imidazoleacetate*	COLEC12	0.5210917679993	3.74725504515006e-06	0.000215519618274252	1-ribosyl-imidazoleacetate* (interacts with) COLEC12	met-prot	pos	met-prot_pos
FEN1	CPPED1	0.449741929839909	9.38605556333183e-05	0.00346811376786131	FEN1 (interacts with) CPPED1	prot-prot	NA	prot-prot_NA
FUS	CPPED1	0.487813839559094	1.84076714879744e-05	0.000852495949163539	FUS (interacts with) CPPED1	prot-prot	NA	prot-prot_NA
GGCT	CPPED1	0.492642813402152	1.47609806186999e-05	0.000703921972680062	GGCT (interacts with) CPPED1	prot-prot	NA	prot-prot_NA
HAGH	CPPED1	0.593071472312134	6.30687391200979e-08	5.99853785408931e-06	HAGH (interacts with) CPPED1	prot-prot	NA	prot-prot_NA
INPP5D	CPPED1	0.503595485959234	8.83456160316598e-06	0.000455108409166103	INPP5D (interacts with) CPPED1	prot-prot	NA	prot-prot_NA
PSME1	CPPED1	0.608363222815152	2.31752892432269e-08	2.44914167804965e-06	PSME1 (interacts with) CPPED1	prot-prot	NA	prot-prot_NA
PSMG3	CPPED1	0.606998512816027	2.53958609697236e-08	2.65647946925662e-06	PSMG3 (interacts with) CPPED1	prot-prot	NA	prot-prot_NA
SNRPB2	CPPED1	0.466993263931415	4.59470472478074e-05	0.00190617152394781	SNRPB2 (interacts with) CPPED1	prot-prot	NA	prot-prot_NA
TGM2	CPPED1	0.530994663633978	2.25707825141086e-06	0.000137350164683012	TGM2 (interacts with) CPPED1	prot-prot	NA	prot-prot_NA
CREG1	CPQ	0.529629953634853	2.42271547534756e-06	0.000146216999781258	CREG1 (interacts with) CPQ	prot-prot	NA	prot-prot_NA
CTSF	CPQ	0.50006123698714	1.04462513794701e-05	0.00052241428515052	CTSF (interacts with) CPQ	prot-prot	NA	prot-prot_NA
CTSZ	CPQ	0.462409238036917	5.57593569676662e-05	0.00222863857887886	CTSZ (interacts with) CPQ	prot-prot	NA	prot-prot_NA
GGH	CPQ	0.613402152042691	1.6468779451273e-08	1.79583123697958e-06	GGH (interacts with) CPQ	prot-prot	NA	prot-prot_NA
GLB1	CPQ	0.503525500831073	8.86408611955325e-06	0.000456171806713682	GLB1 (interacts with) CPQ	prot-prot	NA	prot-prot_NA
L1CAM	CPQ	0.514548158516315	5.19321164627051e-06	0.000287108019539778	L1CAM (interacts with) CPQ	prot-prot	NA	prot-prot_NA
MAN2B2	CPQ	0.511398827749103	6.06184546514399e-06	0.000328413906212864	MAN2B2 (interacts with) CPQ	prot-prot	NA	prot-prot_NA
PLA2G15	CPQ	0.532534336453504	2.08298532156093e-06	0.000127663634982541	PLA2G15 (interacts with) CPQ	prot-prot	NA	prot-prot_NA
SMPD1	CPQ	0.459889773423148	6.19457857957695e-05	0.00244713497340811	SMPD1 (interacts with) CPQ	prot-prot	NA	prot-prot_NA
CTSC	CREG1	0.566022220278191	3.28071665833818e-07	2.56075391447187e-05	CTSC (interacts with) CREG1	prot-prot	NA	prot-prot_NA
CTSD	CREG1	0.546321406701076	9.97063974939039e-07	6.69401382390445e-05	CTSD (interacts with) CREG1	prot-prot	NA	prot-prot_NA
CTSZ	CREG1	0.71316595223515	4.30233626502741e-12	1.08851226882664e-09	CTSZ (interacts with) CREG1	prot-prot	NA	prot-prot_NA
GGH	CREG1	0.546496369521477	9.87575905497806e-07	6.6389919510952e-05	GGH (interacts with) CREG1	prot-prot	NA	prot-prot_NA
GLB1	CREG1	0.697139357886449	2.02806660354327e-11	4.48971986025785e-09	GLB1 (interacts with) CREG1	prot-prot	NA	prot-prot_NA
MAN2B2	CREG1	0.548245997725483	8.97254101239753e-07	6.11991641961138e-05	MAN2B2 (interacts with) CREG1	prot-prot	NA	prot-prot_NA
PBK	CREG1	0.450931677018634	8.94575688781263e-05	0.00332696650078245	PBK (interacts with) CREG1	prot-prot	NA	prot-prot_NA
PLA2G15	CREG1	0.649584463301548	1.17460752235843e-09	1.74863311154576e-07	PLA2G15 (interacts with) CREG1	prot-prot	NA	prot-prot_NA
PTPRK	CREG1	0.478295862129298	2.81710729048701e-05	0.00123875539759771	PTPRK (interacts with) CREG1	prot-prot	NA	prot-prot_NA
PTPRM	CREG1	0.438775599488398	0.000144954954096388	0.00499992373565513	PTPRM (interacts with) CREG1	prot-prot	NA	prot-prot_NA
SGSH	CREG1	0.588837372058438	8.24609300842383e-08	7.65857752102437e-06	SGSH (interacts with) CREG1	prot-prot	NA	prot-prot_NA
SMPD1	CREG1	0.495792144169364	1.27584165992012e-05	0.000624663752654884	SMPD1 (interacts with) CREG1	prot-prot	NA	prot-prot_NA
TNFRSF1B	CTSB	0.481900096229551	2.40141478191624e-05	0.0010752978482931	TNFRSF1B (interacts with) CTSB	prot-prot	NA	prot-prot_NA
3-ureidopropionate	CTSB	0.445774173529205	0.000110031459521265	0.00394698671244419	3-ureidopropionate (interacts with) CTSB	met-prot	pos	met-prot_pos
taurocholenate sulfate*	CTSB	0.467238211879975	4.54707444106361e-05	0.0018879364857965	taurocholenate sulfate* (interacts with) CTSB	met-prot	pos	met-prot_pos
GLB1	CTSC	0.568751640276441	2.79636919175985e-07	2.22669025874087e-05	GLB1 (interacts with) CTSC	prot-prot	NA	prot-prot_NA
PLA2G15	CTSC	0.51577289825912	4.88802605413952e-06	0.000272287438330375	PLA2G15 (interacts with) CTSC	prot-prot	NA	prot-prot_NA
PTPRK	CTSC	0.583973405651299	1.11677363134888e-07	9.94064015703264e-06	PTPRK (interacts with) CTSC	prot-prot	NA	prot-prot_NA
CTSZ	CTSD	0.543102090805704	1.18771425694497e-06	7.7906774248651e-05	CTSZ (interacts with) CTSD	prot-prot	NA	prot-prot_NA
GGH	CTSD	0.559758551307847	4.70801439611535e-07	3.46920544310594e-05	GGH (interacts with) CTSD	prot-prot	NA	prot-prot_NA
GLB1	CTSD	0.43955909369259	0.000140591623782882	0.00487232509952012	GLB1 (interacts with) CTSD	prot-prot	NA	prot-prot_NA
HEG1	CTSD	0.503210567754352	8.99809045451505e-06	0.000461219486770352	HEG1 (interacts with) CTSD	prot-prot	NA	prot-prot_NA
IGF2R	CTSD	0.630303560493395	5.00545516146644e-09	6.16499225642486e-07	IGF2R (interacts with) CTSD	prot-prot	NA	prot-prot_NA
IGFBP7	CTSD	0.468082128284277	4.38645679612382e-05	0.00183459626261335	IGFBP7 (interacts with) CTSD	prot-prot	NA	prot-prot_NA
IL6	CTSD	0.54198232875514	1.26170629188849e-06	8.2130843030916e-05	IL6 (interacts with) CTSD	prot-prot	NA	prot-prot_NA
PAMR1	CTSD	0.486274166739568	1.97363693597019e-05	0.000901832678215561	PAMR1 (interacts with) CTSD	prot-prot	NA	prot-prot_NA
PLA2G15	CTSD	0.520391916717697	3.88160801945148e-06	0.000222003772693795	PLA2G15 (interacts with) CTSD	prot-prot	NA	prot-prot_NA
PLAT	CTSD	0.637617006386143	2.9229090259264e-09	3.82960733600969e-07	PLAT (interacts with) CTSD	prot-prot	NA	prot-prot_NA
PTPRK	CTSD	0.479240661359461	2.7021108240266e-05	0.00119329674911441	PTPRK (interacts with) CTSD	prot-prot	NA	prot-prot_NA
SGSH	CTSD	0.443408275741405	0.000120858788336786	0.00427206288298509	SGSH (interacts with) CTSD	prot-prot	NA	prot-prot_NA
TNFRSF10B	CTSD	0.469022832648062	4.21362672020642e-05	0.00176951650326902	TNFRSF10B (interacts with) CTSD	prot-prot	NA	prot-prot_NA
CTSZ	CTSF	0.564272592074184	3.63171969608445e-07	2.78395706852085e-05	CTSZ (interacts with) CTSF	prot-prot	NA	prot-prot_NA
GGH	CTSF	0.488548683404776	1.78033256552634e-05	0.00082674394724623	GGH (interacts with) CTSF	prot-prot	NA	prot-prot_NA
GLB1	CTSF	0.465348613419648	4.92668004281605e-05	0.00202104063098268	GLB1 (interacts with) CTSF	prot-prot	NA	prot-prot_NA
