,SUID,adjustedPValue_All_genes,description_All_genes,N_All_genes,name,nn_All_genes,nodeFillColor_All_genes,nodeFontSize_All_genes,nodeSize_All_genes,nodeType_All_genes,pValue_All_genes,selected,shared.name,X_All_genes,xx_All_genes,top,names_2,L1,L2
599,1578781,6.0045e-06,cellular response to hydrogen peroxide,14261,70301,25,5.22151975598571,14,6,ellipse,2.6114e-07,false,70301,565,9,NA,NA,NA,NA
557,1578692,6.1868e-06,regulation of vesicle-mediated transport,14261,60627,121,5.20853484013206,14,8.71779788708135,ellipse,2.7071e-07,false,60627,565,19,NA,NA,NA,L2
214,1578073,6.7864e-06,positive regulation of transferase activity,14261,51347,254,5.16836323575055,14,10.770329614269,ellipse,2.9876e-07,false,51347,565,29,NA,NA,NA,NA
239,1578112,7.139e-06,positive regulation of peptidyl-tyrosine phosphorylation,14261,50731,58,5.14636323242727,14,7.21110255092798,ellipse,3.1619e-07,false,50731,565,13,NA,NA,NA,L2
273,1578169,7.4371e-06,enzyme linked receptor protein signaling pathway,14261,7167,345,5.12859390744879,14,11.8321595661992,ellipse,3.3138e-07,false,7167,565,35,NA,NA,NA,NA
656,1578902,7.4744e-06,negative regulation of protein metabolic process,14261,51248,213,5.12642265601076,14,10.1980390271856,ellipse,3.3503e-07,false,51248,565,26,NA,NA,L1,L2
511,1578601,7.9411e-06,negative regulation of cellular protein metabolic process,14261,32269,200,5.10012138650315,14,10,ellipse,3.5807e-07,false,32269,565,25,NA,NA,L1,L2
728,1579055,8.0842e-06,positive regulation of chemotaxis,14261,50921,41,5.0923649719502,14,6.6332495807108,ellipse,3.6668e-07,false,50921,565,11,NA,NA,NA,L2
845,1579391,8.448e-06,hydrogen peroxide metabolic process,14261,42743,26,5.07324545469374,14,6,ellipse,3.8543e-07,false,42743,565,9,NA,NA,NA,L2
660,1578910,8.5056e-06,Ras protein signal transduction,14261,7265,112,5.07029345264036,14,8.48528137423857,ellipse,3.9033e-07,false,7265,565,18,NA,NA,NA,NA
8,1577750,8.565e-06,positive regulation of peptidyl-serine phosphorylation,14261,33138,14,5.06727182172463,14,5.29150262212918,ellipse,3.9763e-07,false,33138,565,7,NA,NA,NA,L2
745,1579101,8.565e-06,locomotory behavior,14261,7626,272,5.06727182172463,14,10.9544511501033,ellipse,3.9634e-07,false,7626,565,30,NA,NA,NA,L2
10,1577753,9.241e-06,homeostatic process,14261,42592,774,5.03428251918325,14,15.4919333848297,ellipse,4.3148e-07,false,42592,565,60,NA,NA,NA,L2
215,1578074,9.9312e-06,positive regulation of kinase activity,14261,33674,245,5.00300045806461,14,10.5830052442584,ellipse,4.69e-07,false,33674,565,28,NA,NA,NA,L2
220,1578082,9.9312e-06,positive regulation of metabolic process,14261,9893,1018,5.00300045806461,14,17.0880074906351,ellipse,4.6895e-07,false,9893,565,73,NA,NA,L1,L2
7,1577749,1.0051e-05,regulation of peptidyl-serine phosphorylation,14261,33135,20,4.99777636333419,14,5.65685424949238,ellipse,4.7736e-07,false,33135,565,8,NA,NA,L1,L2
473,1578531,1.0752e-05,regulation of chemotaxis,14261,50920,51,4.96849329630767,14,6.92820323027551,ellipse,5.1352e-07,false,50920,565,12,NA,NA,NA,L2
188,1578030,1.1504e-05,blood coagulation,14261,7596,103,4.9391418984782,14,8.24621125123532,ellipse,5.5557e-07,false,7596,565,17,NA,NA,NA,L2
730,1579060,1.1504e-05,coagulation,14261,50817,103,4.9391418984782,14,8.24621125123532,ellipse,5.5557e-07,false,50817,565,17,NA,NA,NA,NA
44,1577805,1.1968e-05,positive regulation of protein metabolic process,14261,51247,307,4.92197237010159,14,11.3137084989848,ellipse,5.8436e-07,false,51247,565,32,NA,NA,L1,L2
119,1577921,1.1968e-05,regulation of protein kinase activity,14261,45859,369,4.92197237010159,14,12,ellipse,5.8248e-07,false,45859,565,36,NA,NA,NA,L2
693,1578981,1.2859e-05,blood vessel morphogenesis,14261,48514,220,4.89078496273745,14,10.1980390271856,ellipse,6.313e-07,false,48514,565,26,NA,NA,NA,NA
425,1578435,1.2969e-05,response to corticosteroid stimulus,14261,31960,104,4.88709276384009,14,8.24621125123532,ellipse,6.4015e-07,false,31960,565,17,NA,NA,NA,NA
525,1578629,1.3134e-05,organic acid metabolic process,14261,6082,570,4.88161351491513,14,13.856406460551,ellipse,6.5178e-07,false,6082,565,48,NA,NA,L1,L2
767,1579152,1.3211e-05,positive regulation of catalytic activity,14261,43085,553,4.87905592503027,14,13.7113092008021,ellipse,6.5915e-07,false,43085,565,47,NA,NA,NA,NA
721,1579041,1.3311e-05,response to lipopolysaccharide,14261,32496,116,4.87578496296273,14,8.48528137423857,ellipse,6.6769e-07,false,32496,565,18,NA,NA,NA,L2
518,1578614,1.46e-05,regulation of immune effector process,14261,2697,105,4.83564639405808,14,8.24621125123532,ellipse,7.3623e-07,false,2697,565,17,NA,NA,NA,NA
133,1577942,1.7563e-05,negative regulation of metabolic process,14261,9892,865,4.75540146627118,14,16,ellipse,8.9033e-07,false,9892,565,64,NA,NA,L1,L2
764,1579146,1.8718e-05,mitochondrion organization,14261,7005,131,4.72773847894505,14,8.71779788708135,ellipse,9.5388e-07,false,7005,565,19,NA,NA,NA,L2
230,1578098,1.9566e-05,cellular aromatic compound metabolic process,14261,6725,144,4.70850447662156,14,8.94427190999916,ellipse,1.0023e-06,false,6725,565,20,NA,NA,L1,L2
922,1579634,1.9974e-05,signal transmission via phosphorylation event,14261,23014,362,4.69952735210798,14,11.8321595661992,ellipse,1.0339e-06,false,23014,565,35,NA,NA,NA,NA
941,1579704,1.9974e-05,intracellular protein kinase cascade,14261,7243,362,4.69952735210798,14,11.8321595661992,ellipse,1.0339e-06,false,7243,565,35,NA,NA,NA,NA
206,1578059,2.0861e-05,induction of apoptosis by extracellular signals,14261,8624,108,4.68066482811178,14,8.24621125123532,ellipse,1.108e-06,false,8624,565,17,NA,NA,NA,NA
630,1578853,2.0861e-05,carboxylic acid metabolic process,14261,19752,563,4.68066482811178,14,13.7113092008021,ellipse,1.0951e-06,false,19752,565,47,NA,NA,NA,NA
815,1579284,2.0861e-05,oxoacid metabolic process,14261,43436,563,4.68066482811178,14,13.7113092008021,ellipse,1.0951e-06,false,43436,565,47,NA,NA,NA,L2
909,1579583,2.0861e-05,negative regulation of cell proliferation,14261,8285,379,4.68066482811178,14,12,ellipse,1.1033e-06,false,8285,565,36,NA,NA,L1,L2
976,1579824,2.0861e-05,posttranscriptional regulation of gene expression,14261,10608,241,4.68066482811178,14,10.3923048454133,ellipse,1.1132e-06,false,10608,565,27,NA,NA,NA,L2
1003,1579945,2.0861e-05,positive regulation of MAP kinase activity,14261,43406,108,4.68066482811178,14,8.24621125123532,ellipse,1.108e-06,false,43406,565,17,NA,NA,NA,L2
490,1578560,2.106e-05,activation of pro-apoptotic gene products,14261,8633,22,4.67653337117969,14,5.65685424949238,ellipse,1.1294e-06,false,8633,565,8,NA,NA,NA,L2
989,1579861,2.1755e-05,localization,14261,51179,2980,4.66244121754032,14,25.6904651573303,ellipse,1.1725e-06,false,51179,565,165,NA,NA,NA,L2
196,1578042,2.3641e-05,cellular protein metabolic process,14261,44267,2151,4.62633194563591,14,22.5388553391693,ellipse,1.2805e-06,false,44267,565,127,NA,NA,NA,L2
744,1579100,2.5378e-05,behavior,14261,7610,465,4.59553982805494,14,12.8062484748657,ellipse,1.3813e-06,false,7610,565,41,NA,NA,L1,L2
1001,1579919,2.9772e-05,positive regulation of behavior,14261,48520,47,4.52618801030239,14,6.6332495807108,ellipse,1.6284e-06,false,48520,565,11,NA,NA,NA,L2
292,1578199,3.0542e-05,positive regulation of T cell activation,14261,50870,77,4.51510040491946,14,7.48331477354788,ellipse,1.6787e-06,false,50870,565,14,NA,NA,NA,NA
274,1578170,3.2796e-05,transmembrane receptor protein tyrosine kinase signaling pathway,14261,7169,218,4.48417727209067,14,10,ellipse,1.8113e-06,false,7169,565,25,NA,NA,NA,NA
626,1578844,3.4694e-05,regulation of translation,14261,6417,150,4.45974516968667,14,8.94427190999916,ellipse,1.9254e-06,false,6417,565,20,NA,NA,L1,L2
545,1578663,3.5316e-05,alcohol catabolic process,14261,46164,78,4.45202589229767,14,7.48331477354788,ellipse,1.9726e-06,false,46164,565,14,NA,NA,NA,NA
612,1578809,3.5316e-05,protein transport,14261,15031,755,4.45202589229767,14,15.0996688705415,ellipse,1.9788e-06,false,15031,565,57,NA,NA,NA,NA
729,1579057,3.6066e-05,hydrogen peroxide catabolic process,14261,42744,17,4.4428980515117,14,5.29150262212918,ellipse,2.0304e-06,false,42744,565,7,NA,NA,NA,L2
400,1578385,3.8349e-05,cellular ketone metabolic process,14261,42180,577,4.41624355232143,14,13.7113092008021,ellipse,2.1692e-06,false,42180,565,47,NA,NA,L1,L2
59,1577828,3.9167e-05,regulation of immune response,14261,50776,235,4.40707787804863,14,10.1980390271856,ellipse,2.2259e-06,false,50776,565,26,NA,NA,NA,L2
174,1578007,3.9532e-05,multicellular organismal development,14261,7275,2966,4.40305460178839,14,25.5342906696074,ellipse,2.2571e-06,false,7275,565,163,NA,NA,NA,NA
508,1578594,4.0507e-05,positive regulation of cellular metabolic process,14261,31325,966,4.39246746298577,14,16.4924225024706,ellipse,2.3237e-06,false,31325,565,68,NA,NA,L1,L2
694,1578982,4.1188e-05,angiogenesis,14261,1525,152,4.38522728866715,14,8.94427190999916,ellipse,2.3737e-06,false,1525,565,20,NA,NA,NA,NA
372,1578335,4.143e-05,response to estrogen stimulus,14261,43627,114,4.38268350902626,14,8.24621125123532,ellipse,2.3987e-06,false,43627,565,17,NA,NA,NA,NA
233,1578103,4.1461e-05,phosphorus metabolic process,14261,6793,948,4.38236301948175,14,16.3707055437449,ellipse,2.4226e-06,false,6793,565,67,NA,NA,L1,L2
234,1578104,4.1461e-05,phosphate metabolic process,14261,6796,948,4.38236301948175,14,16.3707055437449,ellipse,2.4226e-06,false,6796,565,67,NA,NA,NA,L2
395,1578376,4.3052e-05,positive regulation of cellular component organization,14261,51130,222,4.36600624019046,14,10,ellipse,2.5271e-06,false,51130,565,25,NA,NA,L1,L2
1042,1580206,4.4029e-05,regulation of behavior,14261,50795,69,4.35626072620585,14,7.21110255092798,ellipse,2.5962e-06,false,50795,565,13,NA,NA,NA,L2
459,1578506,4.6993e-05,leukocyte homeostasis,14261,1776,32,4.32796326712081,14,6,ellipse,2.796e-06,false,1776,565,9,NA,NA,L1,L2
681,1578959,4.6993e-05,regulation of B cell proliferation,14261,30888,32,4.32796326712081,14,6,ellipse,2.796e-06,false,30888,565,9,NA,NA,NA,NA
586,1578753,5.1849e-05,establishment of protein localization,14261,45184,766,4.28526007274284,14,15.0996688705415,ellipse,3.0988e-06,false,45184,565,57,NA,NA,NA,NA
344,1578288,5.3291e-05,response to external stimulus,14261,9605,550,4.27334216556801,14,13.4164078649987,ellipse,3.1992e-06,false,9605,565,45,NA,NA,L1,L2
1060,1580300,6.825e-05,leukocyte chemotaxis,14261,30595,42,4.16589580715651,14,6.32455532033676,ellipse,4.1154e-06,false,30595,565,10,NA,NA,NA,L2
702,1579000,6.9648e-05,intracellular signal transduction,14261,35556,830,4.15709170082833,14,15.4919333848297,ellipse,4.2183e-06,false,35556,565,60,NA,NA,NA,NA
671,1578930,7.1958e-05,T cell activation,14261,42110,119,4.14292004592471,14,8.24621125123532,ellipse,4.3774e-06,false,42110,565,17,NA,NA,NA,NA
935,1579678,7.2903e-05,regulation of binding,14261,51098,200,4.13725518092302,14,9.59166304662544,ellipse,4.4543e-06,false,51098,565,23,NA,NA,NA,L2
440,1578466,7.4372e-05,response to cytokine stimulus,14261,34097,107,4.12859297947074,14,8,ellipse,4.5639e-06,false,34097,565,16,NA,NA,L1,L2
362,1578319,7.6146e-05,heterocycle biosynthetic process,14261,18130,62,4.11835572308432,14,6.92820323027551,ellipse,4.6931e-06,false,18130,565,12,NA,NA,NA,L2
607,1578797,8.058e-05,regulation of body fluid levels,14261,50878,146,4.09377045436756,14,8.71779788708135,ellipse,4.9879e-06,false,50878,565,19,NA,NA,NA,L2
453,1578490,8.141e-05,monosaccharide metabolic process,14261,5996,216,4.08932250575172,14,9.79795897113271,ellipse,5.061e-06,false,5996,565,24,NA,NA,NA,L2
456,1578498,8.1593e-05,positive regulation of blood vessel endothelial cell migration,14261,43536,13,4.08834592675671,14,4.89897948556636,ellipse,5.0941e-06,false,43536,565,6,NA,NA,NA,NA
505,1578587,8.2524e-05,regulation of wound healing,14261,61041,43,4.08341813670349,14,6.32455532033676,ellipse,5.1743e-06,false,61041,565,10,NA,NA,NA,NA
482,1578546,9.6907e-05,regulation of cell adhesion,14261,30155,148,4.01364503864361,14,8.71779788708135,ellipse,6.1052e-06,false,30155,565,19,NA,NA,NA,L2
780,1579186,9.6907e-05,anatomical structure formation involved in morphogenesis,14261,48646,375,4.01364503864361,14,11.6619037896906,ellipse,6.1278e-06,false,48646,565,34,NA,NA,NA,NA
870,1579469,0.0001036,leukocyte cell-cell adhesion,14261,7159,27,3.9846465320099,14,5.65685424949238,ellipse,6.5786e-06,false,7159,565,8,NA,NA,NA,NA
704,1579004,0.00010914,protein localization,14261,8104,920,3.96203016121171,14,16,ellipse,6.9593e-06,false,8104,565,64,NA,NA,NA,NA
322,1578252,0.00011811,positive regulation of protein kinase activity,14261,45860,236,3.92772657684497,14,10,ellipse,7.5628e-06,false,45860,565,25,NA,NA,NA,NA
260,1578147,0.00012573,endocytosis,14261,6897,222,3.90055635406866,14,9.79795897113271,ellipse,8.1182e-06,false,6897,565,24,NA,NA,NA,L2
318,1578245,0.00012573,membrane invagination,14261,10324,222,3.90055635406866,14,9.79795897113271,ellipse,8.1182e-06,false,10324,565,24,NA,NA,NA,L2
805,1579263,0.0001355,regulation of anatomical structure morphogenesis,14261,22603,300,3.86807246031379,14,10.770329614269,ellipse,8.7848e-06,false,22603,565,29,NA,NA,NA,L2
537,1578648,0.00013886,regulation of MAP kinase activity,14261,43405,152,3.85741119547225,14,8.71779788708135,ellipse,9.0402e-06,false,43405,565,19,NA,NA,L1,L2
569,1578719,0.0001409,post-translational protein modification,14261,43687,1265,3.85107784118812,14,18,ellipse,9.2106e-06,false,43687,565,81,NA,NA,NA,NA
223,1578086,0.00014856,intracellular transport,14261,46907,665,3.82809582707159,14,14.142135623731,ellipse,9.7508e-06,false,46907,565,50,NA,NA,NA,NA
843,1579388,0.00015097,response to metal ion,14261,10038,153,3.8211226040898,14,8.71779788708135,ellipse,9.9489e-06,false,10038,565,19,NA,NA,NA,L2
1092,1580560,0.00015973,release of cytochrome c from mitochondria,14261,1836,21,3.79661601865456,14,5.29150262212918,ellipse,1.0569e-05,false,1836,565,7,NA,NA,NA,NA
113,1577911,0.00016082,activation of MAPK activity,14261,187,78,3.79367122163184,14,7.21110255092798,ellipse,1.0684e-05,false,187,565,13,NA,NA,NA,NA
633,1578859,0.00018162,cell chemotaxis,14261,60326,47,3.74084213512036,14,6.32455532033676,ellipse,1.2114e-05,false,60326,565,10,NA,NA,NA,L2
308,1578228,0.00019143,positive regulation of organelle organization,14261,10638,91,3.71799185112025,14,7.48331477354788,ellipse,1.282e-05,false,10638,565,14,NA,NA,L1,L2
639,1578870,0.00020064,immune system development,14261,2520,275,3.69758368428408,14,10.3923048454133,ellipse,1.349e-05,false,2520,565,27,NA,NA,L1,L2
669,1578926,0.00020095,cellular response to stress,14261,33554,618,3.69692175790493,14,13.7113092008021,ellipse,1.3564e-05,false,33554,565,47,NA,NA,L1,L2
112,1577910,0.00020807,MAPKKK cascade,14261,165,185,3.68179314932871,14,9.16515138991168,ellipse,1.4101e-05,false,165,565,21,NA,NA,NA,NA
997,1579888,0.00022009,regulation of blood vessel endothelial cell migration,14261,43535,22,3.65739679604242,14,5.29150262212918,ellipse,1.4974e-05,false,43535,565,7,NA,NA,NA,NA
139,1577951,0.00024135,regulation of blood coagulation,14261,30193,39,3.61735454553197,14,6,ellipse,1.6485e-05,false,30193,565,9,NA,NA,NA,NA
24,1577774,0.00024256,response to peptide hormone stimulus,14261,43434,187,3.61518680647333,14,9.16515138991168,ellipse,1.6632e-05,false,43434,565,21,NA,NA,NA,L2
334,1578272,0.00024949,interspecies interaction between organisms,14261,44419,327,3.60294910917822,14,10.9544511501033,ellipse,1.7174e-05,false,44419,565,30,NA,NA,NA,NA
390,1578368,0.00026062,regulation of cell cycle,14261,51726,446,3.58398604323917,14,12.1655250605964,ellipse,1.801e-05,false,51726,565,37,NA,NA,NA,L2
285,1578188,0.00026851,positive regulation of transcription regulator activity,14261,90047,82,3.5710346684506,14,7.21110255092798,ellipse,1.8698e-05,false,90047,565,13,NA,NA,NA,L2
705,1579008,0.00026851,positive regulation of transcription factor activity,14261,51091,82,3.5710346684506,14,7.21110255092798,ellipse,1.8698e-05,false,51091,565,13,NA,NA,NA,NA
298,1578209,0.0002869,macromolecule localization,14261,33036,1110,3.54227089471652,14,16.9705627484771,ellipse,2.0055e-05,false,33036,565,72,NA,NA,NA,NA
339,1578280,0.00029546,regulation of MAPKKK cascade,14261,43408,161,3.52950019409577,14,8.71779788708135,ellipse,2.0733e-05,false,43408,565,19,NA,NA,NA,L2
341,1578283,0.00030139,alcohol metabolic process,14261,6066,432,3.52087178961169,14,12,ellipse,2.1229e-05,false,6066,565,36,NA,NA,NA,L2
60,1577830,0.00034827,anatomical structure morphogenesis,14261,9653,1218,3.45807815829765,14,17.5499287747842,ellipse,2.4625e-05,false,9653,565,77,NA,NA,NA,NA
735,1579080,0.00035513,protein complex assembly,14261,6461,506,3.44960933392647,14,12.6491106406735,ellipse,2.5299e-05,false,6461,565,40,NA,NA,NA,NA
912,1579593,0.00035513,protein complex biogenesis,14261,70271,506,3.44960933392647,14,12.6491106406735,ellipse,2.5299e-05,false,70271,565,40,NA,NA,NA,NA
43,1577804,0.00037854,positive regulation of macromolecule metabolic process,14261,10604,941,3.42188793831382,14,15.8745078663875,ellipse,2.7067e-05,false,10604,565,63,NA,NA,NA,L2
302,1578215,0.00037938,positive regulation of transport,14261,51050,270,3.42092509245163,14,10.1980390271856,ellipse,2.7229e-05,false,51050,565,26,NA,NA,L1,L2
254,1578137,0.00038805,cellular response to organic substance,14261,71310,239,3.41110671751763,14,9.79795897113271,ellipse,2.7955e-05,false,71310,565,24,NA,NA,L1,L2
722,1579044,0.00041906,monocarboxylic acid metabolic process,14261,32787,304,3.37772895083982,14,10.5830052442584,ellipse,3.0412e-05,false,32787,565,28,NA,NA,NA,NA
998,1579897,0.00041906,response to temperature stimulus,14261,9266,98,3.37772895083982,14,7.48331477354788,ellipse,3.0358e-05,false,9266,565,14,NA,NA,NA,L2
94,1577883,0.00042827,regulation of endothelial cell migration,14261,10594,42,3.36828145870233,14,6,ellipse,3.1195e-05,false,10594,565,9,NA,NA,NA,NA
250,1578130,0.00043867,aromatic compound biosynthetic process,14261,19438,17,3.35786151910036,14,4.89897948556636,ellipse,3.2069e-05,false,19438,565,6,NA,NA,NA,L2
666,1578922,0.00046708,regulation of organelle organization,14261,33043,242,3.33060801358015,14,9.79795897113271,ellipse,3.4271e-05,false,33043,565,24,NA,NA,NA,L2
445,1578476,0.00049581,negative regulation of molecular function,14261,44092,374,3.30468337328773,14,11.3137084989848,ellipse,3.6511e-05,false,44092,565,32,NA,NA,NA,L2
562,1578704,0.00050372,hemopoietic or lymphoid organ development,14261,48534,259,3.29781246593711,14,10,ellipse,3.7228e-05,false,48534,565,25,NA,NA,NA,L2
95,1577884,0.00050615,positive regulation of endothelial cell migration,14261,10595,25,3.29572373818439,14,5.29150262212918,ellipse,3.8051e-05,false,10595,565,7,NA,NA,NA,NA
138,1577950,0.00050615,regulation of coagulation,14261,50818,43,3.29572373818439,14,6,ellipse,3.8083e-05,false,50818,565,9,NA,NA,NA,L2
270,1578164,0.00050615,cellular component assembly,14261,22607,912,3.29572373818439,14,15.6204993518133,ellipse,3.7676e-05,false,22607,565,61,NA,NA,NA,NA
305,1578221,0.00050615,positive regulation of B cell proliferation,14261,30890,25,3.29572373818439,14,5.29150262212918,ellipse,3.8051e-05,false,30890,565,7,NA,NA,NA,NA
460,1578507,0.00050615,lymphocyte homeostasis,14261,2260,25,3.29572373818439,14,5.29150262212918,ellipse,3.8051e-05,false,2260,565,7,NA,NA,NA,L2
435,1578455,0.00051294,coenzyme metabolic process,14261,6732,154,3.28993713842324,14,8.48528137423857,ellipse,3.873e-05,false,6732,565,18,NA,NA,NA,L2
170,1578001,0.00051393,regulation of cell differentiation,14261,45595,552,3.28909218551279,14,12.9614813968157,ellipse,3.8943e-05,false,45595,565,42,NA,NA,NA,L2
124,1577928,0.00054148,organelle organization,14261,6996,1381,3.26642122257181,14,18.3303027798234,ellipse,4.1174e-05,false,6996,565,84,NA,NA,L1,L2
86,1577870,0.00054202,regulation of I-kappaB kinase/NF-kappaB cascade,14261,43122,127,3.2659830351925,14,8,ellipse,4.136e-05,false,43122,565,16,NA,NA,NA,L2
32,1577786,0.00057252,oxygen and reactive oxygen species metabolic process,14261,6800,65,3.24220769286519,14,6.6332495807108,ellipse,4.384e-05,false,6800,565,11,NA,NA,L1,L2
131,1577939,0.00057522,cellular nitrogen compound biosynthetic process,14261,44271,327,3.24016693178162,14,10.770329614269,ellipse,4.42e-05,false,44271,565,29,NA,NA,NA,L2
491,1578562,0.00060304,T cell homeostasis,14261,43029,18,3.2196517661443,14,4.89897948556636,ellipse,4.6499e-05,false,43029,565,6,NA,NA,NA,NA
905,1579574,0.00061474,positive regulation of I-kappaB kinase/NF-kappaB cascade,14261,43123,115,3.21130873824023,14,7.74596669241483,ellipse,4.7565e-05,false,43123,565,15,NA,NA,NA,NA
575,1578733,0.00062863,carbohydrate metabolic process,14261,5975,521,3.20160630580872,14,12.6491106406735,ellipse,4.8808e-05,false,5975,565,40,NA,NA,NA,L2
368,1578328,0.00064928,regulation of T cell proliferation,14261,42129,66,3.18756999830315,14,6.6332495807108,ellipse,5.0757e-05,false,42129,565,11,NA,NA,NA,NA
634,1578861,0.00064928,monosaccharide catabolic process,14261,46365,66,3.18756999830315,14,6.6332495807108,ellipse,5.0757e-05,false,46365,565,11,NA,NA,NA,NA
768,1579154,0.00065118,response to extracellular stimulus,14261,9991,264,3.186295800208,14,10,ellipse,5.108e-05,false,9991,565,25,NA,NA,NA,L2
817,1579291,0.00066945,cell adhesion,14261,7155,709,3.17428286103915,14,14.142135623731,ellipse,5.2691e-05,false,7155,565,50,NA,NA,L1,L2
28,1577780,0.00068688,response to oxygen levels,14261,70482,158,3.16312209789807,14,8.48528137423857,ellipse,5.4524e-05,false,70482,565,18,NA,NA,L1,L2
663,1578915,0.00068688,cell proliferation,14261,8283,434,3.16312209789807,14,11.8321595661992,ellipse,5.4265e-05,false,8283,565,35,NA,NA,NA,L2
955,1579753,0.00068688,biological adhesion,14261,22610,710,3.16312209789807,14,14.142135623731,ellipse,5.4613e-05,false,22610,565,50,NA,NA,NA,L2
134,1577943,0.00068942,negative regulation of cellular metabolic process,14261,31324,787,3.16151370172118,14,14.6969384566991,ellipse,5.4999e-05,false,31324,565,54,NA,NA,L1,L2
528,1578633,0.000732,negative regulation of cell migration,14261,30336,67,3.13549022240396,14,6.6332495807108,ellipse,5.8591e-05,false,30336,565,11,NA,NA,NA,L2
216,1578076,0.00074361,developmental process,14261,32502,3229,3.12865231497863,14,25.8456959666402,ellipse,5.9719e-05,false,32502,565,167,NA,NA,NA,L2
146,1577963,0.00074403,regulation of protein transport,14261,51223,145,3.12840678064158,14,8.24621125123532,ellipse,6.0746e-05,false,51223,565,17,NA,NA,NA,NA
235,1578106,0.00074403,cell communication,14261,7154,809,3.12840678064158,14,14.8323969741913,ellipse,6.002e-05,false,7154,565,55,NA,NA,L1,L2
454,1578491,0.00074403,pentose metabolic process,14261,19321,12,3.12840678064158,14,4.47213595499958,ellipse,6.0245e-05,false,19321,565,5,NA,NA,NA,NA
917,1579608,0.00074403,aging,14261,7568,145,3.12840678064158,14,8.24621125123532,ellipse,6.0746e-05,false,7568,565,17,NA,NA,NA,NA
1006,1579954,0.00074403,pigment metabolic process,14261,42440,56,3.12840678064158,14,6.32455532033676,ellipse,6.0452e-05,false,42440,565,10,NA,NA,L1,L2
1088,1580531,0.00075533,B cell apoptosis,14261,1783,3,3.12186142102308,14,3.46410161513775,ellipse,6.187e-05,false,1783,565,3,NA,NA,NA,NA
446,1578477,0.00076242,negative regulation of catalytic activity,14261,43086,300,3.11780412262784,14,10.3923048454133,ellipse,6.2654e-05,false,43086,565,27,NA,NA,NA,NA
224,1578088,0.00076636,protein modification process,14261,6464,1524,3.11556814012142,14,18.9736659610103,ellipse,6.3182e-05,false,6464,565,90,NA,NA,NA,NA
346,1578291,0.00078812,regulation of response to biotic stimulus,14261,2831,36,3.1034094819857,14,5.65685424949238,ellipse,6.5434e-05,false,2831,565,8,NA,NA,NA,L2
432,1578449,0.00078812,positive regulation of JAK-STAT cascade,14261,46427,27,3.1034094819857,14,5.29150262212918,ellipse,6.5606e-05,false,46427,565,7,NA,NA,NA,NA
942,1579706,0.00078812,regulation of JAK-STAT cascade,14261,46425,36,3.1034094819857,14,5.65685424949238,ellipse,6.5434e-05,false,46425,565,8,NA,NA,NA,L2
994,1579878,0.00079367,glucose metabolic process,14261,6006,146,3.10035984824807,14,8.24621125123532,ellipse,6.628e-05,false,6006,565,17,NA,NA,NA,NA
785,1579203,0.00083401,regulation of defense response,14261,31347,161,3.07882720539373,14,8.48528137423857,ellipse,6.9872e-05,false,31347,565,18,NA,NA,NA,NA
568,1578717,0.00086941,positive regulation of DNA binding,14261,43388,93,3.06077742145026,14,7.21110255092798,ellipse,7.3069e-05,false,43388,565,13,NA,NA,NA,NA
478,1578539,0.00087975,macromolecule metabolic process,14261,43170,4012,3.05564214742824,14,28.2842712474619,ellipse,7.4173e-05,false,43170,565,200,NA,NA,L1,L2
544,1578661,0.00091562,cellular carbohydrate catabolic process,14261,44275,81,3.03828709561954,14,6.92820323027551,ellipse,7.7441e-05,false,44275,565,12,NA,NA,NA,L2
829,1579346,0.00096202,carbohydrate catabolic process,14261,16052,107,3.01681371917996,14,7.48331477354788,ellipse,8.1623e-05,false,16052,565,14,NA,NA,NA,L2
646,1578885,0.00097534,regulation of cellular localization,14261,60341,305,3.01084277089797,14,10.3923048454133,ellipse,8.3013e-05,false,60341,565,27,NA,NA,NA,L2
405,1578393,0.00098983,heme metabolic process,14261,42168,28,3.00443778865713,14,5.29150262212918,ellipse,8.4511e-05,false,42168,565,7,NA,NA,NA,L2
241,1578116,0.00099998,response to hypoxia,14261,1666,149,3.00001073361105,14,8.24621125123532,ellipse,8.5644e-05,false,1666,565,17,NA,NA,L1,L2
881,1579505,0.001056,heterophilic cell-cell adhesion,14261,7157,20,2.97633339485813,14,4.89897948556636,ellipse,9.0724e-05,false,7157,565,6,NA,NA,NA,NA
155,1577978,0.0010838,negative regulation of macromolecule metabolic process,14261,10605,803,2.96504555538903,14,14.6969384566991,ellipse,9.3402e-05,false,10605,565,54,NA,NA,NA,L2
770,1579157,0.0010956,positive regulation of macrophage derived foam cell differentiation,14261,10744,13,2.96033348230329,14,4.47213595499958,ellipse,9.4714e-05,false,10744,565,5,NA,NA,NA,L2
928,1579652,0.0011541,positive regulation of binding,14261,51099,109,2.9377714896326,14,7.48331477354788,ellipse,0.00010007,false,51099,565,14,NA,NA,NA,NA
512,1578602,0.0011963,negative regulation of protein modification process,14261,31400,137,2.92217475447381,14,8,ellipse,0.00010405,false,31400,565,16,NA,NA,NA,L2
946,1579730,0.0012336,apoptotic mitochondrial changes,14261,8637,29,2.90882301590221,14,5.29150262212918,ellipse,0.00010763,false,8637,565,7,NA,NA,NA,NA
