"","ID","EQUATION","GENE.ASSOCIATION","SUBSYSTEM"
"812","MAR06926","2-methylglutaconyl-CoA[m] + ADP[m] + H+[m] + Pi[m] <=> ATP[m] + HCO3-[m] + tiglyl-CoA[m]","ENSG00000078070 and ENSG00000131844","Valine, leucine, and isoleucine metabolism"
"813","MAR06927","2-methylglutaconic acid[m] + CoA[m] + H+[m] <=> 2-methylglutaconyl-CoA[m] + H2O[m]","ENSG00000078070 and ENSG00000131844","Valine, leucine, and isoleucine metabolism"
"814","MAR08088","2-methyl-3-oxopropanoate[m] + glutamate[m] <=> AKG[m] + L-3-amino-isobutanoate[m]","ENSG00000183044","Valine, leucine, and isoleucine metabolism"
"815","MAR08787","H+[m] + methylmalonyl-CoA[m] => CO2[m] + propanoyl-CoA[m]","ENSG00000103150","Valine, leucine, and isoleucine metabolism"
"816","MAR03743","CoA[m] + H+[m] + N-arachidonoylglycine[m] <=> arachidonyl-CoA[m] + glycine[m]","ENSG00000149124 or ENSG00000156689 or ENSG00000166840","Phenylalanine, tyrosine and tryptophan biosynthesis"
"817","MAR03940","O2[c] + phenylalanine[c] + tetrahydrobiopterin[c] => dihydrobiopterin[c] + H2O[c] + tyrosine[c]","ENSG00000171759","Phenylalanine, tyrosine and tryptophan biosynthesis"
"818","MAR04214","O2[c] + tryptophan[c] => L-formylkynurenine[c]","ENSG00000131203 or ENSG00000151790 or ENSG00000188676","Phenylalanine, tyrosine and tryptophan biosynthesis"
"819","MAR04216","H2O[c] + L-formylkynurenine[c] => formate[c] + H+[c] + kynurenine[c]","ENSG00000183077","Phenylalanine, tyrosine and tryptophan biosynthesis"
"820","MAR04218","H2O[c] + L-formylkynurenine[c] => alanine[c] + formylanthranilate[c] + H+[c]","ENSG00000115919","Phenylalanine, tyrosine and tryptophan biosynthesis"
"821","MAR04219","formylanthranilate[c] + H2O[c] => anthranilate[c] + formate[c] + H+[c]","ENSG00000183077","Phenylalanine, tyrosine and tryptophan biosynthesis"
"822","MAR04220","3-hydroxy-L-kynurenine[c] + H2O[c] + NADP+[c] <=> H+[c] + kynurenine[c] + NADPH[c] + O2[c]","ENSG00000117009","Phenylalanine, tyrosine and tryptophan biosynthesis"
"823","MAR04222","4-hydroxy-2-quinolinecarboxylic acid[c] + glutamate[c] + H2O[c] <=> AKG[c] + kynurenine[c]","ENSG00000109576 or ENSG00000137944 or ENSG00000171097","Phenylalanine, tyrosine and tryptophan biosynthesis"
"824","MAR04224","H2O[c] + kynurenine[c] => alanine[c] + anthranilate[c] + H+[c]","ENSG00000115919","Phenylalanine, tyrosine and tryptophan biosynthesis"
"825","MAR04225","3-hydroxy-L-kynurenine[c] + H2O[c] => 3-hydroxyanthranilate[c] + alanine[c]","ENSG00000115919","Phenylalanine, tyrosine and tryptophan biosynthesis"
"826","MAR04227","2 3-hydroxyanthranilate[c] + 4 O2[c] => cinnavalininate[c] + 4 H+[c] + 2 H2O2[c] + 2 O2-[c]","ENSG00000121691","Phenylalanine, tyrosine and tryptophan biosynthesis"
"827","MAR04231","2-amino-3-carboxymuconate semialdehyde[c] + H+[c] => 2-aminomuconate semialdehyde[c] + CO2[c]","ENSG00000153086","Phenylalanine, tyrosine and tryptophan biosynthesis"
"828","MAR04232","2-aminomuconate semialdehyde[c] <=> H+[c] + H2O[c] + picolinic acid[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"829","MAR04233","2-aminomuconate semialdehyde[c] + H2O[c] + NAD+[c] => 2-aminomuconate[c] + 2 H+[c] + NADH[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"830","MAR04235","2-aminomuconate[c] + H2O[c] + NADPH[c] => 2-oxoadipate[c] + NADP+[c] + NH3[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"831","MAR04242","glutaryl-CoA[m] + H+[m] + ubiquinone[m] => CO2[m] + crotonyl-CoA[m] + ubiquinol[m]","ENSG00000105607","Phenylalanine, tyrosine and tryptophan biosynthesis"
"832","MAR04243","FAD[m] + glutaryl-CoA[m] + H+[m] => CO2[m] + crotonyl-CoA[m] + FADH2[m]","ENSG00000105607","Phenylalanine, tyrosine and tryptophan biosynthesis"
"833","MAR04244","3-hydroxy-L-kynurenine[c] + AKG[c] => 4-(2-amino-3-hydroxyphenyl)-2,4-dioxobutanoate[c] + glutamate[c]","ENSG00000109576 or ENSG00000137944 or ENSG00000171097","Phenylalanine, tyrosine and tryptophan biosynthesis"
"834","MAR04245","4-(2-amino-3-hydroxyphenyl)-2,4-dioxobutanoate[c] => H2O[c] + xanthurenate[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"835","MAR04246","3-hydroxy-L-kynurenine[c] + AKG[c] <=> glutamate[c] + H2O[c] + xanthurenate[c]","ENSG00000109576 or ENSG00000137944 or ENSG00000171097","Phenylalanine, tyrosine and tryptophan biosynthesis"
"836","MAR04248","H+[c] + oxo-xanthurenate[c] <=> xanthurenate[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"837","MAR06707","H+[c] + tryptophan[c] => CO2[c] + tryptamine[c]","ENSG00000132437","Phenylalanine, tyrosine and tryptophan biosynthesis"
"838","MAR06708","1-(1,2,3,4,5-pentahydroxypent-1-yl)-1,2,3,4-tetrahydro-beta-carboline-3-carboxylate[c] + H2O[c] <=> mannose[c] + tryptophan[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"839","MAR06709","beta-carboline[c] + 2 H2O[c] <=> tryptophan[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"840","MAR06710","beta-carboline[c] + SAM[c] => H+[c] + harman[c] + SAH[c]","(ENSG00000100462 and ENSG00000126457) or ENSG00000010165 or ENSG00000029639 or ENSG00000059588 or ENSG00000066651 or ENSG00000067365 or ENSG00000068438 or ENSG00000071462 or ENSG00000087995 or ENSG00000100483 or ENSG00000101247 or ENSG00000101574 or ENSG00000103037 or ENSG00000105202 or ENSG00000108592 or ENSG00000110871 or ENSG00000111218 or ENSG00000111641 or ENSG00000114735 or ENSG00000117481 or ENSG00000122435 or ENSG00000122687 or ENSG00000123427 or ENSG00000123600 or ENSG00000126749 or ENSG00000127804 or ENSG00000130305 or ENSG00000132275 or ENSG00000132600 or ENSG00000137574 or ENSG00000137760 or ENSG00000138382 or ENSG00000139160 or ENSG00000139780 or ENSG00000142453 or ENSG00000143499 or ENSG00000144401 or ENSG00000145194 or ENSG00000145331 or ENSG00000145388 or ENSG00000146834 or ENSG00000150456 or ENSG00000156239 or ENSG00000160310 or ENSG00000162623 or ENSG00000162851 or ENSG00000164169 or ENSG00000165055 or ENSG00000165275 or ENSG00000165644 or ENSG00000165792 or ENSG00000168806 or ENSG00000169519 or ENSG00000170439 or ENSG00000171806 or ENSG00000171861 or ENSG00000174173 or ENSG00000178694 or ENSG00000179299 or ENSG00000180917 or ENSG00000181038 or ENSG00000181090 or ENSG00000183955 or ENSG00000185238 or ENSG00000185432 or ENSG00000186666 or ENSG00000188573 or ENSG00000198890 or ENSG00000203791 or ENSG00000204371 or ENSG00000205629 or ENSG00000206562 or ENSG00000214756 or ENSG00000241058 or ENSG00000250305 or ENSG00000278619","Phenylalanine, tyrosine and tryptophan biosynthesis"
"841","MAR06711","SAM[c] + tryptamine[c] => H+[c] + N-methyltryptamine[c] + SAH[c]","ENSG00000241644","Phenylalanine, tyrosine and tryptophan biosynthesis"
"842","MAR06712","1,2,3,4-tetrahydro-beta-carboline[c] + H2O[c] <=> formaldehyde[c] + tryptamine[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"843","MAR06713","H2O[c] + O2[c] + tryptamine[c] => H+[c] + H2O2[c] + indole-3-acetaldehyde[c] + NH3[c]","ENSG00000002726 or ENSG00000069535 or ENSG00000189221","Phenylalanine, tyrosine and tryptophan biosynthesis"
"844","MAR06714","H2O[c] + indole-3-acetaldehyde[c] + NAD+[c] => 2 H+[c] + indoleacetate[c] + NADH[c]","ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904","Phenylalanine, tyrosine and tryptophan biosynthesis"
"845","MAR06715","indoleacetate[c] + SAM[c] => methyl-indole-3-acetate[c] + SAH[c]","ENSG00000093010 or ENSG00000184154 or ENSG00000284844","Phenylalanine, tyrosine and tryptophan biosynthesis"
"846","MAR06716","5-hydroxy-L-tryptophan[c] + O2[c] => 5-hydroxy-N-formylkynurenine[c]","ENSG00000131203 or ENSG00000188676","Phenylalanine, tyrosine and tryptophan biosynthesis"
"847","MAR06717","5-hydroxy-N-formylkynurenine[c] + H2O[c] => 5-hydroxykynurenine[c] + formate[c] + H+[c]","ENSG00000183077","Phenylalanine, tyrosine and tryptophan biosynthesis"
"848","MAR06718","5-hydroxykynurenine[c] + H+[c] => 5-hydroxykynurenamine[c] + CO2[c]","ENSG00000132437","Phenylalanine, tyrosine and tryptophan biosynthesis"
"849","MAR06719","5-hydroxykynurenamine[c] + O2[c] => 4,6-dihydroxyquinoline[c] + H+[c] + H2O2[c] + NH3[c]","ENSG00000069535 or ENSG00000189221","Phenylalanine, tyrosine and tryptophan biosynthesis"
"850","MAR06720","2 H+[c] + kynurenine[c] + UDP-glucuronate[c] => 3-hydroxykynurenine-O-beta-D-glucoside[c] + UDP[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"851","MAR06721","3-hydroxykynurenine-O-beta-D-glucoside[c] + NADH[c] => 4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid-O-glucoside[c] + NAD+[c] + NH3[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"852","MAR06722","3-hydroxykynurenine-O-beta-D-glucoside[c] + AKG[c] <=> glutamate[c] + H2O[c] + xanthurenate-8-O-beta-D-glucoside[c]","ENSG00000169154","Phenylalanine, tyrosine and tryptophan biosynthesis"
"853","MAR06723","3-hydroxykynurenine-O-beta-D-glucoside[c] + GSH[c] <=> glutathionyl-3-hydroxykynurenine glucoside[c] + H2O[c]","ENSG00000008394 or ENSG00000065621 or ENSG00000084207 or ENSG00000085871 or ENSG00000099984 or ENSG00000100577 or ENSG00000133433 or ENSG00000134184 or ENSG00000134201 or ENSG00000134202 or ENSG00000143198 or ENSG00000148834 or ENSG00000163106 or ENSG00000168765 or ENSG00000170899 or ENSG00000174156 or ENSG00000182793 or ENSG00000197448 or ENSG00000213366 or ENSG00000243955 or ENSG00000244067","Phenylalanine, tyrosine and tryptophan biosynthesis"
"854","MAR06725","AKG[c] + phenylalanine[c] <=> glutamate[c] + phenylpyruvate[c]","ENSG00000120053 or ENSG00000125166 or ENSG00000198650","Phenylalanine, tyrosine and tryptophan biosynthesis"
"855","MAR06726","O2[c] + phenylpyruvate[c] => 2-hydroxyphenylacetate[c] + CO2[c]","ENSG00000158104","Phenylalanine, tyrosine and tryptophan biosynthesis"
"856","MAR06727","phenylpyruvate[c] => 2-hydroxy-3-phenylpropenoate[c]","ENSG00000240972","Phenylalanine, tyrosine and tryptophan biosynthesis"
"857","MAR06728","O2[c] + tetrahydrobiopterin[c] + tyrosine[c] => dihydrobiopterin[c] + H2O[c] + L-dopa[c]","ENSG00000180176","Phenylalanine, tyrosine and tryptophan biosynthesis"
"858","MAR06729","2 H+[c] + O2[c] + tyrosine[c] => H2O[c] + L-dopa[c]","ENSG00000077498","Phenylalanine, tyrosine and tryptophan biosynthesis"
"859","MAR06730","L-dopa[c] + SAM[c] => 3-O-methyldopa[c] + H+[c] + SAH[c]","ENSG00000093010 or ENSG00000184154 or ENSG00000284844","Phenylalanine, tyrosine and tryptophan biosynthesis"
"860","MAR06731","H+[c] + L-dopa[c] => CO2[c] + dopamine[c]","ENSG00000132437","Phenylalanine, tyrosine and tryptophan biosynthesis"
"861","MAR06734","H2O[c] + salsolinol[c] <=> acetaldehyde[c] + dopamine[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"862","MAR06735","salsolinol[c] + SAM[c] => H+[c] + SAH[c] + salsoline[c]","ENSG00000093010 or ENSG00000184154 or ENSG00000284844","Phenylalanine, tyrosine and tryptophan biosynthesis"
"863","MAR06736","salsolinol[c] + SAM[c] => H+[c] + N-methylsalsolinol[c] + SAH[c]","ENSG00000093010 or ENSG00000184154 or ENSG00000284844","Phenylalanine, tyrosine and tryptophan biosynthesis"
"864","MAR06737","salsolinol[c] + SAM[c] => (R)-1,2-dimethyl-5,6-dihydroxy-tetrahydroisoquinoline[c] + H+[c] + SAH[c]","(ENSG00000100462 and ENSG00000126457) or ENSG00000010165 or ENSG00000029639 or ENSG00000059588 or ENSG00000066651 or ENSG00000067365 or ENSG00000068438 or ENSG00000071462 or ENSG00000087995 or ENSG00000100483 or ENSG00000101247 or ENSG00000101574 or ENSG00000103037 or ENSG00000105202 or ENSG00000108592 or ENSG00000110871 or ENSG00000111218 or ENSG00000111641 or ENSG00000114735 or ENSG00000117481 or ENSG00000122435 or ENSG00000122687 or ENSG00000123427 or ENSG00000123600 or ENSG00000126749 or ENSG00000127804 or ENSG00000130305 or ENSG00000132275 or ENSG00000132600 or ENSG00000137574 or ENSG00000137760 or ENSG00000138382 or ENSG00000139160 or ENSG00000139780 or ENSG00000142453 or ENSG00000143499 or ENSG00000144401 or ENSG00000145194 or ENSG00000145331 or ENSG00000145388 or ENSG00000146834 or ENSG00000150456 or ENSG00000156239 or ENSG00000160310 or ENSG00000162623 or ENSG00000162851 or ENSG00000164169 or ENSG00000165055 or ENSG00000165275 or ENSG00000165644 or ENSG00000165792 or ENSG00000168806 or ENSG00000169519 or ENSG00000170439 or ENSG00000171806 or ENSG00000171861 or ENSG00000174173 or ENSG00000178694 or ENSG00000179299 or ENSG00000180917 or ENSG00000181038 or ENSG00000181090 or ENSG00000183955 or ENSG00000185238 or ENSG00000185432 or ENSG00000186666 or ENSG00000188573 or ENSG00000198890 or ENSG00000203791 or ENSG00000204371 or ENSG00000205629 or ENSG00000206562 or ENSG00000214756 or ENSG00000241058 or ENSG00000250305 or ENSG00000278619","Phenylalanine, tyrosine and tryptophan biosynthesis"
"865","MAR06738","H2O[c] + salsolinol-1-carboxylate[c] <=> dopamine[c] + pyruvate[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"866","MAR06739","salsolinol-1-carboxylate[c] + SAM[c] => H+[c] + SAH[c] + salsoline-1-carboxylate[c]","ENSG00000093010 or ENSG00000184154 or ENSG00000284844","Phenylalanine, tyrosine and tryptophan biosynthesis"
"867","MAR06740","salsolinol-1-carboxylate[c] => 1,2-dehydrosalsolinol[c] + CO2[c] + 2 H+[c]","ENSG00000132437","Phenylalanine, tyrosine and tryptophan biosynthesis"
"868","MAR06741","ascorbate[c] + dopamine[c] + O2[c] => dehydroascorbic acid[c] + H2O[c] + noradrenaline[c]","ENSG00000123454","Phenylalanine, tyrosine and tryptophan biosynthesis"
"869","MAR06742","4,6,7-trihydroxy-1,2,3,4-tetrahydroisoquinoline[c] + H2O[c] <=> formaldehyde[c] + noradrenaline[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"870","MAR06743","noradrenaline[c] + SAM[c] => adrenaline[c] + H+[c] + SAH[c]","ENSG00000141744","Phenylalanine, tyrosine and tryptophan biosynthesis"
"871","MAR06744","H+[c] + H2O[c] + N-methyl-4,6,7-trihydroxy-1,2,3,4-tetrahydroisoquinoline[c] <=> adrenaline[c] + formaldehyde[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"872","MAR06745","adrenaline[c] + H2O[c] + O2[c] => 3,4-dihydroxymandelaldehyde[c] + H2O2[c] + methylamine[c]","ENSG00000069535 or ENSG00000189221","Phenylalanine, tyrosine and tryptophan biosynthesis"
"873","MAR06746","adrenaline[c] + SAM[c] => H+[c] + L-metanephrine[c] + SAH[c]","ENSG00000093010 or ENSG00000184154 or ENSG00000284844","Phenylalanine, tyrosine and tryptophan biosynthesis"
"874","MAR06747","H2O[c] + L-metanephrine[c] + O2[c] => 3-methoxy-4-hydroxyphenylglycolaldehyde[c] + H2O2[c] + methylamine[c]","ENSG00000069535 or ENSG00000189221","Phenylalanine, tyrosine and tryptophan biosynthesis"
"875","MAR06748","3-methoxy-4-hydroxyphenylglycolaldehyde[c] + H2O[c] + NAD+[c] => 2 H+[c] + NADH[c] + vanillylmandelate[c]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Phenylalanine, tyrosine and tryptophan biosynthesis"
"876","MAR06749","3-methoxy-4-hydroxyphenylglycolaldehyde[c] + H2O[c] + NADP+[c] => 2 H+[c] + NADPH[c] + vanillylmandelate[c]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Phenylalanine, tyrosine and tryptophan biosynthesis"
"877","MAR06750","noradrenaline[c] + SAM[c] => H+[c] + normetanephrine[c] + SAH[c]","ENSG00000093010 or ENSG00000184154 or ENSG00000284844","Phenylalanine, tyrosine and tryptophan biosynthesis"
"878","MAR06751","H2O[c] + normetanephrine[c] + O2[c] => 3-methoxy-4-hydroxyphenylglycolaldehyde[c] + H+[c] + H2O2[c] + NH3[c]","ENSG00000069535 or ENSG00000189221","Phenylalanine, tyrosine and tryptophan biosynthesis"
"879","MAR06752","H2O[c] + noradrenaline[c] + O2[c] => 3,4-dihydroxymandelaldehyde[c] + H+[c] + H2O2[c] + NH3[c]","ENSG00000069535 or ENSG00000189221","Phenylalanine, tyrosine and tryptophan biosynthesis"
"880","MAR06753","3,4-dihydroxymandelaldehyde[c] + H2O[c] + NAD+[c] => 3,4-dihydroxymandelate[c] + 2 H+[c] + NADH[c]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Phenylalanine, tyrosine and tryptophan biosynthesis"
"881","MAR06754","3,4-dihydroxymandelaldehyde[c] + H2O[c] + NADP+[c] => 3,4-dihydroxymandelate[c] + 2 H+[c] + NADPH[c]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Phenylalanine, tyrosine and tryptophan biosynthesis"
"882","MAR06755","3,4-dihydroxymandelate[c] + SAM[c] <=> H+[c] + SAH[c] + vanillylmandelate[c]","ENSG00000093010 or ENSG00000184154 or ENSG00000284844","Phenylalanine, tyrosine and tryptophan biosynthesis"
"883","MAR06756","3,4-dihydroxymandelaldehyde[c] + H+[c] + NADH[c] <=> 3,4-dihydroxyphenylethyleneglycol[c] + NAD+[c]","ENSG00000147576 or ENSG00000172955 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144","Phenylalanine, tyrosine and tryptophan biosynthesis"
"884","MAR06757","3,4-dihydroxyphenylethyleneglycol[c] + SAM[c] => 3-methoxy-4-hydroxyphenylethyleneglycol[c] + H+[c] + SAH[c]","ENSG00000093010 or ENSG00000184154 or ENSG00000284844","Phenylalanine, tyrosine and tryptophan biosynthesis"
"885","MAR06758","dopamine[c] + H2O[c] + O2[c] => 3,4-dihydroxyphenylacetaldehyde[c] + H+[c] + H2O2[c] + NH3[c]","ENSG00000002726 or ENSG00000069535 or ENSG00000131471 or ENSG00000131480 or ENSG00000189221","Phenylalanine, tyrosine and tryptophan biosynthesis"
"886","MAR06759","3,4-dihydroxyphenylacetaldehyde[c] + dopamine[c] <=> H2O[c] + norlaudanosoline[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"887","MAR06760","3,4-dihydroxyphenylacetaldehyde[c] + H2O[c] + NAD+[c] => 3,4-dihydroxyphenylacetate[c] + 2 H+[c] + NADH[c]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Phenylalanine, tyrosine and tryptophan biosynthesis"
"888","MAR06761","3,4-dihydroxyphenylacetaldehyde[c] + H2O[c] + NADP+[c] => 3,4-dihydroxyphenylacetate[c] + 2 H+[c] + NADPH[c]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Phenylalanine, tyrosine and tryptophan biosynthesis"
"889","MAR06762","3,4-dihydroxyphenylacetate[c] + SAM[c] => H+[c] + homovanillate[c] + SAH[c]","ENSG00000093010 or ENSG00000184154 or ENSG00000284844","Phenylalanine, tyrosine and tryptophan biosynthesis"
"890","MAR06763","dopamine[c] + SAM[c] => 3-methoxytyramine[c] + H+[c] + SAH[c]","ENSG00000093010 or ENSG00000184154 or ENSG00000284844","Phenylalanine, tyrosine and tryptophan biosynthesis"
"891","MAR06764","3-methoxytyramine[c] + H2O[c] + O2[c] => 3-methoxy-4-hydroxyphenylacetaldehyde[c] + H+[c] + H2O2[c] + NH3[c]","ENSG00000069535 or ENSG00000189221","Phenylalanine, tyrosine and tryptophan biosynthesis"
"892","MAR06765","3-methoxytyramine[c] + acetaldehyde[c] <=> H2O[c] + N-methylsalsolinol[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"893","MAR06766","3-methoxy-4-hydroxyphenylacetaldehyde[c] + H2O[c] + NAD+[c] => 2 H+[c] + homovanillate[c] + NADH[c]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Phenylalanine, tyrosine and tryptophan biosynthesis"
"894","MAR06767","3-methoxy-4-hydroxyphenylacetaldehyde[c] + H2O[c] + NADP+[c] => 2 H+[c] + homovanillate[c] + NADPH[c]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Phenylalanine, tyrosine and tryptophan biosynthesis"
"895","MAR06768","AKG[c] + tyrosine[c] => 4-hydroxyphenylpyruvate[c] + glutamate[c]","ENSG00000120053 or ENSG00000125166 or ENSG00000198650","Phenylalanine, tyrosine and tryptophan biosynthesis"
"896","MAR06770","H2O[c] + O2[c] + tyrosine[c] => 4-hydroxyphenylpyruvate[c] + H+[c] + H2O2[c] + NH3[c]","ENSG00000104951","Phenylalanine, tyrosine and tryptophan biosynthesis"
"897","MAR06771","4-hydroxyphenylpyruvate[c] => 2-hydroxy-3-(4-hydroxyphenyl)propenoate[c]","ENSG00000240972","Phenylalanine, tyrosine and tryptophan biosynthesis"
"898","MAR06772","4-hydroxyphenylpyruvate[c] + O2[c] => CO2[c] + homogentisate[c]","ENSG00000158104","Phenylalanine, tyrosine and tryptophan biosynthesis"
"899","MAR06774","homogentisate[c] + O2[c] => 4-maleylacetoacetate[c] + H+[c]","ENSG00000113924","Phenylalanine, tyrosine and tryptophan biosynthesis"
"900","MAR06776","4-maleylacetoacetate[c] => fumarylacetoacetate[c]","ENSG00000100577","Phenylalanine, tyrosine and tryptophan biosynthesis"
"901","MAR06778","fumarylacetoacetate[c] + H2O[c] => acetoacetate[c] + fumarate[c] + H+[c]","ENSG00000103876","Phenylalanine, tyrosine and tryptophan biosynthesis"
"902","MAR06782","4-hydroxyphenylpyruvate[c] + H+[c] + NADH[c] => 4-hydroxyphenyllactate[c] + NAD+[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"903","MAR06783","4-hydroxyphenyllactate[c] => 4-coumarate[c] + H2O[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"904","MAR06784","4-coumarate[c] + ATP[c] + CoA[c] => 4-coumaroyl-CoA[c] + AMP[c] + PPi[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"905","MAR06785","4-coumaroyl-CoA[c] + CoA[c] + H2O[c] + NAD+[c] => 4-hydroxybenzoyl-CoA[c] + acetyl-CoA[c] + H+[c] + NADH[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"906","MAR06786","4-hydroxybenzoyl-CoA[c] + H2O[c] => 4-hydroxybenzoate[c] + CoA[c] + H+[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"907","MAR06787","H+[c] + tyrosine[c] => CO2[c] + tyramine[c]","ENSG00000132437","Phenylalanine, tyrosine and tryptophan biosynthesis"
"908","MAR06788","SAM[c] + tyramine[c] => H+[c] + N-methyltyramine[c] + SAH[c]","ENSG00000093010 or ENSG00000184154 or ENSG00000241644 or ENSG00000284844","Phenylalanine, tyrosine and tryptophan biosynthesis"
"909","MAR06789","H2O[c] + O2[c] + tyramine[c] => 4-hydroxyphenylacetaldehyde[c] + H+[c] + H2O2[c] + NH3[c]","ENSG00000002726 or ENSG00000069535 or ENSG00000131471 or ENSG00000131480 or ENSG00000189221","Phenylalanine, tyrosine and tryptophan biosynthesis"
"910","MAR06790","4-hydroxyphenylacetaldehyde[c] + H2O[c] + NAD+[c] => 4-hydroxyphenylacetate[c] + 2 H+[c] + NADH[c]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Phenylalanine, tyrosine and tryptophan biosynthesis"
"911","MAR06791","4-hydroxyphenylacetaldehyde[c] + H2O[c] + NADP+[c] => 4-hydroxyphenylacetate[c] + 2 H+[c] + NADPH[c]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Phenylalanine, tyrosine and tryptophan biosynthesis"
"912","MAR06792","4-hydroxy-3-nitrophenylacetate[c] + 2 H+[c] <=> 4-hydroxyphenylacetate[c] + nitrite[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"913","MAR06798","3,5,3-triiodo-L-thyronine-beta-D-glucuronoside[c] + H+[c] + UDP[c] <=> triiodothyronine[c] + UDP-glucuronate[c]","ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000288705 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000288702 or ENSG00000244122 or ENSG00000244474","Phenylalanine, tyrosine and tryptophan biosynthesis"
"914","MAR06799","triiodothyronine[r] + UDP-glucuronate[r] => 3,5,3-triiodo-L-thyronine-beta-D-glucuronoside[r] + H+[r] + UDP[r]","ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000288705 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000288702 or ENSG00000244122 or ENSG00000244474","Phenylalanine, tyrosine and tryptophan biosynthesis"
"915","MAR06800","3,5,3,5-tetraiodo-L-thyronine-beta-D-glucuronoside[c] + H+[c] + UDP[c] <=> thyroxine[c] + UDP-glucuronate[c]","ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000288705 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000288702 or ENSG00000244122 or ENSG00000244474","Phenylalanine, tyrosine and tryptophan biosynthesis"
"916","MAR06801","thyroxine[r] + UDP-glucuronate[r] => 3,5,3,5-tetraiodo-L-thyronine-beta-D-glucuronoside[r] + H+[r] + UDP[r]","ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000288705 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000288702 or ENSG00000244122 or ENSG00000244474","Phenylalanine, tyrosine and tryptophan biosynthesis"
"917","MAR06802","N-methyltyramine[c] + SAM[c] => H+[c] + hordenine[c] + SAH[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
