BIOCHEMICAL,KEGG
X - 17162,
X - 17185,
X - 17301,
X - 17325,
X - 17328,
X - 17335,
X - 17340,
X - 17343,
X - 17346,
X - 17351,
X - 17353,
X - 17354,
X - 17357,
X - 17361,
X - 17367,
X - 17438,
X - 17612,
X - 17653,
X - 17654,
X - 17655,
X - 17676,
X - 17685,
X - 17686,
X - 17690,
X - 17692,
X - 18240,
X - 18345,
X - 18779,
X - 18886,
X - 18887,
X - 18888,
X - 18901,
X - 18913,
X - 18921,
X - 18922,
X - 19141,
X - 19183,
X - 19438,
X - 21258,
X - 21285,
X - 21286,
X - 21310,
X - 21312,
X - 21319,
X - 21339,
X - 21342,
X - 21353,
X - 21364,
X - 21383,
X - 21410,
X - 21441,
X - 21442,
X - 21448,
X - 21467,
X - 21470,
X - 21471,
X - 21607,
X - 21733,
X - 21736,
X - 21740,
X - 21742,
X - 21752,
X - 21796,
X - 21803,
X - 21807,
X - 21815,
X - 21821,
X - 21829,
X - 21830,
X - 21834,
X - 21842,
X - 21959,
X - 22162,
X - 22508,
X - 22509,
X - 22519 - retired for 3-hydroxyoctanoylcarnitine (2),
X - 22771,
X - 22776,
X - 23276,
X - 23587,
X - 23590 - retired for N-acetyl-L-2-aminoadipic acid,
X - 23593,
X - 23636,
X - 23639,
X - 23641,
X - 23644,
X - 23648,
X - 23655,
X - 23659,
X - 23662,
X - 23665,
X - 23666,
X - 23678,
X - 23680,
X - 23739,
X - 23780,
X - 23782,
X - 23890,
X - 23974,
X - 23997,
X - 24241,
X - 24295,
X - 24306,
X - 24307,
X - 24328,
X - 24334,
X - 24337,
X - 24344,
X - 24411,
X - 24422,
X - 24455 ,
X - 24456,
X - 24462,
X - 24473,
X - 24475,
X - 24494,
X - 24518,
X - 24541,
X - 24544,
X - 24546,
X - 24549,
X - 24556,
X - 24565,
X - 24571,
X - 24585,
X - 24588,
X - 24699,
X - 24728,
X - 24736,
X - 24757,
X - 24762,
X - 24811,
X - 24812,
X - 24849,
X - 24947,
X - 24949,
X - 24951,
X - 24970,
X - 25172,
X - 25265,
X - 25267,
X - 25271,
X - 25279,
X - 25343,
X - 25371,
X - 25417,
X - 25419,
X - 25420,
X - 25422,
X - 25433,
X - 25468,
X - 25503,
X - 25519,
X - 25520,
X - 25617,
X - 25790,
X - 25810,
X - 25828,
X - 25948,
X - 25957,
