"","ID","X","EQUATION","GENE.ASSOCIATION","SUBSYSTEM","flux"
"914","MAR06451",4814,"7-carboxy-gamma-tocotrienol[m] + ATP[m] + CoA[m] + 2 H2O[m] + O2[m] => 5-carboxy-gamma-chromanol[m] + acetyl-CoA[m] + AMP[m] + H+[m] + H2O2[m] + PPi[m]","ENSG00000060971 or ENSG00000072506 or ENSG00000084754 or ENSG00000087008 or ENSG00000097021 or ENSG00000101473 or ENSG00000104325 or ENSG00000119673 or ENSG00000127884 or ENSG00000130304 or ENSG00000133835 or ENSG00000136881 or ENSG00000138029 or ENSG00000138796 or ENSG00000140284 or ENSG00000143554 or ENSG00000157426 or ENSG00000161533 or ENSG00000167107 or ENSG00000167114 or ENSG00000167315 or ENSG00000167969 or ENSG00000176715 or ENSG00000177465 or ENSG00000184227 or ENSG00000198721 or ENSG00000242110 or ENSG00000242612","Vitamin E metabolism",0.0039954819294824
"920","MAR06537",127,"glucuronate[c] + H+[c] + NADPH[c] <=> L-gulonate[c] + NADP+[c]","ENSG00000117448","Pentose and glucuronate interconversions",-0.00399548192945076
"923","MAR06603",297,"H2O2[e] + urate[e] <=> alloxan[e] + 2 H+[e] + urea[e]","ENSG00000117592 or ENSG00000121053 or ENSG00000130508 or ENSG00000147485 or ENSG00000167419","Purine metabolism",-1000
"927","MAR06627",381,"dTDP[c] + H+[c] + PEP[c] <=> dTTP[c] + pyruvate[c]","ENSG00000067225 or ENSG00000143627","Pyrimidine metabolism",0.773038895052082
"929","MAR06632",4635,"NADP+[r] + retinol[r] => H+[r] + NADPH[r] + retinal[r]","ENSG00000072042 or ENSG00000073737 or ENSG00000080511 or ENSG00000121039 or ENSG00000139988 or ENSG00000162496","Retinol metabolism",0.0159471843968037
"968","MAR06780",537,"AKG[m] + tyrosine[m] => 4-hydroxyphenylpyruvate[m] + glutamate[m]","ENSG00000125166 or ENSG00000198650","Alanine, aspartate and glutamate metabolism",0.0039954819294824
"982","MAR07161",414,"0.18 ATP[c] + 0.3 CTP[c] + 0.34 GTP[c] + 0.18 UTP[c] => PPi[c] + RNA[c]","(ENSG00000113356 or ENSG00000121851) and (ENSG00000090060 or ENSG00000115421 or ENSG00000164329 or ENSG00000218823) and (ENSG00000083223 or ENSG00000134744 or ENSG00000149016) and ENSG00000005075 and ENSG00000013503 and ENSG00000047315 and ENSG00000058600 and ENSG00000066379 and ENSG00000068654 and ENSG00000099817 and ENSG00000099821 and ENSG00000100142 and ENSG00000100413 and ENSG00000102978 and ENSG00000105258 and ENSG00000107951 and ENSG00000125630 and ENSG00000132664 and ENSG00000137054 and ENSG00000144231 and ENSG00000147669 and ENSG00000148606 and ENSG00000161980 and ENSG00000163882 and ENSG00000168002 and ENSG00000168495 and ENSG00000171453 and ENSG00000177700 and ENSG00000181222 and ENSG00000186141 and ENSG00000186184","Nucleotide metabolism",10.8476369293194
"986","MAR07672",4569,"apoC-lys_btn[c] + ATP[c] + HCO3-[c] => ADP[c] + carboxybiotin-carboxyl-carrier[c] + H+[c] + Pi[c]","ENSG00000076555 or ENSG00000278540","Biotin metabolism",4.05366230366424
"987","MAR07673",4570,"acetyl-CoA[c] + carboxybiotin-carboxyl-carrier[c] => apoC-lys_btn[c] + malonyl-CoA[c]","ENSG00000076555 or ENSG00000278540","Biotin metabolism",4.05366230366424
"1014","MAR07868",432,"GDP[n] + UDP[n] <=> GTP[n] + UMP[n]","ENSG00000162368","Nucleotide metabolism",-1000
"1021","MAR07882",445,"ADP[n] + GTP[n] <=> ATP[n] + GDP[n]","ENSG00000011052 or ENSG00000239672 or ENSG00000243678","Nucleotide metabolism",-1000
"1028","MAR07926",9697,"dGTP[c] => dGTP[m]",NA,"Transport reactions",332.611606784913
"1032","MAR08219",3374,"dihydroceramide pool[c] + NADP+[c] => ceramide pool[c] + H+[c] + NADPH[c]","ENSG00000143753 or ENSG00000168350","Sphingolipid metabolism",0.0279220490782089
"1033","MAR08352",121,"3-dehydro-L-gulonate[c] + H+[c] + NADH[c] <=> L-gulonate[c] + NAD+[c]","ENSG00000165475","Pentose and glucuronate interconversions",0.00399548192945076
"1034","MAR08353",122,"3-dehydro-L-gulonate[c] + H+[c] <=> CO2[c] + L-xylulose[c]",NA,"Pentose and glucuronate interconversions",-0.00399548192945076
"1037","MAR08410",1397,"2 H+[m] + 2 O2-[m] => H2O2[m] + O2[m]","ENSG00000112096","ROS detoxification",5
"1046","MAR08455",473,"dADP[n] + dCDP[n] <=> dATP[n] + dCMP[n]","ENSG00000162368","Nucleotide metabolism",-1000
"1057","MAR08468",486,"CDP[n] + UDP[n] <=> CMP[n] + UTP[n]","ENSG00000162368","Nucleotide metabolism",1000
"1065","MAR08566",761,"H+[c] + melatonin[c] + NADPH[c] + O2[c] => 6-hydroxymelatonin[c] + H2O[c] + NADP+[c]","ENSG00000138061 or ENSG00000140465 or ENSG00000140505 or ENSG00000165841","Tryptophan metabolism",1000
"1073","MAR08653",211,"glucono-1,5-lactone-6-phosphate[r] + H+[r] + NADH[r] <=> glucose-6-phosphate[r] + NAD+[r]","ENSG00000049239 or ENSG00000130313","Pentose phosphate pathway",0.00997133316309373
"1078","MAR08670",6547,"2 chloride[e] + formate[c] => 2 chloride[c] + formate[e]","ENSG00000225697","Transport reactions",442.438968496632
"1080","MAR08698",4706,"2 H+[c] + NADPH[c] + retinoate[c] <=> H2O[c] + NADP+[c] + retinal[c]",NA,"Retinol metabolism",0.0498798280298161
"1084","MAR08758",4561,"formate[c] + NAD+[c] => CO2[c] + NADH[c]","ENSG00000136010 or ENSG00000144908","Folate metabolism",83.7464991987118
"1090","MAR09034",7701,"glucose[e] <=> ",NA,"Exchange/demand reactions",-986.846420524089
"1115","MAR09075",7739,"urate[e] <=> ",NA,"Exchange/demand reactions",1000
"1116","MAR09076",7740,"Fe2+[e] <=> ",NA,"Exchange/demand reactions",467.345006738406
"1119","MAR09083",7747,"choline[e] <=> ",NA,"Exchange/demand reactions",-12.0444516932514
"1122","MAR09096",7760,"Fe3+[e] <=> ",NA,"Exchange/demand reactions",-467.345006738406
"1125","MAR09133",7796,"pyruvate[e] <=> ",NA,"Exchange/demand reactions",328.488965265201
"1133","MAR09154",7817,"gamma-tocotrienol[e] <=> ",NA,"Exchange/demand reactions",-0.00399548192945076
"1147","MAR09296",7929,"deoxycytidine[e] <=> ",NA,"Exchange/demand reactions",-0.524691705459304
"1159","MAR09403",9800,"leucine[c] + kynurenine[e] <=> kynurenine[c] + leucine[e]","ENSG00000149150","Transport reactions",-1000
"1161","MAR09421",8052,"THF[e] <=> ",NA,"Exchange/demand reactions",882.447166512225
"1165","MAR09438",8069,"urea[e] <=> ",NA,"Exchange/demand reactions",-1000
"1181","MAR09917",9906,"L-palmitoylcarnitine[c] + Na+[c] => Na+[e] + L-palmitoylcarnitine[e]","ENSG00000197375","Transport reactions",573.77968392639
"1184","MAR09925",9914,"L-palmitoylcarnitine[e] <=> ",NA,"Exchange/demand reactions",573.77968392639
"1197","MAR11348",11225,"N-acetylneuraminate[e] <=> ",NA,"Exchange/demand reactions",0.00399548192945076
"1209","MAR11805",11682,"hydroxide[c] + 5,10-methylene-THF[e] <=> 5,10-methylene-THF[c] + hydroxide[e]","ENSG00000173638","Transport reactions",-107.585016384077
"1217","MAR12035",11912,"H2O[e] + Galactosyl Glucosyl Ceramide[e] => galactose[e] + glucosylceramide pool[e]","ENSG00000170266","Sphingolipid metabolism",1000
"1219","MAR12076",11953,"H2O[e] + GD2[e] => GM2[e] + N-acetylneuraminate[e]","ENSG00000162139","Sphingolipid metabolism",0.00399548192939747
"1220","MAR12105",11982,"GD2[e] <=> ",NA,"Exchange/demand reactions",-0.00399548192945076
"1221","MAR12132",12009,"Galactosyl Glucosyl Ceramide[e] <=> ",NA,"Exchange/demand reactions",-1000
"1241","MAR13080",12957,"H+[i] => H+[m]","ENSG00000102078 or ENSG00000109424 or ENSG00000153291 or ENSG00000175564 or ENSG00000175567","Transport reactions",1000
"9","MAR00102",8207,"L-palmitoylcarnitine[c] <=> L-palmitoylcarnitine[m]","ENSG00000178537","Fatty acid oxidation",165.589521117309
"11","MAR00105",8210,"hexadecenoylcarnitine(9)[c] <=> hexadecenoylcarnitine(9)[m]","ENSG00000178537","Fatty acid oxidation",1000
"252","MAR01782",8608,"H2O[c] + thiamin-P[e] <=> H2O[e] + thiamin-P[c]","ENSG00000173638","Transport reactions",9.97980354948709
"318","MAR02405",8776,"AKG[c] + citrate[m] <=> AKG[m] + citrate[c]","ENSG00000100075","Transport reactions",614.581448742883
"332","MAR02608",2218,"CoA[c] + tetradecanoylcarnitine[c] <=> L-carnitine[c] + myristoyl-CoA[c]","ENSG00000110090 or ENSG00000169169 or ENSG00000205560","Carnitine shuttle (cytosolic)",1000
"341","MAR02629",2293,"L-carnitine[c] + L-palmitoylcarnitine[m] <=> L-carnitine[m] + L-palmitoylcarnitine[c]","ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208","Carnitine shuttle (mitochondrial)",1000
"344","MAR02634",2295,"hexadecenoylcarnitine(9)[m] + L-carnitine[c] <=> hexadecenoylcarnitine(9)[c] + L-carnitine[m]","ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208","Carnitine shuttle (mitochondrial)",0.0107408127979625
"365","MAR02730",2252,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[c] + L-carnitine[c] <=> CoA[c] + docosahexaenoylcarnitine[c]","ENSG00000110090 or ENSG00000169169 or ENSG00000205560","Carnitine shuttle (cytosolic)",0.00399548192945076
"380","MAR02896",2483,"L-carnitine[c] + ocosatetraenoylcarnitine[r] <=> L-carnitine[r] + ocosatetraenoylcarnitine[c]","ENSG00000197375","Carnitine shuttle (endoplasmic reticular)",0.00399548192945076
"381","MAR02897",2484,"(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[r] + L-carnitine[r] <=> CoA[r] + ocosatetraenoylcarnitine[r]","ENSG00000095321","Carnitine shuttle (endoplasmic reticular)",0.00399548192945076
"382","MAR02958",8890,"H2O[e] + 2,3-cyclic-UMP[e] <=> H+[e] + 3-UMP[e]","ENSG00000173786","Miscellaneous",1000
"407","MAR03438",9023,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[r] + 3 H+[r] + NADPH[r] <=> (7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[r] + NADP+[r]","ENSG00000066322","Fatty acid oxidation",0.00399548192945076
"415","MAR03797",163,"AMP[m] + PPi[m] + propanoyl-CoA[m] <=> ATP[m] + CoA[m] + propanoate[m]","ENSG00000111058 or ENSG00000131069 or ENSG00000154930","Propanoate metabolism",1000
"417","MAR03804",510,"AKG[m] + 2 H+[m] + NADPH[m] + NH3[m] <=> glutamate[m] + H2O[m] + NADP+[m]","ENSG00000148672 or ENSG00000182890","Alanine, aspartate and glutamate metabolism",1000
"418","MAR03806",547,"glutamate[m] + 2 H+[m] + NADH[m] <=> H2O[m] + L-glutamate 5-semialdehyde[m] + NAD+[m]","ENSG00000159423","Arginine and proline metabolism",879.784897830019
"465","MAR04085",229,"AMP[c] + PPi[c] <=> adenine[c] + PRPP[c]","ENSG00000198931","Purine metabolism",337.189131027018
"483","MAR04220",822,"3-hydroxy-L-kynurenine[c] + H2O[c] + NADP+[c] <=> H+[c] + kynurenine[c] + NADPH[c] + O2[c]","ENSG00000117009","Phenylalanine, tyrosine and tryptophan biosynthesis",946.113192696041
"505","MAR04339",9256,"3-UMP[e] <=> ",NA,"Exchange/demand reactions",1000
"506","MAR04352",192,"ribose-5-phosphate[c] <=> ribulose-5-phosphate[c]","ENSG00000153574","Pentose phosphate pathway",595.963077781226
"510","MAR04364",9264,"N-acetyl-seryl-aspartyl-lysyl-proline[e] <=> ",NA,"Exchange/demand reactions",1000
"538","MAR04460",171,"ATP[m] + H+[m] + propanoate[m] <=> PPi[m] + propinol adenylate[m]","ENSG00000111058 or ENSG00000131069 or ENSG00000154930","Propanoate metabolism",1000
"554","MAR04562",9305,"L-carnitine[c] + myristoyl-CoA[c] <=> CoA[c] + tetradecanoylcarnitine[c]","ENSG00000110090 or ENSG00000169169 or ENSG00000205560","Fatty acid oxidation",834.421219695489
"558","MAR04570",312,"ADP[c] + dGTP[c] <=> ATP[c] + dGDP[c]","ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678","Purine metabolism",1000
"567","MAR04592",114,"D-xylose[c] + H+[c] + NADPH[c] <=> NADP+[c] + xylitol[c]","ENSG00000085662 or ENSG00000198074","Pentose and glucuronate interconversions",0.00399548192945076
"581","MAR04654",4514,"folate[c] + NADH[c] <=> dihydrofolate[c] + NAD+[c]","ENSG00000178700 or ENSG00000228716","Folate metabolism",990.024191932442
"590","MAR04695",283,"2-deoxy-D-ribose-1-phosphate[c] + adenine[c] <=> deoxyadenosine[c] + Pi[c]","ENSG00000025708 or ENSG00000198805","Purine metabolism",337.189131027018
"604","MAR04855",6800,"fumarate[c] + malate[m] <=> fumarate[m] + malate[c]","ENSG00000108528","Transport reactions",145.556867270628
"623","MAR04949",5359,"urea[c] <=> urea[e]","ENSG00000103569 or ENSG00000132874 or ENSG00000141469","Transport reactions",1000
"647","MAR05082",5414,"phenylalanine[c] <=> phenylalanine[e]","(ENSG00000092068 and ENSG00000168003) or ENSG00000003989 or ENSG00000103257 or ENSG00000112394 or ENSG00000123643 or ENSG00000139514 or ENSG00000149150 or ENSG00000155465 or ENSG00000165349 or ENSG00000167703","Transport reactions",1000
"648","MAR05085",5416,"leucine[c] <=> leucine[e]","(ENSG00000092068 and ENSG00000168003) or ENSG00000003989 or ENSG00000103257 or ENSG00000123643 or ENSG00000139514 or ENSG00000149150 or ENSG00000155465 or ENSG00000165349 or ENSG00000167703","Transport reactions",1000
"693","MAR05459",5489,"glutamine[c] + glycine[e] <=> glutamine[e] + glycine[c]","ENSG00000103257","Transport reactions",1000
"696","MAR05462",5492,"glycine[c] + tryptophan[e] <=> glycine[e] + tryptophan[c]","ENSG00000103257","Transport reactions",1000
"703","MAR05469",5499,"glycine[c] + valine[e] <=> glycine[e] + valine[c]","ENSG00000103257","Transport reactions",1000
"704","MAR05470",5500,"glycine[c] + threonine[e] <=> glycine[e] + threonine[c]","ENSG00000103257 or ENSG00000130876 or ENSG00000168003","Transport reactions",1000
"715","MAR05481",5511,"alanine[c] + proline[e] <=> alanine[e] + proline[c]","ENSG00000103257","Transport reactions",1000
"716","MAR05482",5512,"alanine[c] + asparagine[e] <=> alanine[e] + asparagine[c]","ENSG00000103257","Transport reactions",1000
"728","MAR05494",5524,"glutamine[c] + proline[e] <=> glutamine[e] + proline[c]","ENSG00000103257","Transport reactions",1000
"745","MAR05511",5541,"isoleucine[c] + serine[e] <=> isoleucine[e] + serine[c]","ENSG00000103257","Transport reactions",1000
"750","MAR05516",5546,"leucine[c] + methionine[e] <=> leucine[e] + methionine[c]","ENSG00000103257 and ENSG00000168003","Transport reactions",11.6082695634527
"757","MAR05523",5553,"phenylalanine[c] + tryptophan[e] <=> phenylalanine[e] + tryptophan[c]","ENSG00000103257","Transport reactions",69.3702246440812
"762","MAR05528",5558,"asparagine[c] + tryptophan[e] <=> asparagine[e] + tryptophan[c]","ENSG00000103257 or ENSG00000165029","Transport reactions",315.602401348653
"774","MAR05540",5570,"homoserine[c] + phenylalanine[e] <=> homoserine[e] + phenylalanine[c]","ENSG00000103257 or ENSG00000165029","Transport reactions",1000
"777","MAR05543",5573,"leucine[c] + tyrosine[e] <=> leucine[e] + tyrosine[c]","ENSG00000103257","Transport reactions",1000
"780","MAR05546",5576,"tyrosine[c] + valine[e] <=> tyrosine[e] + valine[c]","ENSG00000103257","Transport reactions",985.269213054044
"784","MAR05551",5581,"cysteine[c] + proline[e] <=> cysteine[e] + proline[c]","ENSG00000103257","Transport reactions",1000
"785","MAR05552",5582,"asparagine[c] + cysteine[e] <=> asparagine[e] + cysteine[c]","ENSG00000103257","Transport reactions",178.607389166338
"793","MAR05560",5590,"leucine[c] + threonine[e] <=> leucine[e] + threonine[c]","ENSG00000103257","Transport reactions",78.8690905983101
"794","MAR05561",5591,"homoserine[c] + leucine[e] <=> homoserine[e] + leucine[c]","ENSG00000103257","Transport reactions",1000
"813","MAR05580",5610,"histidine[c] + lysine[e] <=> histidine[e] + lysine[c]","ENSG00000103064 or ENSG00000103257","Transport reactions",1000
"815","MAR05582",5612,"arginine[c] + ornithine[e] <=> arginine[e] + ornithine[c]","ENSG00000103064 or ENSG00000103257","Transport reactions",973.555965580717
"834","MAR06012",6039,"2-hydroxybutyrate[c] + butyrate[e] <=> 2-hydroxybutyrate[e] + butyrate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",1000
"837","MAR06015",6042,"acetate[c] + pyruvate[e] <=> acetate[e] + pyruvate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",1000
"844","MAR06022",6049,"acetate[e] + AKG[c] <=> acetate[c] + AKG[e]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",1000
"847","MAR06025",6052,"acetoacetate[e] + AKG[c] <=> acetoacetate[c] + AKG[e]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",1000
"856","MAR06035",6062,"acetate[c] + retinoate[e] <=> acetate[e] + retinoate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",1000
"868","MAR06048",6075,"butyrate[e] + L-lactate[c] <=> butyrate[c] + L-lactate[e]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",328.488965265201
"882","MAR06298",6886,"cis-aconitate[m] + PEP[c] <=> cis-aconitate[c] + PEP[m]","ENSG00000100075","Transport reactions",284.062677322819
"925","MAR06615",321,"dADP[m] + dTTP[m] <=> dATP[m] + dTDP[m]","ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678","Pyrimidine metabolism",1000
"953","MAR06675",4678,"13-cis-retinal[c] + H2O[c] + NAD+[c] <=> 13-cis-retinoate[c] + 2 H+[c] + NADH[c]","ENSG00000128918 or ENSG00000165092","Retinol metabolism",0.00399548192945076
"998","MAR07802",426,"2 dADP[c] <=> dAMP[c] + dATP[c]","ENSG00000154027","Nucleotide metabolism",1000
"1013","MAR07867",431,"GDP[c] + UDP[c] <=> GTP[c] + UMP[c]","ENSG00000162368","Nucleotide metabolism",782.874299676823
"1019","MAR07873",437,"dGDP[c] + UDP[c] <=> dGTP[c] + UMP[c]","ENSG00000162368","Nucleotide metabolism",1000
"1020","MAR07874",438,"dGDP[n] + UDP[n] <=> dGTP[n] + UMP[n]","ENSG00000162368","Nucleotide metabolism",1000
"1022","MAR07884",447,"ADP[n] + UTP[n] <=> ATP[n] + UDP[n]","ENSG00000011052 or ENSG00000239672 or ENSG00000243678","Nucleotide metabolism",1000
"1048","MAR08457",475,"dCDP[n] + UDP[n] <=> dCMP[n] + UTP[n]","ENSG00000162368","Nucleotide metabolism",1000
"1051","MAR08462",480,"dCDP[n] + GDP[n] <=> dCMP[n] + GTP[n]","ENSG00000162368","Nucleotide metabolism",1000
"1061","MAR08472",490,"CDP[n] + dCDP[n] <=> CMP[n] + dCTP[n]","ENSG00000162368","Nucleotide metabolism",1000
"1076","MAR08667",1335,"ADP[m] + mesaconyl-CoA[m] + Pi[m] <=> ATP[m] + CoA[m] + mesaconate[m]","(ENSG00000163541 and ENSG00000172340) or (ENSG00000136143 and ENSG00000163541)","C5-branched dibasic acid metabolism",1000
"1077","MAR08668",1336,"CoA[m] + GTP[m] + mesaconate[m] <=> GDP[m] + mesaconyl-CoA[m] + Pi[m]","(ENSG00000163541 and ENSG00000172340) or (ENSG00000136143 and ENSG00000163541)","C5-branched dibasic acid metabolism",1000
"1082","MAR08709",4713,"11-cis-retinal[c] + H+[c] + NADPH[c] <=> 11-cis-retinol[c] + NADP+[c]","ENSG00000025423 or ENSG00000135437 or ENSG00000139547 or ENSG00000140522 or ENSG00000157326 or ENSG00000170786 or ENSG00000187630 or ENSG00000265203","Retinol metabolism",1000
"1112","MAR09068",7732,"proline[e] <=> ",NA,"Exchange/demand reactions",589.661537557653
"1121","MAR09087",7751,"ornithine[e] <=> ",NA,"Exchange/demand reactions",263.521041072587
"1127","MAR09140",7803,"galactose[e] <=> ",NA,"Exchange/demand reactions",1000
"1138","MAR09216",7850,"2-hydroxybutyrate[e] <=> ",NA,"Exchange/demand reactions",523.522179810745
"1150","MAR09301",7934,"dehydroascorbic acid[e] <=> ",NA,"Exchange/demand reactions",233.672503369203
"1154","MAR09354",7987,"H2O2[e] <=> ",NA,"Exchange/demand reactions",1000
"1172","MAR09736",9807,"tryptophan[c] + 3-hydroxy-L-kynurenine[e] <=> 3-hydroxy-L-kynurenine[c] + tryptophan[e]","ENSG00000103257","Transport reactions",946.295175316822
"1174","MAR09857",9846,"kynurenine[e] <=> ",NA,"Exchange/demand reactions",946.113192696041
"1179","MAR09912",9901,"Na+[c] + O-acetylcarnitine[c] <=> Na+[e] + O-acetylcarnitine[e]","ENSG00000197375","Transport reactions",1000
"1182","MAR09920",9909,"O-acetylcarnitine[e] <=> ",NA,"Exchange/demand reactions",1000
"1206","MAR11785",11662,"H+[e] + 2-oxobutyrate[e] <=> 2-oxobutyrate[c] + H+[c]","ENSG00000118596","Transport reactions",523.522179810745
"1218","MAR12043",11920,"glucosylceramide pool[e] <=> ",NA,"Exchange/demand reactions",998.719299417394
"10","MAR00104",8209,"CoA[m] + hexadecenoylcarnitine(9)[m] <=> (2E)-hexadecenoyl-CoA[m] + L-carnitine[m]","ENSG00000157184","Fatty acid oxidation",999.989259187202
"37","MAR00174",1404,"AMP[c] + octanoyl-CoA[c] + PPi[c] <=> ATP[c] + CoA[c] + octanoic acid[c]","ENSG00000005187 or ENSG00000066813 or ENSG00000166743 or ENSG00000183549 or ENSG00000183747 or ENSG00000215009","Fatty acid activation (cytosolic)",415.178685027787
"42","MAR00226",1416,"AMP[c] + palmitoleoyl-CoA[c] + PPi[c] <=> ATP[c] + CoA[c] + palmitolate[c]","ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642","Fatty acid activation (cytosolic)",334.223902932353
"111","MAR00408",5273,"arachidonate[e] => arachidonate[c]","ENSG00000113396 or ENSG00000121769 or ENSG00000130304 or ENSG00000135218 or ENSG00000143554 or ENSG00000145384 or ENSG00000163586 or ENSG00000164434 or ENSG00000164687 or ENSG00000167114 or ENSG00000170231 or ENSG00000170323 or ENSG00000197416 or ENSG00000205186","Transport reactions",2.9080750650488
"175","MAR00710",1338,"isocitrate[c] + NADP+[c] => AKG[c] + CO2[c] + NADPH[c]","ENSG00000138413 or ENSG00000182054","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",605.42369135577
"290","MAR02187",8684,"decanoyl-CoA[m] + NADP+[m] <=> (2E)-decenoyl-CoA[m] + H+[m] + NADPH[m]","ENSG00000115425 or ENSG00000116353","Fatty acid oxidation",165.178685027787
"307","MAR02284",1647,"H+[c] + myristoyl-CoA[c] + NADPH[c] + O2[c] => 5-tetradecenoyl-CoA[c] + 2 H2O[c] + NADP+[c]","ENSG00000099194 or ENSG00000145284","Fatty acid desaturation (even-chain)",165.200166653383
"308","MAR02286",1648,"H+[c] + NADPH[c] + O2[c] + palmitoyl-CoA[c] => 2 H2O[c] + NADP+[c] + palmitoleoyl-CoA[c]","ENSG00000099194 or ENSG00000145284","Fatty acid desaturation (even-chain)",0.588059500688538
"313","MAR02303",8724,"AKG[c] + isocitrate[m] <=> AKG[m] + isocitrate[c]","ENSG00000100075","Transport reactions",55.054435870675
"315","MAR02352",8749,"dADP[m] + H2O[m] + oxidized thioredoxin[m] => ADP[m] + thioredoxin[m]","(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)","Miscellaneous",665.326285422499
"333","MAR02609",2283,"L-carnitine[c] + tetradecanoylcarnitine[m] <=> L-carnitine[m] + tetradecanoylcarnitine[c]","ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208","Carnitine shuttle (mitochondrial)",165.578780304511
"340","MAR02626",2223,"CoA[c] + L-palmitoylcarnitine[c] <=> L-carnitine[c] + palmitoyl-CoA[c]","ENSG00000110090 or ENSG00000169169 or ENSG00000205560","Carnitine shuttle (cytosolic)",10.6307949563011
"345","MAR02636",2225,"CoA[c] + palmitoleoyl-carnitine[c] <=> L-carnitine[c] + palmitoleoyl-CoA[c]","ENSG00000110090 or ENSG00000169169 or ENSG00000205560","Carnitine shuttle (cytosolic)",334.223902932353
"389","MAR03032",2266,"CoA[c] + L-octanoylcarnitine[c] <=> L-carnitine[c] + octanoyl-CoA[c]","ENSG00000110090 or ENSG00000169169 or ENSG00000205560","Carnitine shuttle (cytosolic)",415.178685027787
"393","MAR03122",2687,"(2E)-hexadecenoyl-CoA[m] + H2O[m] => (S)-3-hydroxyhexadecanoyl-CoA[m]","ENSG00000084754 and ENSG00000113790 and ENSG00000127884","Beta oxidation of even-chain fatty acids (mitochondrial)",165.578780304511
"394","MAR03123",2688,"(S)-3-hydroxyhexadecanoyl-CoA[m] + NAD+[m] => 3-oxopalmitoyl-CoA[m] + H+[m] + NADH[m]","ENSG00000072506 and ENSG00000084754 and ENSG00000138796","Beta oxidation of even-chain fatty acids (mitochondrial)",165.578780304511
"395","MAR03125",2689,"3-oxopalmitoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + myristoyl-CoA[m]","ENSG00000084754 and ENSG00000138029 and ENSG00000167315","Beta oxidation of even-chain fatty acids (mitochondrial)",165.578780304511
"406","MAR03273",8966,"ATP[m] + CoA[m] + palmitolate[m] => AMP[m] + palmitoleoyl-CoA[m] + PPi[m]","ENSG00000068366 or ENSG00000123983 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142","Fatty acid oxidation",334.223902932352
"445","MAR03980",1392,"2 H2O2[c] => 2 H2O[c] + O2[c]","ENSG00000121691","ROS detoxification",250.001656580853
"449","MAR04004",215,"2 ADP[m] <=> AMP[m] + ATP[m]","ENSG00000004455 or ENSG00000085231 or ENSG00000106992 or ENSG00000140057 or ENSG00000147853 or ENSG00000154027 or ENSG00000155085 or ENSG00000162433 or ENSG00000165695 or ENSG00000273841","Purine metabolism",665.732146766423
"451","MAR04008",328,"ADP[c] + UDP[c] <=> ATP[c] + UMP[c]","ENSG00000162368","Pyrimidine metabolism",552.569173749555
"457","MAR04028",315,"ADP[c] + CTP[c] <=> ATP[c] + CDP[c]","ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678","Pyrimidine metabolism",981.880114994003
