"","ID","X","EQUATION","GENE.ASSOCIATION","SUBSYSTEM","flux"
"1000","MAR07876",440,"ADP[n] + UDP[n] <=> ATP[n] + UMP[n]","ENSG00000162368","Nucleotide metabolism",-1000
"1007","MAR07892",455,"ADP[n] + dATP[n] <=> ATP[n] + dADP[n]","ENSG00000011052 or ENSG00000239672 or ENSG00000243678","Nucleotide metabolism",1000
"1008","MAR07905",6437,"ADP-ribose[c] <=> ADP-ribose[e]","ENSG00000004468","Transport reactions",246.799004800021
"1011","MAR08096",625,"H+[m] + H2O[m] + L-1-pyrroline-3-hydroxy-5-carboxylate[m] <=> L-4-hydroxyglutamate semialdehyde[m]","ENSG00000159423","Arginine and proline metabolism",-1000
"1012","MAR08097",626,"2 H+[m] + L-erythro-4-hydroxyglutamate[m] + NADH[m] <=> H2O[m] + L-4-hydroxyglutamate semialdehyde[m] + NAD+[m]","ENSG00000159423","Arginine and proline metabolism",1000
"1014","MAR08340",6515,"L-arabinose[c] <=> L-arabinose[e]",NA,"Transport reactions",-1000
"1015","MAR08341",118,"H+[c] + L-arabinose[c] + NADPH[c] => L-arabitol[c] + NADP+[c]","ENSG00000053371 or ENSG00000085662 or ENSG00000117448","Pentose and glucuronate interconversions",1000
"1016","MAR08342",119,"H+[c] + L-xylulose[c] + NADH[c] <=> L-arabitol[c] + NAD+[c]",NA,"Pentose and glucuronate interconversions",-1000
"1017","MAR08354",6517,"4-aminobutyrate[e] + H+[e] => 4-aminobutyrate[c] + H+[c]","ENSG00000123643","Transport reactions",1000
"1020","MAR08408",6520,"H2O2[c] <=> H2O2[e]",NA,"Transport reactions",-1000
"1021","MAR08411",7017,"O2-[c] <=> O2-[m]",NA,"Transport reactions",-10
"1032","MAR08458",476,"ADP[n] + CDP[n] <=> ATP[n] + CMP[n]","ENSG00000162368","Nucleotide metabolism",1000
"1033","MAR08459",477,"ADP[n] + dCDP[n] <=> ATP[n] + dCMP[n]","ENSG00000162368","Nucleotide metabolism",-1000
"1046","MAR08478",494,"ADP[n] + dCMP[n] + H+[n] <=> ATP[n] + deoxycytidine[n]","ENSG00000156136","Nucleotide metabolism",-1000
"1047","MAR08479",495,"dCMP[n] + H+[n] + UDP[n] <=> deoxycytidine[n] + UTP[n]","ENSG00000156136","Nucleotide metabolism",1000
"1051","MAR08567",6527,"maltodecaose[c] <=> maltodecaose[e]",NA,"Transport reactions",-142.857142857143
"1052","MAR08568",49,"H2O[c] + maltodecaose[c] => fructose[c] + maltononaose[c]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism",142.857142857143
"1053","MAR08570",51,"2 H2O[c] + maltononaose[c] => 2 fructose[c] + maltoheptaose[c]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism",142.857142857143
"1054","MAR08572",53,"H2O[c] + maltoheptaose[c] => fructose[c] + maltohexaose[c]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism",142.857142857143
"1055","MAR08574",55,"H2O[c] + maltohexaose[c] => fructose[c] + maltopentaose[c]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism",142.857142857143
"1056","MAR08576",57,"H2O[c] + maltopentaose[c] => fructose[c] + maltotetraose[c]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism",142.857142857143
"1057","MAR08578",59,"H2O[c] + maltotetraose[c] => fructose[c] + maltotriose[c]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism",142.857142857143
"1058","MAR08581",61,"H2O[e] + maltotriose[e] => glucose[e] + maltose[e]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism",857.142857142857
"1059","MAR08586",6528,"maltose[c] <=> maltose[e]","ENSG00000059804","Transport reactions",142.857142857143
"1060","MAR08591",62,"H2O[c] + maltotriose[c] => glucose[c] + maltose[c]","ENSG00000214013 or ENSG00000257335","Starch and sucrose metabolism",142.857142857143
"1067","MAR08618",6536,"ascorbate[c] <=> ascorbate[e]",NA,"Transport reactions",1000
"1076","MAR08722",7651,"retinoate[c] => retinoate[r]",NA,"Transport reactions",0.0117069239775342
"1077","MAR08729",126,"H2O[c] + UDP-glucuronate[c] => glucuronate[c] + H+[c] + UDP[c]","ENSG00000115652","Pentose and glucuronate interconversions",0.00360937334427997
"1079","MAR08846",6570,"dehydroascorbic acid[c] <=> dehydroascorbic acid[e]","ENSG00000059804 or ENSG00000117394 or ENSG00000181856","Transport reactions",-1000
"1083","MAR08917",6607,"lysine[e] + Na+[e] => lysine[c] + Na+[c]","ENSG00000197375 or ENSG00000268104","Transport reactions",171.386487337868
"1084","MAR08971",9741,"3 glucose-6-phosphate[c] + 3 NADP+[c] => 3 glucono-1,5-lactone-6-phosphate[c] + 3 H+[c] + 3 NADPH[c]","ENSG00000160211","Pentose phosphate pathway",650.297647948991
"1085","MAR08973",9743,"3 6-phospho-D-gluconate[c] + 3 NADP+[c] => 3 CO2[c] + 3 NADPH[c] + 3 ribulose-5-phosphate[c]","ENSG00000142657","Pentose phosphate pathway",316.964314615658
"1086","MAR08985",9755,"3 glucono-1,5-lactone-6-phosphate[c] + 3 H2O[c] => 3 6-phospho-D-gluconate[c] + 3 H+[c]","ENSG00000130313","Pentose phosphate pathway",316.964314615658
"1112","MAR09071",7735,"glutamate[e] <=> ",NA,"Exchange/demand reactions",844.424310087502
"1120","MAR09124",7787,"de-Fuc form of PA6[e] <=> ",NA,"Exchange/demand reactions",1000
"1121","MAR09125",7788,"PA6[e] <=> ",NA,"Exchange/demand reactions",-1000
"1123","MAR09139",7802,"fructose[e] <=> ",NA,"Exchange/demand reactions",1000
"1125","MAR09141",7804,"ADP-ribose[e] <=> ",NA,"Exchange/demand reactions",246.799004800021
"1131","MAR09153",7816,"gamma-tocopherol[e] <=> ",NA,"Exchange/demand reactions",-0.00360937334426126
"1132","MAR09155",7818,"ITP[e] <=> ",NA,"Exchange/demand reactions",-1000
"1139","MAR09253",7887,"adenine[e] <=> ",NA,"Exchange/demand reactions",-964.537403024822
"1144","MAR09270",7904,"L-arabinose[e] <=> ",NA,"Exchange/demand reactions",-1000
"1152","MAR09330",7963,"6-deoxy-L-galactose[e] <=> ",NA,"Exchange/demand reactions",1000
"1153","MAR09343",7976,"GMP[e] <=> ",NA,"Exchange/demand reactions",-1000
"1158","MAR09359",7992,"IDP[e] <=> ",NA,"Exchange/demand reactions",1000
"1161","MAR09366",7999,"leukotriene C4[e] <=> ",NA,"Exchange/demand reactions",-1000
"1162","MAR09367",8000,"LTD4[e] <=> ",NA,"Exchange/demand reactions",1000
"1163","MAR09370",8003,"maltose[e] <=> ",NA,"Exchange/demand reactions",1000
"1164","MAR09371",8004,"maltotriose[e] <=> ",NA,"Exchange/demand reactions",-857.142857142857
"1165","MAR09372",8005,"methanol[e] <=> ",NA,"Exchange/demand reactions",-32.6523895051356
"1167","MAR09386",8019,"hydroxide[e] <=> ",NA,"Exchange/demand reactions",1000
"1174","MAR09448",8079,"maltodecaose[e] <=> ",NA,"Exchange/demand reactions",-142.857142857143
"1175","MAR09571",5096,"gamma-glutamyl-beta-cyanoalanine[e] + H2O[e] => glutamate[e] + H+[e] + L-3-cyanoalanine[e]","ENSG00000099998 or ENSG00000100031 or ENSG00000100121 or ENSG00000131067 or ENSG00000133475 or ENSG00000167741 or ENSG00000274252","Isolated",844.424310087502
"1178","MAR09683",8096,"5-L-gamma-glutamyl[e] <=> ",NA,"Exchange/demand reactions",1000
"1182","MAR09802",524,"glutamine[c] + H2O[c] => glutamate[c] + H+[c] + NH3[c]","ENSG00000135423","Alanine, aspartate and glutamate metabolism",37.2124648136644
"1195","MAR10027",12963,"LacCer pool[e] <=> ",NA,"Exchange/demand reactions",1000
"1205","MAR10577",10457,"Histidyl-Arginyl-Cysteine[e] <=> ",NA,"Exchange/demand reactions",976.111419189788
"1206","MAR10603",10483,"Isolecyl-Tryptophanyl-Tyrosine[e] <=> ",NA,"Exchange/demand reactions",-193.947794127298
"1207","MAR10637",10517,"Phenylalanyl-Leucyl-Aspartate[e] <=> ",NA,"Exchange/demand reactions",957.177666665988
"1208","MAR10677",10557,"Threonyl-Glutaminyl-Tyrosine[e] <=> ",NA,"Exchange/demand reactions",745.568419759603
"1209","MAR10685",10565,"Tryptophanyl-Alanyl-Proline[e] <=> ",NA,"Exchange/demand reactions",961.444904971168
"1210","MAR10709",10589,"Tryptophanyl-Threonyl-Isoleucine[e] <=> ",NA,"Exchange/demand reactions",227.900415044586
"1211","MAR10819",10699,"H+[e] + Histidyl-Arginyl-Cysteine[e] <=> H+[c] + Histidyl-Arginyl-Cysteine[c]","ENSG00000088386 or ENSG00000163406","Transport reactions",-976.111419189788
"1212","MAR10845",10725,"H+[e] + Isolecyl-Tryptophanyl-Tyrosine[e] <=> H+[c] + Isolecyl-Tryptophanyl-Tyrosine[c]","ENSG00000088386 or ENSG00000163406","Transport reactions",193.947794127298
"1213","MAR10879",10759,"H+[e] + Phenylalanyl-Leucyl-Aspartate[e] <=> H+[c] + Phenylalanyl-Leucyl-Aspartate[c]","ENSG00000088386 or ENSG00000163406","Transport reactions",-957.177666665988
"1214","MAR10919",10799,"H+[e] + Threonyl-Glutaminyl-Tyrosine[e] <=> H+[c] + Threonyl-Glutaminyl-Tyrosine[c]","ENSG00000088386 or ENSG00000163406","Transport reactions",-745.568419759603
"1215","MAR10927",10807,"H+[e] + Tryptophanyl-Alanyl-Proline[e] <=> H+[c] + Tryptophanyl-Alanyl-Proline[c]","ENSG00000088386 or ENSG00000163406","Transport reactions",-961.444904971169
"1216","MAR10951",10831,"H+[e] + Tryptophanyl-Threonyl-Isoleucine[e] <=> H+[c] + Tryptophanyl-Threonyl-Isoleucine[c]","ENSG00000088386 or ENSG00000163406","Transport reactions",-227.900415044586
"1217","MAR11061",10941,"2 H2O[c] + Histidyl-Arginyl-Cysteine[c] <=> arginine[c] + cysteine[c] + histidine[c]",NA,"Peptide metabolism",-976.111419189788
"1218","MAR11087",10967,"2 H2O[c] + Isolecyl-Tryptophanyl-Tyrosine[c] <=> isoleucine[c] + tryptophan[c] + tyrosine[c]",NA,"Peptide metabolism",193.947794127298
"1219","MAR11121",11001,"2 H2O[c] + Phenylalanyl-Leucyl-Aspartate[c] <=> aspartate[c] + leucine[c] + phenylalanine[c]",NA,"Peptide metabolism",-957.177666665988
"1220","MAR11161",11041,"2 H2O[c] + Threonyl-Glutaminyl-Tyrosine[c] <=> glutamine[c] + threonine[c] + tyrosine[c]",NA,"Peptide metabolism",-745.568419759603
"1221","MAR11169",11049,"2 H2O[c] + Tryptophanyl-Alanyl-Proline[c] <=> alanine[c] + proline[c] + tryptophan[c]",NA,"Peptide metabolism",-961.444904971169
"1222","MAR11193",11073,"2 H2O[c] + Tryptophanyl-Threonyl-Isoleucine[c] <=> isoleucine[c] + threonine[c] + tryptophan[c]",NA,"Peptide metabolism",-227.900415044586
"1236","MAR11896",11773,"9-cis-retinoate[c] <=> 9-cis-retinoate[e]",NA,"Transport reactions",999.949542006842
"1237","MAR11897",11774,"9-cis-retinoate[e] <=> ",NA,"Exchange/demand reactions",999.949542006842
"1245","MAR13033",12910,"1,2-diacylglycerol-chylomicron pool[e] <=> ",NA,"Exchange/demand reactions",-1000
"1246","MAR13034",12911,"fatty acid-chylomicron pool[e] <=> ",NA,"Exchange/demand reactions",1000
"1247","MAR13035",12912,"1-acylglycerol-chylomicron pool[e] <=> ",NA,"Exchange/demand reactions",1000
"1248","MAR13040",12917,"(10Z)-heptadecenoic acid[e] <=> ",NA,"Exchange/demand reactions",-0.00146662613883564
"1260","MAR13055",12932,"9-heptadecylenic acid[e] <=> ",NA,"Exchange/demand reactions",-0.00146662613883564
"5","MAR00050",8155,"5-formyl-THF[e] + H2O[c] <=> 5-formyl-THF[c] + H2O[e]","ENSG00000173638","Transport reactions",1000
"7","MAR00060",8165,"O-acetylcarnitine[c] <=> O-acetylcarnitine[m]","ENSG00000178537","Transport reactions",12.5732771534834
"31","MAR00155",5163,"butyrate[e] <=> butyrate[c]","ENSG00000113396 or ENSG00000121769 or ENSG00000130304 or ENSG00000135218 or ENSG00000143554 or ENSG00000145384 or ENSG00000163586 or ENSG00000164434 or ENSG00000164687 or ENSG00000167114 or ENSG00000170231 or ENSG00000170323 or ENSG00000197416 or ENSG00000205186","Transport reactions",1000
"55","MAR00252",8270,"eicosatrienoylcarnitine[c] <=> eicosatrienoylcarnitine[m]","ENSG00000178537","Fatty acid oxidation",1000
"205","MAR00770",5294,"glucosylceramide pool[c] <=> glucosylceramide pool[e]","ENSG00000139433","Transport reactions",0.0135168416255738
"207","MAR01047",8419,"folate[e] + H2O[c] <=> folate[c] + H2O[e]","ENSG00000173638","Transport reactions",201.476538393989
"331","MAR02593",2274,"CoA[m] + O-acetylcarnitine[m] <=> acetyl-CoA[m] + L-carnitine[m]","ENSG00000095321 or ENSG00000157184","Carnitine shuttle (mitochondrial)",12.5732771534834
"373","MAR02753",2363,"eicosatrienoylcarnitine[m] + L-carnitine[c] <=> eicosatrienoylcarnitine[c] + L-carnitine[m]","ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208","Carnitine shuttle (mitochondrial)",1000
"375","MAR02759",2260,"(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[c] + L-carnitine[c] <=> CoA[c] + ocosatetraenoylcarnitine[c]","ENSG00000110090 or ENSG00000169169 or ENSG00000205560","Carnitine shuttle (cytosolic)",0.0198044746107371
"382","MAR02869",2465,"docosahexaenoylcarnitine[r] + L-carnitine[c] <=> docosahexaenoylcarnitine[c] + L-carnitine[r]","ENSG00000197375","Carnitine shuttle (endoplasmic reticular)",0.0198044746107371
"383","MAR02870",2466,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[r] + L-carnitine[r] <=> CoA[r] + docosahexaenoylcarnitine[r]","ENSG00000095321","Carnitine shuttle (endoplasmic reticular)",0.0198044746107371
"394","MAR03119",8919,"H2O[c] + melatonin[c] <=> 6-hydroxymelatonin[c] + 2 H+[c]",NA,"Tryptophan metabolism",1000
"398","MAR03127",8923,"H2O[e] + N-acetyl-seryl-aspartyl-lysyl-proline[e] <=> N-acetyl-seryl-aspartate[e] + lysyl-proline[e]","ENSG00000130234 or ENSG00000159640","Miscellaneous",1000
"411","MAR03796",1083,"AMP[m] + H+[m] + propanoyl-CoA[m] <=> CoA[m] + propinol adenylate[m]","ENSG00000111058 or ENSG00000131069 or ENSG00000154930","Valine, leucine, and isoleucine metabolism",1000
"413","MAR03802",509,"AKG[m] + 2 H+[m] + NADH[m] + NH3[m] <=> glutamate[m] + H2O[m] + NAD+[m]","ENSG00000148672 or ENSG00000182890","Alanine, aspartate and glutamate metabolism",1000
"416","MAR03807",548,"AKG[m] + ornithine[m] <=> glutamate[m] + L-glutamate 5-semialdehyde[m]","ENSG00000065154","Arginine and proline metabolism",150.984064235524
"424","MAR03916",5317,"5-methyl-THF[c] <=> 5-methyl-THF[e]","ENSG00000110195 or ENSG00000110203","Transport reactions",580.680737471408
"483","MAR04306",189,"glucono-1,5-lactone-6-phosphate[c] + H+[c] + NADPH[c] <=> glucose-6-phosphate[c] + NADP+[c]","ENSG00000160211","Pentose phosphate pathway",1000
"491","MAR04337",9255,"2,3-cyclic-UMP[e] <=> ",NA,"Exchange/demand reactions",1000
"500","MAR04366",9265,"N-acetyl-seryl-aspartate[e] <=> ",NA,"Exchange/demand reactions",1000
"502","MAR04369",9266,"lysyl-proline[e] <=> ",NA,"Exchange/demand reactions",1000
"529","MAR04480",247,"ADP[c] + dADP[c] <=> ATP[c] + dAMP[c]","ENSG00000004455 or ENSG00000072778 or ENSG00000085231 or ENSG00000087008 or ENSG00000106992 or ENSG00000117054 or ENSG00000140057 or ENSG00000147853 or ENSG00000151498 or ENSG00000154027 or ENSG00000155085 or ENSG00000162433 or ENSG00000165695 or ENSG00000177646","Purine metabolism",1000
"569","MAR04655",4515,"folate[c] + NADPH[c] <=> dihydrofolate[c] + NADP+[c]","ENSG00000178700 or ENSG00000228716","Folate metabolism",580.684346844753
"590","MAR04848",5335,"hypoxanthine[c] <=> hypoxanthine[e]","ENSG00000174669","Transport reactions",635.328094133499
"599","MAR04885",5342,"H2O[c] <=> H2O[e]","ENSG00000086159 or ENSG00000100170 or ENSG00000103375 or ENSG00000143595 or ENSG00000161798 or ENSG00000165269 or ENSG00000165272 or ENSG00000167580 or ENSG00000171885 or ENSG00000240583 or ENSG00000259916","Transport reactions",1000
"609","MAR04947",5357,"UTP[c] <=> UTP[e]",NA,"Transport reactions",160.840113665723
"627","MAR05070",5405,"histidine[c] <=> histidine[e]","(ENSG00000092068 and ENSG00000168003) or ENSG00000003989 or ENSG00000103257 or ENSG00000123643 or ENSG00000139514 or ENSG00000149150 or ENSG00000155465 or ENSG00000165349 or ENSG00000167703","Transport reactions",1000
"669","MAR05351",185,"2-hydroxybutyrate[c] + NAD+[c] <=> 2-oxobutyrate[c] + H+[c] + NADH[c]","ENSG00000111716 or ENSG00000151116 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989","Butanoate metabolism",151.046758353051
"675","MAR05460",5490,"glycine[c] + serine[e] <=> glycine[e] + serine[c]","ENSG00000103257 or ENSG00000130876 or ENSG00000168003","Transport reactions",1000
"687","MAR05472",5502,"glycine[c] + isoleucine[e] <=> glycine[e] + isoleucine[c]","ENSG00000103257","Transport reactions",1000
"689","MAR05474",5504,"alanine[c] + serine[e] <=> alanine[e] + serine[c]","ENSG00000103257","Transport reactions",1000
"691","MAR05476",5506,"alanine[c] + tryptophan[e] <=> alanine[e] + tryptophan[c]","ENSG00000103257","Transport reactions",1000
"708","MAR05493",5523,"glutamine[c] + leucine[e] <=> glutamine[e] + leucine[c]","ENSG00000103257","Transport reactions",190.558139205777
"712","MAR05497",5527,"glutamine[c] + threonine[e] <=> glutamine[e] + threonine[c]","ENSG00000103257 or ENSG00000130876 or ENSG00000168003","Transport reactions",1000
"716","MAR05501",5531,"serine[c] + tryptophan[e] <=> serine[e] + tryptophan[c]","ENSG00000103257","Transport reactions",1000
"717","MAR05502",5532,"phenylalanine[c] + serine[e] <=> phenylalanine[e] + serine[c]","ENSG00000103257","Transport reactions",1000
"736","MAR05521",5551,"homoserine[c] + methionine[e] <=> homoserine[e] + methionine[c]","ENSG00000103257","Transport reactions",42.0599360388169
"756","MAR05541",5571,"isoleucine[c] + phenylalanine[e] <=> isoleucine[e] + phenylalanine[c]","ENSG00000103257 or ENSG00000165029","Transport reactions",1000
"771","MAR05557",5587,"leucine[c] + proline[e] <=> leucine[e] + proline[c]","ENSG00000103257","Transport reactions",1000
"773","MAR05559",5589,"leucine[c] + valine[e] <=> leucine[e] + valine[c]","ENSG00000103257","Transport reactions",1000
"776","MAR05562",5592,"isoleucine[c] + leucine[e] <=> isoleucine[e] + leucine[c]","ENSG00000103257","Transport reactions",742.752827216313
"777","MAR05563",5593,"asparagine[c] + proline[e] <=> asparagine[e] + proline[c]","ENSG00000103257","Transport reactions",534.476147061354
"786","MAR05572",5602,"threonine[c] + valine[e] <=> threonine[e] + valine[c]","ENSG00000103257","Transport reactions",1000
"790","MAR05576",5606,"isoleucine[c] + threonine[e] <=> isoleucine[e] + threonine[c]","ENSG00000103257","Transport reactions",1000
"791","MAR05577",5607,"homoserine[c] + isoleucine[e] <=> homoserine[e] + isoleucine[c]","ENSG00000103257","Transport reactions",1000
"792","MAR05578",5608,"arginine[c] + lysine[e] <=> arginine[e] + lysine[c]","ENSG00000103064 or ENSG00000103257 or ENSG00000168003","Transport reactions",862.193622710899
"793","MAR05579",5609,"lysine[c] + ornithine[e] <=> lysine[e] + ornithine[c]","ENSG00000103064 or ENSG00000103257","Transport reactions",1000
"802","MAR06001",6028,"acetate[c] + acetoacetate[e] <=> acetate[e] + acetoacetate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",1000
"803","MAR06002",6029,"acetoacetate[c] + formate[e] <=> acetoacetate[e] + formate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",848.953241646949
"807","MAR06006",6033,"2-hydroxybutyrate[c] + acetoacetate[e] <=> 2-hydroxybutyrate[e] + acetoacetate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",1000
"815","MAR06014",6041,"AKG[c] + pyruvate[e] <=> AKG[e] + pyruvate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",1000
"833","MAR06034",6061,"acetate[c] + butyrate[e] <=> acetate[e] + butyrate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",1000
"839","MAR06040",6067,"formate[c] + retinoate[e] <=> formate[e] + retinoate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",1000
"906","MAR06638",4641,"11-cis-retinal[c] + H+[c] + NADH[c] <=> 11-cis-retinol[c] + NAD+[c]","ENSG00000025423 or ENSG00000135437 or ENSG00000139547 or ENSG00000140522 or ENSG00000157326 or ENSG00000170786 or ENSG00000187630 or ENSG00000265203","Retinol metabolism",1000
"926","MAR06672",4675,"13-cis-retinal[c] <=> retinal[c]",NA,"Retinol metabolism",0.0279438730509582
"966","MAR07682",6409,"5-formyl-THF[c] + hydroxide[e] <=> 5-formyl-THF[e] + hydroxide[c]","ENSG00000173638","Transport reactions",1000
"970","MAR07686",6413,"hydroxide[c] + thiamin-P[e] <=> hydroxide[e] + thiamin-P[c]","ENSG00000173638","Transport reactions",1000
"990","MAR07864",428,"CDP[n] + UDP[n] <=> CTP[n] + UMP[n]","ENSG00000162368","Nucleotide metabolism",1000
"994","MAR07869",433,"dADP[c] + UDP[c] <=> dATP[c] + UMP[c]","ENSG00000162368","Nucleotide metabolism",1000
"1002","MAR07885",448,"ADP[n] + CTP[n] <=> ATP[n] + CDP[n]","ENSG00000011052 or ENSG00000239672 or ENSG00000243678","Nucleotide metabolism",1000
"1003","MAR07886",449,"ADP[m] + dTTP[m] <=> ATP[m] + dTDP[m]","ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000155085 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678","Nucleotide metabolism",997.659569857588
"1026","MAR08451",469,"dCDP[n] + dGDP[n] <=> dCMP[n] + dGTP[n]","ENSG00000162368","Nucleotide metabolism",1000
"1028","MAR08453",471,"2 dCDP[n] <=> dCMP[n] + dCTP[n]","ENSG00000162368","Nucleotide metabolism",1000
"1035","MAR08461",479,"dCDP[c] + GDP[c] <=> dCMP[c] + GTP[c]","ENSG00000154027","Nucleotide metabolism",0.00843058942973585
"1038","MAR08464",482,"CDP[n] + GDP[n] <=> CMP[n] + GTP[n]","ENSG00000162368","Nucleotide metabolism",1000
"1069","MAR08662",1330,"CoA[m] + GTP[m] + itaconate[m] <=> GDP[m] + itaconyl-CoA[m] + Pi[m]","(ENSG00000163541 and ENSG00000172340) or (ENSG00000136143 and ENSG00000163541)","C5-branched dibasic acid metabolism",1000
"1070","MAR08663",1331,"ADP[m] + itaconyl-CoA[m] + Pi[m] <=> ATP[m] + CoA[m] + itaconate[m]","(ENSG00000163541 and ENSG00000172340) or (ENSG00000136143 and ENSG00000163541)","C5-branched dibasic acid metabolism",1000
"1073","MAR08676",6549,"L-carnitine[c] <=> L-carnitine[e]","ENSG00000197208 or ENSG00000197375","Transport reactions",335.430622511553
"1080","MAR08861",6577,"H2O[c] + urea[c] <=> H2O[e] + urea[e]","ENSG00000132874 or ENSG00000141469","Transport reactions",1000
"1081","MAR08867",6582,"D-xylose[c] <=> D-xylose[e]","ENSG00000059804","Transport reactions",1000
"1100","MAR09047",7714,"H2O[e] <=> ",NA,"Exchange/demand reactions",1000
"1113","MAR09072",7736,"Pi[e] <=> ",NA,"Exchange/demand reactions",1000
"1115","MAR09079",7743,"H+[e] <=> ",NA,"Exchange/demand reactions",1000
"1133","MAR09158",7821,"ascorbate[e] <=> ",NA,"Exchange/demand reactions",1000
"1136","MAR09203",7837,"D-xylose[e] <=> ",NA,"Exchange/demand reactions",1000
"1138","MAR09234",7868,"5-methyl-THF[e] <=> ",NA,"Exchange/demand reactions",580.680737471408
"1146","MAR09292",7925,"L-carnitine[e] <=> ",NA,"Exchange/demand reactions",335.430622511553
"1151","MAR09318",7951,"formate[e] <=> ",NA,"Exchange/demand reactions",2.45637559420663
"1157","MAR09358",7991,"hypoxanthine[e] <=> ",NA,"Exchange/demand reactions",635.328094133499
"1173","MAR09440",8071,"UTP[e] <=> ",NA,"Exchange/demand reactions",160.840113665723
"1185","MAR09865",9854,"3-hydroxy-L-kynurenine[e] <=> ",NA,"Exchange/demand reactions",999.83560350612
"1224","MAR11391",11268,"2-oxobutyrate[e] <=> ",NA,"Exchange/demand reactions",151.046758353051
"13","MAR00104",8209,"CoA[m] + hexadecenoylcarnitine(9)[m] <=> (2E)-hexadecenoyl-CoA[m] + L-carnitine[m]","ENSG00000157184","Fatty acid oxidation",488.983769427432
"39","MAR00174",1404,"AMP[c] + octanoyl-CoA[c] + PPi[c] <=> ATP[c] + CoA[c] + octanoic acid[c]","ENSG00000005187 or ENSG00000066813 or ENSG00000166743 or ENSG00000183549 or ENSG00000183747 or ENSG00000215009","Fatty acid activation (cytosolic)",0.00287606027484344
"46","MAR00226",1416,"AMP[c] + palmitoleoyl-CoA[c] + PPi[c] <=> ATP[c] + CoA[c] + palmitolate[c]","ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642","Fatty acid activation (cytosolic)",712.087612524635
"126","MAR00408",5273,"arachidonate[e] => arachidonate[c]","ENSG00000113396 or ENSG00000121769 or ENSG00000130304 or ENSG00000135218 or ENSG00000143554 or ENSG00000145384 or ENSG00000163586 or ENSG00000164434 or ENSG00000164687 or ENSG00000167114 or ENSG00000170231 or ENSG00000170323 or ENSG00000197416 or ENSG00000205186","Transport reactions",1000
"196","MAR00710",1338,"isocitrate[c] + NADP+[c] => AKG[c] + CO2[c] + NADPH[c]","ENSG00000138413 or ENSG00000182054","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",12.5071761013783
"308","MAR02187",8684,"decanoyl-CoA[m] + NADP+[m] <=> (2E)-decenoyl-CoA[m] + H+[m] + NADPH[m]","ENSG00000115425 or ENSG00000116353","Fatty acid oxidation",0.00287606027484344
"314","MAR02284",1647,"H+[c] + myristoyl-CoA[c] + NADPH[c] + O2[c] => 5-tetradecenoyl-CoA[c] + 2 H2O[c] + NADP+[c]","ENSG00000099194 or ENSG00000145284","Fatty acid desaturation (even-chain)",0.00146662613881196
