"","feat1","feat2","R","p","Padj","name_int"
"998","C15orf54","BMI.x",0.213178269223907,0.00715981977934166,0.0293506179791864,"C15orf54 (interacts with) BMI.x"
"999","SPHK1","BMI.x",0.250836205926976,0.00147831565858336,0.00782577685148271,"SPHK1 (interacts with) BMI.x"
"1000","GCNT4","BMI.x",-0.205385636597849,0.0096306040299019,0.0374188623046371,"GCNT4 (interacts with) BMI.x"
"1001","BEND2","BMI.x",0.291208312364604,0.000205506487620966,0.00141844909657765,"BEND2 (interacts with) BMI.x"
"1002","GEN1","BMI.x",0.248633205847021,0.00163229740997206,0.00851352350641136,"GEN1 (interacts with) BMI.x"
"1003","GIMAP7","BMI.x",-0.197297826912047,0.0129632421080204,0.04761174099371,"GIMAP7 (interacts with) BMI.x"
"1004","ALOX15B","BMI.x",-0.235094188090447,0.00294507700631641,0.0140257040525589,"ALOX15B (interacts with) BMI.x"
"1005","CDC42EP4","BMI.x",0.214787943568928,0.00672608890693183,0.0278809160370992,"CDC42EP4 (interacts with) BMI.x"
"1006","FCER1A","BMI.x",-0.297123550148351,0.000149975415252968,0.00107550342438286,"FCER1A (interacts with) BMI.x"
"1007","MYADM","BMI.x",0.195993979489035,0.0135859064974078,0.0494461093992162,"MYADM (interacts with) BMI.x"
"1008","LYNX1","BMI.x",0.252585826156222,0.00136559889387788,0.00731389877747693,"LYNX1 (interacts with) BMI.x"
"1009","TDRP","BMI.x",0.230152120474462,0.00362408130400471,0.0166901969698624,"TDRP (interacts with) BMI.x"
"1010","DDN","BMI.x",0.227893129849744,0.00397901598545691,0.0180420163584904,"DDN (interacts with) BMI.x"
"1011","NDN","BMI.x",-0.206453331190814,0.00925272564316693,0.0362136050183372,"NDN (interacts with) BMI.x"
"1012","CRIP2","BMI.x",-0.228915746567866,0.00381464072775595,0.0174188350636604,"CRIP2 (interacts with) BMI.x"
"1013","RGS7","BMI.x",-0.222358880125029,0.00498413266742714,0.0217614361336036,"RGS7 (interacts with) BMI.x"
"1014","PI4KAP2","BMI.x",0.21593052164907,0.00643257226602323,0.026878576776227,"PI4KAP2 (interacts with) BMI.x"
"1015","ZDHHC23","BMI.x",0.237286538308137,0.00268249980272062,0.0129624221729083,"ZDHHC23 (interacts with) BMI.x"
"1016","PROS1","BMI.x",0.240992690376348,0.00228639989640245,0.0113309981685134,"PROS1 (interacts with) BMI.x"
"1017","H2BC21","BMI.x",0.19631803958367,0.0134287536107225,0.0489838533538469,"H2BC21 (interacts with) BMI.x"
"1018","SEPTIN5","BMI.x",0.269335016681239,0.000621468808130965,0.0037179276140833,"SEPTIN5 (interacts with) BMI.x"
"1019","SLC24A3","BMI.x",0.270800671808471,0.000578679622798672,0.00349511419404841,"SLC24A3 (interacts with) BMI.x"
"1020","GP1BA","BMI.x",0.235833592813415,0.00285403078872681,0.0136583816844604,"GP1BA (interacts with) BMI.x"
"1021","TEDC1","BMI.x",0.239662979002121,0.00242196111409787,0.0118958284437653,"TEDC1 (interacts with) BMI.x"
"1022","CCIN","BMI.x",0.223203786644793,0.00481728684893179,0.0211554339375704,"CCIN (interacts with) BMI.x"
"1023","KRT5","BMI.x",-0.195756639701416,0.0137020229061209,0.0497853837273406,"KRT5 (interacts with) BMI.x"
"1024","MIR22HG","BMI.x",0.231619290174274,0.00340910148369988,0.015857147806624,"MIR22HG (interacts with) BMI.x"
"1025","C2orf88","BMI.x",0.259582785664311,0.000988982704118513,0.00554778598411038,"C2orf88 (interacts with) BMI.x"
"1026","PEAR1","BMI.x",0.271375226009429,0.000562659910821939,0.00341107892749605,"PEAR1 (interacts with) BMI.x"
"1027","H1.2","BMI.x",0.223504095128363,0.00475920084755987,0.0209426205470568,"H1.2 (interacts with) BMI.x"
"1028","HBA2","BMI.x",0.235549089350051,0.00288875737888672,0.0137987014592866,"HBA2 (interacts with) BMI.x"
"1029","ZNF177","BMI.x",-0.207782013650557,0.00880081755496498,0.0347616965029938,"ZNF177 (interacts with) BMI.x"
"1030","LCOR","BMI.x",0.225340435664624,0.00441747020977656,0.0196859694471166,"LCOR (interacts with) BMI.x"
"1031","NTNG2","BMI.x",0.2204217207071,0.00538635499270823,0.0232083425289744,"NTNG2 (interacts with) BMI.x"
"1032","GMFB","BMI.x",0.200965943757884,0.0113436412798391,0.0427486653811926,"GMFB (interacts with) BMI.x"
"1033","MAFG","BMI.x",0.232912487735022,0.00322922087867639,0.0151522549228954,"MAFG (interacts with) BMI.x"
"1034","LYPD2","BMI.x",0.222851410712409,0.00488625325569547,0.0214062521216171,"LYPD2 (interacts with) BMI.x"
"1035","VEPH1","BMI.x",0.284839656373032,0.000286304576992746,0.00189600120641531,"VEPH1 (interacts with) BMI.x"
"1036","INKA2","BMI.x",0.223295662109748,0.00479944910668406,0.0210904257679363,"INKA2 (interacts with) BMI.x"
"1037","DNM3","BMI.x",0.201250447221248,0.0112258013110123,0.0423879097057254,"DNM3 (interacts with) BMI.x"
"1038","FLVCR1.DT","BMI.x",-0.201046578429319,0.0113101328431586,0.0426463648826495,"FLVCR1.DT (interacts with) BMI.x"
"1039","SH3BGRL2","BMI.x",0.218078751008805,0.00591145616853916,0.0250652024477963,"SH3BGRL2 (interacts with) BMI.x"
"1040","SLC5A3","BMI.x",0.199704695783932,0.0118792406761732,0.0443710804323144,"SLC5A3 (interacts with) BMI.x"
"1041","PNP","BMI.x",0.238521922330874,0.00254405297598925,0.0123969851910225,"PNP (interacts with) BMI.x"
"1042","MFAP3L","BMI.x",0.206716869380971,0.00916149494964547,0.03592086714944,"MFAP3L (interacts with) BMI.x"
"1043","RORB","BMI.x",0.198973548436674,0.0121997911181397,0.0453380557867201,"RORB (interacts with) BMI.x"
"1044","LIME1","BMI.x",-0.202528430693045,0.0107096453782196,0.0407942498933079,"LIME1 (interacts with) BMI.x"
"1045","IFIT1B","BMI.x",0.322774541286506,3.53013958056536e-05,0.000298143392497252,"IFIT1B (interacts with) BMI.x"
"1046","TCEA3","BMI.x",-0.22696530036448,0.00413363672893308,0.0186267866314363,"TCEA3 (interacts with) BMI.x"
"1047","MPIG6B","BMI.x",0.257007040405082,0.00111486350149681,0.00614731117563557,"MPIG6B (interacts with) BMI.x"
"1048","LY6G6F","BMI.x",0.285521503088381,0.000276422027674972,0.00183843709039477,"LY6G6F (interacts with) BMI.x"
"1049","NAT8B","BMI.x",0.223589473288938,0.00474280191655518,0.0208819458555114,"NAT8B (interacts with) BMI.x"
"1050","MFSD2B","BMI.x",0.347669593750219,7.61002102089847e-06,7.51856883402352e-05,"MFSD2B (interacts with) BMI.x"
"1051","HBA1","BMI.x",0.264871202983319,0.000770395627595732,0.00447532269929275,"HBA1 (interacts with) BMI.x"
"1052","DUXAP8","BMI.x",-0.220835452801533,0.00529809057117925,0.0228927635933925,"DUXAP8 (interacts with) BMI.x"
"1053","PTPRCAP","BMI.x",-0.239313054956272,0.00245882571051803,0.0120469036978766,"PTPRCAP (interacts with) BMI.x"
"1054","SLX1A.SULT1A3","BMI.x",0.206357816881752,0.00928598812513659,0.0363197787808364,"SLX1A.SULT1A3 (interacts with) BMI.x"
"1055","LCNL1","BMI.x",0.242620597893995,0.00212982695128039,0.010670659254869,"LCNL1 (interacts with) BMI.x"
"1056","MEG3","BMI.x",0.228637328740081,0.00385877715410476,0.0175863889967545,"MEG3 (interacts with) BMI.x"
"1057","DDX3X","BMI.x",0.217540172259976,0.00603843684592675,0.0255095775334009,"DDX3X (interacts with) BMI.x"
"1058","MIR17HG","BMI.x",0.261387176613777,0.000908712408043133,0.00515828409001635,"MIR17HG (interacts with) BMI.x"
"1059","BTBD19","BMI.x",0.265736884644572,0.000739171938948235,0.00431872688622076,"BTBD19 (interacts with) BMI.x"
"1060","HBD","BMI.x",0.332960833015334,1.91449186885961e-05,0.000172390896246181,"HBD (interacts with) BMI.x"
"1061","DDX11L1","BMI.x",0.209930849358553,0.00811121079059229,0.0325156057598264,"DDX11L1 (interacts with) BMI.x"
"1062","LINC02470","BMI.x",0.200190856230146,0.0116702137811309,0.0437398164191502,"LINC02470 (interacts with) BMI.x"
"1063","WDR11.AS1","BMI.x",0.197574723330937,0.0128342735063156,0.0472300568629335,"WDR11.AS1 (interacts with) BMI.x"
"1064","LTB","BMI.x",-0.213001809526202,0.00720884782585718,0.0295158776008937,"LTB (interacts with) BMI.x"
"1065","PATL2","BMI.x",0.292463474702976,0.000192328586619439,0.00133822256165528,"PATL2 (interacts with) BMI.x"
"1066","USP32P2","BMI.x",0.212031946515975,0.00748368178093606,0.0304388208332921,"USP32P2 (interacts with) BMI.x"
"1067","LOC200772","BMI.x",0.230140480728338,0.00362583458800536,0.0166968943178752,"LOC200772 (interacts with) BMI.x"
"1068","LINC00299","BMI.x",0.242590169716095,0.00213266194164463,0.0106828154624204,"LINC00299 (interacts with) BMI.x"
"1069","SMG1P1","BMI.x",0.252663418009867,0.00136078693511577,0.00729184806601359,"SMG1P1 (interacts with) BMI.x"
"1070","PSMD6.AS2","BMI.x",0.224430633145416,0.00458392432424359,0.0203011525640855,"PSMD6.AS2 (interacts with) BMI.x"
"1071","LILRA4","BMI.x",-0.204124388623897,0.0100944871240412,0.0388810033750699,"LILRA4 (interacts with) BMI.x"
"1072","PLCXD2","BMI.x",0.217357603192577,0.00608203016026465,0.0256614304426621,"PLCXD2 (interacts with) BMI.x"
"1073","MIF","BMI.x",-0.239754263535821,0.00241242701401978,0.0118561590207755,"MIF (interacts with) BMI.x"
"1074","LINC00877","BMI.x",0.210972250060276,0.00779457466022349,0.0314700642724153,"LINC00877 (interacts with) BMI.x"
"1075","PPAN.P2RY11","BMI.x",-0.204178346935928,0.0100742450637765,0.0388174565998636,"PPAN.P2RY11 (interacts with) BMI.x"
"1076","HBB","BMI.x",0.322652791406393,3.55558522691091e-05,0.000300068150028622,"HBB (interacts with) BMI.x"
"1077","CDK3","BMI.x",0.212238062260913,0.00742450738937794,0.0302402270029621,"CDK3 (interacts with) BMI.x"
"1078","LINC02384","BMI.x",0.274203525145228,0.00048959780934843,0.00302335105726518,"LINC02384 (interacts with) BMI.x"
"1079","SCARNA9","BMI.x",0.224419983283151,0.00458590565381267,0.0203081758857113,"SCARNA9 (interacts with) BMI.x"
"1080","ZBED6","BMI.x",0.201752512156597,0.0110204729093359,0.0417551309180538,"ZBED6 (interacts with) BMI.x"
"1081","KRT73.AS1","BMI.x",-0.196503651468859,0.0133394596498464,0.0487197222848467,"KRT73.AS1 (interacts with) BMI.x"
"1082","ITGB3","BMI.x",0.316956636503526,4.95860361788836e-05,0.000403574792521747,"ITGB3 (interacts with) BMI.x"
"1083","LINC02345","BMI.x",0.230456348363683,0.0035785256915668,0.0165146617052103,"LINC02345 (interacts with) BMI.x"
"1084","MRC1","BMI.x",-0.370545222011989,1.64786427370167e-06,1.87527040429615e-05,"MRC1 (interacts with) BMI.x"
"1085","LOC100287036","BMI.x",0.249630488169555,0.00156086543987111,0.00819654490274132,"LOC100287036 (interacts with) BMI.x"
"1086","SNORD3C","BMI.x",0.234627530020119,0.00300388148719266,0.014260233470573,"SNORD3C (interacts with) BMI.x"
"1087","FAM156A","BMI.x",0.252718188730087,0.00135739958925507,0.00727646293688341,"FAM156A (interacts with) BMI.x"
"1088","HEATR9","BMI.x",0.216281967103814,0.00634461365934214,0.0265742345695024,"HEATR9 (interacts with) BMI.x"
"1089","LINC01954","BMI.x",-0.330254053485427,2.25731417922148e-05,0.000199849457576353,"LINC01954 (interacts with) BMI.x"
"1090","RPPH1","BMI.x",-0.201066968487622,0.0113016733768869,0.0426201760582954,"RPPH1 (interacts with) BMI.x"
"1091","RNA5.8SN1","BMI.x",0.246680678171787,0.00178084300516623,0.00916779033705144,"RNA5.8SN1 (interacts with) BMI.x"
"1092","GIMAP1.GIMAP5","BMI.x",-0.209800765211129,0.00815155317908367,0.0326492444361246,"GIMAP1.GIMAP5 (interacts with) BMI.x"
"1093","WASH5P","BMI.x",0.217054842822473,0.00615494146213602,0.0259152546073922,"WASH5P (interacts with) BMI.x"
"1094","CD4_nadir","Duration.of.therapy",-0.481023083262876,1.5819257015437e-10,3.52470773001128e-09,"CD4_nadir (interacts with) Duration.of.therapy"
"1095","CD4_ART","Duration.of.therapy",-0.432921761739503,3.89830354663445e-08,5.99884780471007e-07,"CD4_ART (interacts with) Duration.of.therapy"
"1096","diabetes","Duration.of.therapy",0.232100293084388,0.00334116606513923,0.0155918336740049,"diabetes (interacts with) Duration.of.therapy"
"1097","VAT","Duration.of.therapy",0.259599598495324,0.00119330261371164,0.00651581958531675,"VAT (interacts with) Duration.of.therapy"
"1098","BAIAP3","Duration.of.therapy",0.20024561966016,0.0116468717108691,0.0436692618099625,"BAIAP3 (interacts with) Duration.of.therapy"
"1099","AASS","Duration.of.therapy",0.206635042833107,0.00918973587924921,0.0360119710832953,"AASS (interacts with) Duration.of.therapy"
"1100","DEPDC1B","Duration.of.therapy",-0.232462517944171,0.00329081506325268,0.0153949257240646,"DEPDC1B (interacts with) Duration.of.therapy"
"1101","MYO16","Duration.of.therapy",0.204225936380269,0.0100564219544421,0.0387610131219079,"MYO16 (interacts with) Duration.of.therapy"
"1102","ADAM28","Duration.of.therapy",0.198070594166888,0.0126061221364084,0.0465506229086404,"ADAM28 (interacts with) Duration.of.therapy"
"1103","ADAMTS6","Duration.of.therapy",0.211164948765835,0.0077372025603113,0.0312824800080972,"ADAMTS6 (interacts with) Duration.of.therapy"
"1104","ATP9A","Duration.of.therapy",-0.21596768550676,0.00642321992263639,0.0268465003535545,"ATP9A (interacts with) Duration.of.therapy"
"1105","MCOLN3","Duration.of.therapy",0.20613663124495,0.00936342112641864,0.0365662723891979,"MCOLN3 (interacts with) Duration.of.therapy"
"1106","CHI3L2","Duration.of.therapy",-0.206433849164493,0.00925950162111455,0.0362355010995966,"CHI3L2 (interacts with) Duration.of.therapy"
"1107","ASPM","Duration.of.therapy",-0.210040093254949,0.00807746832777645,0.0324048034481246,"ASPM (interacts with) Duration.of.therapy"
"1108","HMMR","Duration.of.therapy",-0.210194036895328,0.00803013058707958,0.032248639107569,"HMMR (interacts with) Duration.of.therapy"
"1109","NTN4","Duration.of.therapy",-0.271367581515131,0.00056287034256286,0.0034121963896262,"NTN4 (interacts with) Duration.of.therapy"
"1110","CELSR1","Duration.of.therapy",0.22968086305614,0.00369567997295528,0.0169646442600559,"CELSR1 (interacts with) Duration.of.therapy"
"1111","TRAF4","Duration.of.therapy",0.235014019468864,0.00295510460653858,0.0140657140829465,"TRAF4 (interacts with) Duration.of.therapy"
"1112","DOCK3","Duration.of.therapy",0.207569374036594,0.00887180078876559,0.034990905014342,"DOCK3 (interacts with) Duration.of.therapy"
"1113","BIRC5","Duration.of.therapy",-0.322108015061743,3.67157023100084e-05,0.000308778580733634,"BIRC5 (interacts with) Duration.of.therapy"
"1114","CD209","Duration.of.therapy",-0.213823143902672,0.00698315750306966,0.0287532609721389,"CD209 (interacts with) Duration.of.therapy"
"1115","KIF4A","Duration.of.therapy",-0.226560836998167,0.00420271345604162,0.0188852165942956,"KIF4A (interacts with) Duration.of.therapy"
"1116","TGFB2","Duration.of.therapy",0.23454039690408,0.00301497809702012,0.0143048000476706,"TGFB2 (interacts with) Duration.of.therapy"
"1117","CDC6","Duration.of.therapy",-0.272151017467158,0.000541677931635398,0.00330067210731827,"CDC6 (interacts with) Duration.of.therapy"
"1118","BAMBI","Duration.of.therapy",0.201896322259469,0.0109622713497002,0.0415751772270709,"BAMBI (interacts with) Duration.of.therapy"
"1119","GADD45B","Duration.of.therapy",0.218121372277603,0.00590150986101645,0.0250301891446961,"GADD45B (interacts with) Duration.of.therapy"
"1120","NEFH","Duration.of.therapy",-0.311664234627337,6.71401006644423e-05,0.000528364367526947,"NEFH (interacts with) Duration.of.therapy"
"1121","CACNA1I","Duration.of.therapy",0.196965553183972,0.0131195010187874,0.0480714746392467,"CACNA1I (interacts with) Duration.of.therapy"
"1122","FOXRED2","Duration.of.therapy",-0.202010636843908,0.0109162000969876,0.0414326075063694,"FOXRED2 (interacts with) Duration.of.therapy"
"1123","CDKN3","Duration.of.therapy",-0.209642278501099,0.00820094419313921,0.0328104174303137,"CDKN3 (interacts with) Duration.of.therapy"
"1124","C20orf27","Duration.of.therapy",-0.211204577821774,0.007725450385764,0.0312432273012294,"C20orf27 (interacts with) Duration.of.therapy"
"1125","ISM1","Duration.of.therapy",0.249469479719872,0.00157220149360393,0.00824663559612862,"ISM1 (interacts with) Duration.of.therapy"
"1126","RUBCNL","Duration.of.therapy",0.197912077943132,0.012678666092673,0.0467654333395146,"RUBCNL (interacts with) Duration.of.therapy"
"1127","NIPAL2","Duration.of.therapy",0.210864682457374,0.00782676461046261,0.0315762213823632,"NIPAL2 (interacts with) Duration.of.therapy"
"1128","KIR3DX1","Duration.of.therapy",-0.216741976292031,0.00623110452833631,0.0261808507205505,"KIR3DX1 (interacts with) Duration.of.therapy"
"1129","CLC","Duration.of.therapy",-0.253341704433849,0.00131937696871676,0.00710213064616044,"CLC (interacts with) Duration.of.therapy"
"1130","ZNF14","Duration.of.therapy",0.205241929097402,0.00968249156405854,0.0375839474838014,"ZNF14 (interacts with) Duration.of.therapy"
"1131","CAV1","Duration.of.therapy",-0.200591613352442,0.0115003432748488,0.0432223421740688,"CAV1 (interacts with) Duration.of.therapy"
"1132","CPVL","Duration.of.therapy",-0.218871275951527,0.0057289352552532,0.024422670375742,"CPVL (interacts with) Duration.of.therapy"
"1133","RASD1","Duration.of.therapy",0.227886886177667,0.00398003885817966,0.0180458007045556,"RASD1 (interacts with) Duration.of.therapy"
"1134","CCL8","Duration.of.therapy",-0.195980210473649,0.0135926192675491,0.0494660328802623,"CCL8 (interacts with) Duration.of.therapy"
"1135","PTGES3L.AARSD1","Duration.of.therapy",0.216476458910705,0.00629639905458745,0.0264068099815385,"PTGES3L.AARSD1 (interacts with) Duration.of.therapy"
"1136","NCAPG","Duration.of.therapy",-0.202649274322311,0.0106619375046504,0.0406470521679946,"NCAPG (interacts with) Duration.of.therapy"
"1137","P3H3","Duration.of.therapy",0.206215889356828,0.0093356089895551,0.03647804533721,"P3H3 (interacts with) Duration.of.therapy"
"1138","IL23A","Duration.of.therapy",0.232694195501969,0.00325897072086256,0.0152697047581599,"IL23A (interacts with) Duration.of.therapy"
"1139","FOXM1","Duration.of.therapy",-0.232371066276619,0.00330346227448342,0.0154445415583161,"FOXM1 (interacts with) Duration.of.therapy"
"1140","VNN1","Duration.of.therapy",-0.210268722423828,0.00800725349801779,0.0321732559699917,"VNN1 (interacts with) Duration.of.therapy"
"1141","RASGRF2","Duration.of.therapy",0.212079465441352,0.007470002402298,0.0303927906072775,"RASGRF2 (interacts with) Duration.of.therapy"
"1142","PASK","Duration.of.therapy",0.23568466503091,0.00287216160405723,0.0137321228003223,"PASK (interacts with) Duration.of.therapy"
"1143","CTH","Duration.of.therapy",0.237974005108621,0.00260463789379495,0.0126458267799093,"CTH (interacts with) Duration.of.therapy"
"1144","ID3","Duration.of.therapy",0.200789757082093,0.0114171610518521,0.0429716064296794,"ID3 (interacts with) Duration.of.therapy"
"1145","NEK2","Duration.of.therapy",-0.231445880239888,0.0034338971667478,0.015953587517402,"NEK2 (interacts with) Duration.of.therapy"
"1146","KIF14","Duration.of.therapy",-0.224439841165184,0.00458221185795038,0.0202949906398376,"KIF14 (interacts with) Duration.of.therapy"
"1147","ELOVL4","Duration.of.therapy",-0.199824941989422,0.0118272365546512,0.0442135913670913,"ELOVL4 (interacts with) Duration.of.therapy"
"1148","CNR1","Duration.of.therapy",0.219285856844428,0.00563547542612763,0.0240933045795452,"CNR1 (interacts with) Duration.of.therapy"
"1149","NCAPH","Duration.of.therapy",-0.223622190080838,0.00473653130455109,0.0208587924458769,"NCAPH (interacts with) Duration.of.therapy"
"1150","ZSCAN18","Duration.of.therapy",0.198363239503054,0.0124731504649154,0.046156093235261,"ZSCAN18 (interacts with) Duration.of.therapy"
"1151","ZWINT","Duration.of.therapy",-0.231901614383187,0.00336907745010184,0.0157011267831032,"ZWINT (interacts with) Duration.of.therapy"
"1152","HJURP","Duration.of.therapy",-0.21333387748127,0.0071168313395682,0.0292063905498276,"HJURP (interacts with) Duration.of.therapy"
"1153","TNFAIP6","Duration.of.therapy",0.232755163280337,0.00325063697060823,0.0152368890462228,"TNFAIP6 (interacts with) Duration.of.therapy"
"1154","ACVR1C","Duration.of.therapy",0.216357879288314,0.00632575598116958,0.0265083582655593,"ACVR1C (interacts with) Duration.of.therapy"
"1155","MOCS1","Duration.of.therapy",0.207351414228929,0.00894508518503656,0.0352272775976904,"MOCS1 (interacts with) Duration.of.therapy"
"1156","FFAR1","Duration.of.therapy",0.297145809959514,0.000149795804966768,0.00107437884230111,"FFAR1 (interacts with) Duration.of.therapy"
"1157","NR1D1","Duration.of.therapy",0.203426613496501,0.0103595015972702,0.0397096586480192,"NR1D1 (interacts with) Duration.of.therapy"
"1158","DLGAP5","Duration.of.therapy",-0.217086444239809,0.00614729488561849,0.0258894463491124,"DLGAP5 (interacts with) Duration.of.therapy"
"1159","PKMYT1","Duration.of.therapy",-0.307067497699984,8.69569657129254e-05,0.000664505251135238,"PKMYT1 (interacts with) Duration.of.therapy"
"1160","TPH1","Duration.of.therapy",0.253391232063382,0.00131639884814505,0.00708849811806098,"TPH1 (interacts with) Duration.of.therapy"
"1161","ZNF331","Duration.of.therapy",0.336241870281861,1.56470102909978e-05,0.000143877803073841,"ZNF331 (interacts with) Duration.of.therapy"
"1162","GINS2","Duration.of.therapy",-0.214682789577658,0.00675369191059949,0.0279752730839592,"GINS2 (interacts with) Duration.of.therapy"
"1163","TOP2A","Duration.of.therapy",-0.295437660414743,0.000164177160604684,0.00116452662996004,"TOP2A (interacts with) Duration.of.therapy"
"1164","OSER1","Duration.of.therapy",0.236815617319633,0.00273704519614126,0.0131843119192741,"OSER1 (interacts with) Duration.of.therapy"
"1165","PATJ","Duration.of.therapy",0.291433601570437,0.000203080991591609,0.00140371087235764,"PATJ (interacts with) Duration.of.therapy"
"1166","MYO18B","Duration.of.therapy",0.263659538018201,0.00081613725606533,0.00470311788695456,"MYO18B (interacts with) Duration.of.therapy"
"1167","GIMAP4","Duration.of.therapy",-0.22420595655871,0.00462588694392507,0.0204541857992489,"GIMAP4 (interacts with) Duration.of.therapy"
"1168","HRH4","Duration.of.therapy",-0.21343817208633,0.00708814743890329,0.0291106154386376,"HRH4 (interacts with) Duration.of.therapy"
"1169","DSC2","Duration.of.therapy",-0.204838017565716,0.00982965322414531,0.0380480971634029,"DSC2 (interacts with) Duration.of.therapy"
"1170","CYP27A1","Duration.of.therapy",-0.202524290376657,0.0107112832594913,0.0407996239808737,"CYP27A1 (interacts with) Duration.of.therapy"
"1171","BLK","Duration.of.therapy",0.226714780638546,0.004176300718014,0.0187869931551745,"BLK (interacts with) Duration.of.therapy"
"1172","ARHGAP20","Duration.of.therapy",0.315677553460515,5.33823257002908e-05,0.000431010831249007,"ARHGAP20 (interacts with) Duration.of.therapy"
"1173","KIF23","Duration.of.therapy",-0.311463040958723,6.7910501238444e-05,0.000533682292372079,"KIF23 (interacts with) Duration.of.therapy"
"1174","CH25H","Duration.of.therapy",0.197165258322489,0.013025388788499,0.0477942720050308,"CH25H (interacts with) Duration.of.therapy"
"1175","KIF11","Duration.of.therapy",-0.299095727116812,0.000134817935009357,0.000979108826212872,"KIF11 (interacts with) Duration.of.therapy"
"1176","CALHM2","Duration.of.therapy",-0.208349761599702,0.00861374839397566,0.034154940815929,"CALHM2 (interacts with) Duration.of.therapy"
"1177","CEP55","Duration.of.therapy",-0.203704016888074,0.0102534184929279,0.0393784030873932,"CEP55 (interacts with) Duration.of.therapy"
"1178","VAMP1","Duration.of.therapy",0.255627225335021,0.0011881773148783,0.00649165509731251,"VAMP1 (interacts with) Duration.of.therapy"
"1179","CBLN3","Duration.of.therapy",0.287216155501844,0.000253214747347741,0.00170246805745982,"CBLN3 (interacts with) Duration.of.therapy"
"1180","STON2","Duration.of.therapy",-0.21871428392223,0.00576468605834668,0.0245497600588656,"STON2 (interacts with) Duration.of.therapy"
"1181","HDC","Duration.of.therapy",-0.336715894758671,1.5194615470282e-05,0.000140149056070489,"HDC (interacts with) Duration.of.therapy"
"1182","NEIL1","Duration.of.therapy",0.233957752708642,0.0030901358624138,0.0146030831858127,"NEIL1 (interacts with) Duration.of.therapy"
"1183","OSBPL1A","Duration.of.therapy",-0.19723381140879,0.0129932193568409,0.0477006096161296,"OSBPL1A (interacts with) Duration.of.therapy"
"1184","KIF2C","Duration.of.therapy",-0.220669825413377,0.00533326855946203,0.0230183403226,"KIF2C (interacts with) Duration.of.therapy"
"1185","DTL","Duration.of.therapy",-0.205715953574212,0.00951226826446749,0.0370436092494513,"DTL (interacts with) Duration.of.therapy"
"1186","GDF7","Duration.of.therapy",0.20554981637816,0.00957162528326205,0.0372321398343447,"GDF7 (interacts with) Duration.of.therapy"
"1187","CDCA7","Duration.of.therapy",-0.244502129977355,0.00196103211851106,0.00995025158821942,"CDCA7 (interacts with) Duration.of.therapy"
"1188","TRPC1","Duration.of.therapy",0.242168588260327,0.0021722948531846,0.010851409920285,"TRPC1 (interacts with) Duration.of.therapy"
"1189","SNCA","Duration.of.therapy",-0.269102628548767,0.000628515074720504,0.00375417508175495,"SNCA (interacts with) Duration.of.therapy"
"1190","CCNA2","Duration.of.therapy",-0.219677574820441,0.00554842363504982,0.0237854677283482,"CCNA2 (interacts with) Duration.of.therapy"
"1191","N4BP3","Duration.of.therapy",0.271759299491144,0.000552180357845433,0.00335604504349555,"N4BP3 (interacts with) Duration.of.therapy"
"1192","CDCA5","Duration.of.therapy",-0.21189503791179,0.00752321843203729,0.0305710299202935,"CDCA5 (interacts with) Duration.of.therapy"
"1193","SYBU","Duration.of.therapy",0.282698443124789,0.000319510550744528,0.00208635715305416,"SYBU (interacts with) Duration.of.therapy"
"1194","MKI67","Duration.of.therapy",-0.285550210957944,0.00027601297044777,0.00183602306565321,"MKI67 (interacts with) Duration.of.therapy"
"1195","PRSS23","Duration.of.therapy",-0.218017727054377,0.0059257230636931,0.0251152522515057,"PRSS23 (interacts with) Duration.of.therapy"
"1196","ANK3","Duration.of.therapy",0.255066321774037,0.00121922098975569,0.00663697011150457,"ANK3 (interacts with) Duration.of.therapy"
"1197","AKAP6","Duration.of.therapy",0.216405129316549,0.00631404363469135,0.0264685731249676,"AKAP6 (interacts with) Duration.of.therapy"
"1198","PLEKHH2","Duration.of.therapy",0.231427589906378,0.0034365219354151,0.0159636304998917,"PLEKHH2 (interacts with) Duration.of.therapy"
"1199","UBE2L6","Duration.of.therapy",-0.233829720374069,0.00310687634293094,0.0146692119994963,"UBE2L6 (interacts with) Duration.of.therapy"
"1200","ZFYVE9","Duration.of.therapy",0.252054513522668,0.00139896876100409,0.0074668932421906,"ZFYVE9 (interacts with) Duration.of.therapy"
"1201","CCNB2","Duration.of.therapy",-0.227339700366816,0.00407060552327154,0.0183888645124413,"CCNB2 (interacts with) Duration.of.therapy"
"1202","AGAP1","Duration.of.therapy",-0.200155692187068,0.0116852235732758,0.0437847939774867,"AGAP1 (interacts with) Duration.of.therapy"
"1203","RNF207","Duration.of.therapy",0.196689673986857,0.0132504900470427,0.0484570630903311,"RNF207 (interacts with) Duration.of.therapy"
"1204","SLAMF8","Duration.of.therapy",-0.225390255653505,0.00440851400992415,0.0196523006099238,"SLAMF8 (interacts with) Duration.of.therapy"
"1205","PTMS","Duration.of.therapy",-0.243654677858042,0.00203549275325621,0.0102689212479404,"PTMS (interacts with) Duration.of.therapy"
"1206","TNFRSF13C","Duration.of.therapy",0.212295901054558,0.00740797712588304,0.0301849983852242,"TNFRSF13C (interacts with) Duration.of.therapy"
