"","ID","NAME","EQUATION","GENE.ASSOCIATION","SUBSYSTEM","Flux_C1","Flux_C2","Flux_CT"
"231","MAR01491","Transport into the Mitochondria (Carnitine)","Alpha-Linolenyl Carnitine[c] <=> Alpha-Linolenyl Carnitine[m]","ENSG00000178537","Fatty acid oxidation",-1000,224.719892166395,-1000
"232","MAR01492","Transport into the Mitochondria (Carnitine)","gamma-linolenoylcarnitine[c] <=> gamma-linolenoylcarnitine[m]","ENSG00000178537","Fatty acid oxidation",1000,1000,1000
"233","MAR01493","","4alpha-hydroxymethyl-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[c] + H+[c] + NADPH[c] + O2[c] => 4alpha-formyl-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[c] + 2 H2O[c] + NADP+[c]","ENSG00000052802 or ENSG00000170271","Cholesterol biosynthesis 1 (Bloch pathway)",2.45637559420663,2.71117576221718,2.45637559420663
"234","MAR01494","","4alpha-formyl-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[c] + H+[c] + NADPH[c] + O2[c] => 4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[c] + H2O[c] + NADP+[c]","ENSG00000052802 or ENSG00000170271","Cholesterol biosynthesis 1 (Bloch pathway)",2.45637559420663,2.71117576221718,2.45637559420663
"235","MAR01496","","4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[c] + NAD+[c] => 3-keto-4-methylzymosterol[c] + CO2[c] + H+[c] + NADH[c]","ENSG00000147383","Cholesterol biosynthesis 1 (Bloch pathway)",NA,2.71117576221718,2.45637559420663
"236","MAR01500","4alpha-methylzymosterol:NADP+ 3-oxidoreductase","3-keto-4-methylzymosterol[c] + 3 H+[c] + NADP+[c] <=> 4alpha-methylzymosterol[c] + NADPH[c]","ENSG00000132196","Cholesterol biosynthesis 1 (Bloch pathway)",2.45637559420663,2.71117576221718,2.45637559420663
"237","MAR01502","","4alpha-methylzymosterol[c] + H+[c] + NADPH[c] + O2[c] => 4alpha-hydroxymethyl-5alpha-cholesta-8,24-dien-3beta-ol[c] + H2O[c] + NADP+[c]","ENSG00000052802 or ENSG00000170271","Cholesterol biosynthesis 1 (Bloch pathway)",2.45637559420663,2.71117576221718,2.45637559420663
"238","MAR01503","","4alpha-hydroxymethyl-5alpha-cholesta-8,24-dien-3beta-ol[c] + H+[c] + NADPH[c] + O2[c] => 4alpha-formyl-5alpha-cholesta-8,24-dien-3beta-ol[c] + 2 H2O[c] + NADP+[c]","ENSG00000052802 or ENSG00000170271","Cholesterol biosynthesis 1 (Bloch pathway)",2.45637559420663,2.71117576221718,2.45637559420663
"239","MAR01504","","4alpha-formyl-5alpha-cholesta-8,24-dien-3beta-ol[c] + H+[c] + NADPH[c] + O2[c] => 4alpha-carboxy-5alpha-cholesta-8,24-dien-3beta-ol[c] + H2O[c] + NADP+[c]","ENSG00000052802 or ENSG00000170271","Cholesterol biosynthesis 1 (Bloch pathway)",2.45637559420663,2.71117576221718,2.45637559420663
"240","MAR01505","","4alpha-carboxy-5alpha-cholesta-8,24-dien-3beta-ol[c] + NADP+[c] => 5alpha-cholesta-8,24-dien-3-one[c] + CO2[c] + H+[c] + NADPH[c]","ENSG00000147383","Cholesterol biosynthesis 1 (Bloch pathway)",2.45637559420663,2.71117576221718,2.45637559420663
"241","MAR01506","Lecithin Retinol Acyltransferase (11-Cis)","11-cis-retinol[c] + PC-LD pool[c] => 2-lysolecithin pool[c] + retinyl-ester[c]","","Other",0.00990746828125545,0.0239265671487265,0.00990746828125545
"242","MAR01509","","5alpha-cholesta-8,24-dien-3-one[c] + H+[c] + NADPH[c] => NADP+[c] + zymosterol[c]","ENSG00000132196","Cholesterol biosynthesis 1 (Bloch pathway)",2.45637559420663,2.71117576221718,2.45637559420663
"243","MAR01512","delta8,24-Cholestadien-3beta-ol delta7-delta8-isomerase","zymosterol[c] => 5alpha-cholesta-7,24-dien-3beta-ol[c]","ENSG00000147155","Cholesterol biosynthesis 1 (Bloch pathway)",2.45637559420663,2.71117576221718,2.45637559420663
"244","MAR01527","Sodium Transport (Uniport)","Na+[e] <=> Na+[c]","ENSG00000100170 or ENSG00000105641 or ENSG00000198743","Transport reactions",-1000,-1000,-1000
"245","MAR01533","lanosterol D24-reductase","5alpha-cholesta-7,24-dien-3beta-ol[c] + H+[c] + NADPH[c] => lathosterol[c] + NADP+[c]","ENSG00000116133","Other",2.45637559420663,NA,2.45637559420663
"246","MAR01542","Nicotinamide-Nucleotide Adenylyltransferase","ATP[c] + H+[c] + nicotinamide D-ribonucleotide[c] => NAD+[c] + PPi[c]","ENSG00000157064 or ENSG00000163864","Other",246.799004800021,NA,246.799004800021
"247","MAR01557","lathosterol,ferrocytochrome b5:oxygen oxidoreductase 5,6-dehydrogenating","H+[c] + lathosterol[c] + NADH[c] + O2[c] => 2 H2O[c] + NAD+[c] + provitamin D3[c]","ENSG00000109929","Other",2.45637559420663,NA,2.45637559420663
"248","MAR01565","cholesterol:NADP+ delta7-oxidoreductase","H+[c] + NADPH[c] + provitamin D3[c] => cholesterol[c] + NADP+[c]","ENSG00000172893","Other",2.44917777142151,NA,2.44917777142151
"249","MAR01568","Acetaldehyde:NAD+ oxidoreductase","acetaldehyde[c] + H2O[c] + NAD+[c] => acetate[c] + 2 H+[c] + NADH[c]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Other",NA,NA,759.920447478023
"250","MAR01588","Transport into the Mitochondria from Cytosol (Carnitine)","O-propanoylcarnitine[c] <=> O-propanoylcarnitine[m]","ENSG00000178537","Fatty acid oxidation",999.978343759934,999.976027108423,999.978343759934
"251","MAR01594","Phosphatidylethanolamine Flippase","ATP[c] + H2O[c] + PE-LD pool[e] => ADP[c] + H+[c] + PE-LD pool[c] + Pi[c]","ENSG00000005471 or ENSG00000124406 or ENSG00000206190","Transport reactions",14.5578964921775,4.47636809755546,14.9243089146736
"252","MAR01610","","5beta-cholestane-3alpha,7alpha,12alpha,26-tetrol[m] + NADP+[m] => 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al[m] + H+[m] + NADPH[m]","ENSG00000135929","Other",NA,507.4541156539,507.458549747275
"253","MAR01612","Phosphatidylglycerol Phosphate Phosphatase (Homo Sapiens)","H2O[c] + PGP-CL pool[c] => Pi[c] + PG-CL pool[c]","ENSG00000110536","Glycerophospholipid metabolism",0.58047441669124,0.64257000348612,0.58047441669124
"254","MAR01614","","3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al[m] + NADPH[m] + O2[m] => 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate[m] + H2O[m] + NADP+[m]","ENSG00000135929","Other",NA,NA,507.458549747275
"255","MAR01615","Phosphatidyl-CMP: Glycerophosphate Phosphatidyltransferase","sn-glycerol-3-phosphate[c] + CDP-diacylglycerol-CL pool[c] => CMP[c] + H+[c] + PGP-CL pool[c]","ENSG00000087157","Glycerophospholipid metabolism",0.58047441669124,0.64257000348612,0.58047441669124
"256","MAR01621","Phosphate Transport, Endoplasmic Reticulum","Pi[r] <=> Pi[c]","ENSG00000137700","Transport reactions",-999.998200544304,-999.93222736159,-999.973897430452
"257","MAR01671","Pentadecanoate Transport into the Mitochondria","pentadecanoylcarnitine[c] <=> pentadecanoylcarnitine[m]","ENSG00000178537","Fatty acid oxidation",-1000,-1000,-1000
"258","MAR01685","","5beta-cholestane-3alpha,7alpha,26-triol[m] + NADP+[m] => 3alpha,7alpha-dihydroxy-5beta-cholestan-26-al[m] + H+[m] + NADPH[m]","ENSG00000135929","Other",1000,1000,1000
"259","MAR01721","Transport into the Mitochondria (Carnitine)","(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine[c] <=> (6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine[m]","ENSG00000178537","Fatty acid oxidation",1000,1000,1000
"260","MAR01724","4-Hydroxycinnamate Formation","4-hydroxyphenyllactate[m] => H2O[m] + 4-coumarate[m]","","Other",0.00360937334427997,0.0039954819294824,0.00360937334427997
"261","MAR01780","Tetrahydrofolate Transport via Anion Antiport","H2O[c] + THF[e] <=> H2O[e] + THF[c]","ENSG00000173638","Transport reactions",-1000,-1000,1000
"262","MAR01782","Thiamine Monophosphate Transport in via Anion Antiport","H2O[c] + thiamin-P[e] <=> H2O[e] + thiamin-P[c]","ENSG00000173638","Transport reactions",-1000,691.130888350126,1000
"263","MAR01799","Transport into the Mitochondria (Carnitine)","(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine[c] <=> (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine[m]","ENSG00000178537","Fatty acid oxidation",1000,1000,1000
"264","MAR01814","Transport into the Mitochondria (Carnitine)","tetradecenoylcarnitine(5)[c] <=> tetradecenoylcarnitine(5)[m]","ENSG00000178537","Fatty acid oxidation",1000,1000,1000
"265","MAR01923","Exchange of dTMP","dTMP[e] <=> ","","Exchange/demand reactions",-1000,-1000,-1000
"266","MAR01938","Exchange of dTTP","dTTP[e] <=> ","","Exchange/demand reactions",984.911112666872,1000,1000
"267","MAR01939","Exchange of Flavin Adenine Dinucleotide Oxidized","FAD[e] <=> ","","Exchange/demand reactions",-0.00360937334426126,-0.00399548192945076,-0.00360937334426126
"268","MAR01961","Exchange of Gamma-Glutamyl-Beta-Cyanoalanine","gamma-glutamyl-beta-cyanoalanine[e] <=> ","","Exchange/demand reactions",NA,NA,-1000
"269","MAR01964","Exchange of Uroporphyrinogeni","uroporphyrinogen I[e] <=> ","","Exchange/demand reactions",750,750,1000
"270","MAR01965","Exchange of Coproporphyrinogeni","coproporphyrinogen I[e] <=> ","","Exchange/demand reactions",-750,-750,-1000
"271","MAR01984","Exchange of 5-O-Phosphonato-Alpha-D-Ribofuranosyl Diphosphate","PRPP[e] <=> ","","Exchange/demand reactions",-1000,-1000,-1000
"272","MAR02028","Trans-Hexadec-2-Enoyl Coenzyme A Reductase","NADP+[m] + palmitoyl-CoA[m] <=> (2E)-hexadecenoyl-CoA[m] + H+[m] + NADPH[m]","ENSG00000115425 or ENSG00000116353","Fatty acid oxidation",-860.946469228246,-834.421219695489,-874.904227831822
"273","MAR02114","","provitamin D3[c] => vitamin D3[c]","","Vitamin D metabolism",0.00719782278511483,0.00796780164488084,0.00719782278511483
"274","MAR02115","calciol,NADPH-hemoprotein reductase:oxygen oxidoreductase (25-hydroxylating)","H+[c] + NADPH[c] + O2[c] + vitamin D3[c] => calcidiol[c] + H2O[c] + NADP+[c]","ENSG00000186104","Vitamin D metabolism",0.00179945569627871,0.00199195041122021,0.00179945569627871
"275","MAR02116","","vitamin D3[c] + H+[i] => H+[m] + vitamin D3[m]","ENSG00000175592","Transport reactions",0.00539836708883613,0.00597585123366063,0.00539836708883613
"276","MAR02117","calciol,NADPH-hemoprotein reductase:oxygen oxidoreductase (25-hydroxylating)","H+[m] + NADPH[m] + O2[m] + vitamin D3[m] => calcidiol[m] + H2O[m] + NADP+[m]","ENSG00000130649 or ENSG00000135929","Vitamin D metabolism",0.00539836708883613,0.00597585123366063,0.00539836708883613
"277","MAR02124","DTDP Diphosphohydrolase","H2O[e] + dTDP[e] <=> H+[e] + Pi[e] + dTMP[e]","ENSG00000138185 or ENSG00000168032 or ENSG00000188833","Pyrimidine metabolism",-1000,-1000,-1000
"278","MAR02125","DTTP Nucleotidohydrolase","H2O[e] + dTTP[e] <=> H+[e] + Pi[e] + dTDP[e]","ENSG00000138185 or ENSG00000168032 or ENSG00000188833","Pyrimidine metabolism",-984.911112666872,-1000,-1000
"279","MAR02129","","calcidiol[c] + H+[c] + NADPH[c] + O2[c] => 23s,25-dihydroxyvitamin D3[c] + H2O[c] + NADP+[c]","ENSG00000119723 or ENSG00000130649 or ENSG00000145476","Vitamin D metabolism",0.00179945569627871,0.00199195041122021,0.00179945569627871
"280","MAR02130","","23s,25-dihydroxyvitamin D3[m] + H2O[m] + NADP+[m] <=> calcidiol[m] + H+[m] + NADPH[m] + O2[m]","ENSG00000119723 or ENSG00000130649 or ENSG00000145476","Vitamin D metabolism",-0.00179945569630036,-0.00199195041125222,-0.00179945569630036
"281","MAR02131","","23s,25-dihydroxyvitamin D3[c] + H+[c] + NADH[c] + O2[c] => 23S,25,26-trihydroxyvitamin D3[c] + H2O[c] + NAD+[c]","ENSG00000119723 or ENSG00000130649 or ENSG00000145476","Vitamin D metabolism",0.00179945569627871,0.00199195041122021,0.00179945569627871
"282","MAR02132","","23s,25-dihydroxyvitamin D3[m] + H+[m] + NADH[m] + O2[m] => 23S,25,26-trihydroxyvitamin D3[m] + H2O[m] + NAD+[m]","ENSG00000119723 or ENSG00000130649 or ENSG00000145476","Vitamin D metabolism",0.00179945569627871,0.00199195041122021,0.00179945569627871
"283","MAR02133","","23S,25,26-trihydroxyvitamin D3[c] + O2[c] => 25-hydroxyvitamin D3-26,23-lactol[c] + H2O2[c]","ENSG00000119723 or ENSG00000130649 or ENSG00000145476","Vitamin D metabolism",0.00179945569627871,0.00199195041122021,0.00179945569627871
"284","MAR02134","","23S,25,26-trihydroxyvitamin D3[m] + O2[m] => 25-hydroxyvitamin D3-26,23-lactol[m] + H2O2[m]","ENSG00000119723 or ENSG00000130649 or ENSG00000145476","Vitamin D metabolism",0.00179945569627871,0.00199195041122021,0.00179945569627871
"285","MAR02135","","25-hydroxyvitamin D3-26,23-lactol[c] + O2[c] => 25-hydroxyvitamin D3-26,23-lactone[c] + H2O2[c]","ENSG00000119723 or ENSG00000130649 or ENSG00000145476","Vitamin D metabolism",0.00179945569627871,0.00199195041122021,0.00179945569627871
"286","MAR02136","","25-hydroxyvitamin D3-26,23-lactol[m] + O2[m] => 25-hydroxyvitamin D3-26,23-lactone[m] + H2O2[m]","ENSG00000119723 or ENSG00000130649 or ENSG00000145476","Vitamin D metabolism",0.00179945569627871,0.00199195041122021,0.00179945569627871
"287","MAR02138","","calcidiol[m] + H+[m] + NADPH[m] + O2[m] => (24R)-24,25-dihydroxycalciol[m] + H2O[m] + NADP+[m]","ENSG00000019186","Vitamin D metabolism",0.00359891139255742,0.00398390082244042,0.00359891139255742
"288","MAR02139","","(24R)-24,25-dihydroxycalciol[c] + H+[c] + NADH[c] + O2[c] => calcitetrol[c] + H2O[c] + NAD+[c]","ENSG00000019186","Vitamin D metabolism",0.00179945569627871,0.00199195041122021,0.00179945569627871
"289","MAR02142","","calcitetrol[c] + H+[c] + NADPH[c] + O2[c] => 24-oxo-1alpha,25-dihydroxyvitamin D3[c] + 2 H2O[c] + NADP+[c]","ENSG00000119723 or ENSG00000130649 or ENSG00000145476","Vitamin D metabolism",0.00179945569627871,0.00199195041122021,0.00179945569627871
"290","MAR02143","","calcitetrol[m] + H+[m] + NADPH[m] + O2[m] => 24-oxo-1alpha,25-dihydroxyvitamin D3[m] + 2 H2O[m] + NADP+[m]","ENSG00000119723 or ENSG00000130649 or ENSG00000145476","Vitamin D metabolism",0.00179945569627871,0.00199195041122021,0.00179945569627871
"291","MAR02144","","24-oxo-1alpha,25-dihydroxyvitamin D3[c] + H+[c] + NADPH[c] + O2[c] => 24-oxo-1alpha,23,25-trihydroxyvitamin D3[c] + H2O[c] + NADP+[c]","ENSG00000119723 or ENSG00000130649 or ENSG00000145476","Vitamin D metabolism",0.00179945569627871,0.00199195041122021,0.00179945569627871
"292","MAR02145","","24-oxo-1alpha,25-dihydroxyvitamin D3[m] + H+[m] + NADPH[m] + O2[m] => 24-oxo-1alpha,23,25-trihydroxyvitamin D3[m] + H2O[m] + NADP+[m]","ENSG00000119723 or ENSG00000130649 or ENSG00000145476","Vitamin D metabolism",0.00179945569627871,0.00199195041122021,0.00179945569627871
"293","MAR02149","Trans-Dodec-2-Enoyl Coenzyme A Reductase","lauroyl-CoA[m] + NADP+[m] <=> (2E)-dodecenoyl-CoA[m] + H+[m] + NADPH[m]","ENSG00000115425 or ENSG00000116353","Fatty acid oxidation",-0.00434268641367908,-165.189425840585,-125.042606970646
"294","MAR02187","Trans-Dec-2-Enoyl Coenzyme A Reductase","decanoyl-CoA[m] + NADP+[m] <=> (2E)-decenoyl-CoA[m] + H+[m] + NADPH[m]","ENSG00000115425 or ENSG00000116353","Fatty acid oxidation",0.00287606027484344,165.178685027787,291.369200492274
"295","MAR02192","3-Methoxy-4-Hydroxyphenylacetaldehyde:NAD+ Oxidoreductase Tyrosine Metabolism","H2O[m] + NAD+[m] + 3-methoxy-4-hydroxyphenylacetaldehyde[m] <=> 2 H+[m] + NADH[m] + homovanillate[m]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Miscellaneous",NA,-836.523982300365,-1000
"296","MAR02195","3-Methoxy-4-Hydroxyphenylacetaldehyde:NADP+ Oxidoreductase Tyrosine Metabolism","H2O[m] + NADP+[m] + 3-methoxy-4-hydroxyphenylacetaldehyde[m] => 2 H+[m] + NADPH[m] + homovanillate[m]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Miscellaneous",NA,836.523982300365,1000
"297","MAR02196","3-Methoxy-4-Hydroxyphenylglycolaldehyde:NAD+ Oxidoreductase Tyrosine Metabolism","H2O[m] + NAD+[m] + 3-methoxy-4-hydroxyphenylglycolaldehyde[m] <=> 2 H+[m] + NADH[m] + vanillylmandelate[m]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Miscellaneous",NA,-1000,-967.923869488327
"298","MAR02197","3-Methoxy-4-Hydroxyphenylglycolaldehyde:NADP+ Oxidoreductase Tyrosine Metabolism","H2O[m] + NADP+[m] + 3-methoxy-4-hydroxyphenylglycolaldehyde[m] => 2 H+[m] + NADPH[m] + vanillylmandelate[m]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Miscellaneous",NA,1000,967.923869488327
"299","MAR02198","Uroporphyrinogen I Carboxy-Lyase","4 H+[e] + uroporphyrinogen I[e] <=> 4 CO2[e] + coproporphyrinogen I[e]","ENSG00000126088","Miscellaneous",-750,-750,-1000
"300","MAR02216","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2","isocitrate[m] + malate[c] <=> isocitrate[c] + malate[m]","ENSG00000100075","Transport reactions",-987.337463915542,-738.501810692737,-1000
"301","MAR02220","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2","citrate[c] + succinate[m] <=> citrate[m] + succinate[c]","ENSG00000100075","Transport reactions",-1000,-1000,-1000
"302","MAR02281","","H+[c] + myristoyl-CoA[c] + NADPH[c] + O2[c] => (9E)-tetradecenoyl-CoA[c] + 2 H2O[c] + NADP+[c]","ENSG00000099194 or ENSG00000145284","Other",0.00146662613881196,0.0107408127979642,0.00146662613881196
"303","MAR02282","","H+[c] + myristoyl-CoA[c] + NADPH[c] + O2[c] => (7Z)-tetradecenoyl-CoA[c] + 2 H2O[c] + NADP+[c]","ENSG00000099194 or ENSG00000145284","Other",0.00146662613881196,0.0107408127979642,125.044073596785
"304","MAR02284","","H+[c] + myristoyl-CoA[c] + NADPH[c] + O2[c] => 5-tetradecenoyl-CoA[c] + 2 H2O[c] + NADP+[c]","ENSG00000099194 or ENSG00000145284","Other",0.00580931255249791,165.200166653383,0.00146662613881196
"305","MAR02286","","H+[c] + NADPH[c] + O2[c] + palmitoyl-CoA[c] => 2 H2O[c] + NADP+[c] + palmitoleoyl-CoA[c]","ENSG00000099194 or ENSG00000145284","Other",NA,0.588059500688538,0.081764407238767
"306","MAR02288","","H+[c] + heptadecanoyl-CoA[c] + NADPH[c] + O2[c] => (10Z)-heptadecenoyl-CoA[c] + 2 H2O[c] + NADP+[c]","ENSG00000099194 or ENSG00000145284","Other",NA,0.0107408127979642,0.00146662613881196
"307","MAR02296","","H+[c] + NADPH[c] + O2[c] + stearoyl-CoA[c] => (7Z)-octadecenoyl-CoA[c] + 2 H2O[c] + NADP+[c]","ENSG00000099194 or ENSG00000145284","Other",0.00146662613881196,0.0107408127979642,0.00146662613881196
"308","MAR02303","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2","AKG[c] + isocitrate[m] <=> AKG[m] + isocitrate[c]","ENSG00000100075","Transport reactions",-139.886955700169,-330.364115386442,1000
"309","MAR02312","Long-Chain-Fatty-Acid---Coa Ligase","ATP[c] + CoA[c] + palmitolate[c] => AMP[c] + PPi[c] + (2E)-hexadecenoyl-CoA[c]","ENSG00000068366 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142","Fatty acid oxidation",NA,NA,0.00146662613881196
"310","MAR02313","Long-Chain-Fatty-Acid---Coa Ligase","ATP[r] + CoA[r] + 8 H+[r] + stearidonic acid[r] => AMP[r] + PPi[r] + stearoyl-CoA[r]","ENSG00000068366 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142","Fatty acid oxidation",0.00528851659574934,0.0139537863472032,0.00528851659574934
"311","MAR02352","2-Deoxyuridine 5-Diphosphate:Oxidized-Thioredoxin 2-Oxidoreductase","dADP[m] + H2O[m] + oxidized thioredoxin[m] => ADP[m] + thioredoxin[m]","(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)","Miscellaneous",998.137166672016,665.326285422499,998.059199848632
"312","MAR02358","NADPH:Oxidized-Thioredoxin Oxidoreductase","NADP+[m] + thioredoxin[m] => H+[m] + NADPH[m] + oxidized thioredoxin[m]","ENSG00000184470 or ENSG00000198431","Miscellaneous",998.137166672016,997.933896725482,1000
"313","MAR02405","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2","AKG[c] + citrate[m] <=> AKG[m] + citrate[c]","ENSG00000100075","Transport reactions",-1000,1000,-597.517087043084
"314","MAR02406","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2","citrate[m] + oxalate[c] <=> citrate[c] + oxalate[m]","ENSG00000100075","Transport reactions",1000,NA,1000
"315","MAR02414","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2","isocitrate[m] + oxalate[c] <=> isocitrate[c] + oxalate[m]","ENSG00000100075","Transport reactions",-1000,-1000,-1000
"316","MAR02416","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2","AKG[c] + cis-aconitate[m] <=> AKG[m] + cis-aconitate[c]","ENSG00000100075","Transport reactions",1000,1000,1000
"317","MAR02418","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2","cis-aconitate[m] + succinate[c] <=> cis-aconitate[c] + succinate[m]","ENSG00000100075","Transport reactions",-1000,-1000,-1000
"318","MAR02420","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2","cis-aconitate[m] + malate[c] <=> cis-aconitate[c] + malate[m]","ENSG00000100075","Transport reactions",-1000,-1000,-1000
"319","MAR02590","","L-carnitine[c] => L-carnitine[m]","ENSG00000178537","Transport reactions",1000,1000,1000
"320","MAR02591","Acetyl-CoA:carnitine O-acetyltransferase","CoA[c] + O-acetylcarnitine[c] <=> acetyl-CoA[c] + L-carnitine[c]","ENSG00000110090 or ENSG00000169169 or ENSG00000205560","Carnitine shuttle (cytosolic)",46.5234257372138,60.3715995940067,46.5234257372138
"321","MAR02593","Acetyl-CoA:carnitine O-acetyltransferase","CoA[m] + O-acetylcarnitine[m] <=> acetyl-CoA[m] + L-carnitine[m]","ENSG00000095321 or ENSG00000157184","Carnitine shuttle (mitochondrial)",12.5732771534836,-60.3715995940066,150.559116866211
"322","MAR02596","","L-carnitine[c] + O-propanoylcarnitine[m] <=> L-carnitine[m] + O-propanoylcarnitine[c]","ENSG00000178537 or ENSG00000197119","Carnitine shuttle (mitochondrial)",1000,1000,1000
"323","MAR02598","","CoA[m] + O-propanoylcarnitine[m] <=> L-carnitine[m] + propanoyl-CoA[m]","ENSG00000095321 or ENSG00000157184","Carnitine shuttle (mitochondrial)",-0.0216562400656812,-0.0239728915769319,-0.0216562400656812
"324","MAR02602","","CoA[c] + dodecanoylcarnitine[c] <=> lauroyl-CoA[c] + L-carnitine[c]","ENSG00000110090 or ENSG00000169169 or ENSG00000205560","Carnitine shuttle (cytosolic)",0.00146662613883564,0.0107408127979625,0.00146662613883564
"325","MAR02603","","dodecanoylcarnitine[m] + L-carnitine[c] <=> dodecanoylcarnitine[c] + L-carnitine[m]","ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208","Carnitine shuttle (mitochondrial)",0.00146662613883564,0.0107408127979625,0.00146662613883564
"326","MAR02604","","CoA[m] + dodecanoylcarnitine[m] <=> lauroyl-CoA[m] + L-carnitine[m]","ENSG00000095321 or ENSG00000157184","Carnitine shuttle (mitochondrial)",-0.00146662613883564,-0.0107408127979625,-0.00146662613883564
"327","MAR02608","","CoA[c] + tetradecanoylcarnitine[c] <=> L-carnitine[c] + myristoyl-CoA[c]","ENSG00000110090 or ENSG00000169169 or ENSG00000205560","Carnitine shuttle (cytosolic)",-999.942492116054,1000,-874.904227831822
"328","MAR02609","","L-carnitine[c] + tetradecanoylcarnitine[m] <=> L-carnitine[m] + tetradecanoylcarnitine[c]","ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208","Carnitine shuttle (mitochondrial)",0.0575078839456182,165.578780304511,125.095772168178
"329","MAR02610","","CoA[m] + tetradecanoylcarnitine[m] <=> L-carnitine[m] + myristoyl-CoA[m]","ENSG00000095321 or ENSG00000157184","Carnitine shuttle (mitochondrial)",-0.0575078839456182,-165.578780304511,-125.095772168178
"330","MAR02612","","L-carnitine[c] + tetradecenoylcarnitine(5)[m] <=> L-carnitine[m] + tetradecenoylcarnitine(5)[c]","ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208","Carnitine shuttle (mitochondrial)",1000,1000,1000
"331","MAR02614","","(7Z)-tetradecenoyl-CoA[c] + L-carnitine[c] <=> CoA[c] + tetradecenoylcarnitine(7)[c]","ENSG00000110090 or ENSG00000169169 or ENSG00000205560","Carnitine shuttle (cytosolic)",NA,NA,125.042606970646
"332","MAR02616","","L-carnitine[c] + tetradecenoylcarnitine(7)[m] <=> L-carnitine[m] + tetradecenoylcarnitine(7)[c]","ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208","Carnitine shuttle (mitochondrial)",NA,NA,-125.042606970646
"333","MAR02618","","(7Z)-tetradecenoyl-CoA[m] + L-carnitine[m] <=> CoA[m] + tetradecenoylcarnitine(7)[m]","ENSG00000095321 or ENSG00000157184","Carnitine shuttle (mitochondrial)",NA,NA,-125.042606970646
"334","MAR02624","","L-carnitine[c] + pentadecanoylcarnitine[m] <=> L-carnitine[m] + pentadecanoylcarnitine[c]","ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208","Carnitine shuttle (mitochondrial)",-1000,-1000,-1000
"335","MAR02626","palmitoyl-CoA:L-carnitine O-palmitoyltransferase","CoA[c] + L-palmitoylcarnitine[c] <=> L-carnitine[c] + palmitoyl-CoA[c]","ENSG00000110090 or ENSG00000169169 or ENSG00000205560","Carnitine shuttle (cytosolic)",286.099572170971,584.421219695489,276.301677350321
"336","MAR02629","","L-carnitine[c] + L-palmitoylcarnitine[m] <=> L-carnitine[m] + L-palmitoylcarnitine[c]","ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208","Carnitine shuttle (mitochondrial)",-139.053530771754,1000,98.790064626774
